Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 20670562;Бесщеточный аккумуляторный фрезер Интерскол ФМА-55/18ВЭ 695.1.0.70;"
    11 002 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/besschetochnyj-akkumulyatornyj-frezer-interskol-fma-55-18ve-695-1-0-70-2198329/
код: 15862881;Фрезер Makita LXT DRT50Z;"
    14 752 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/frezer-makita-lxt-drt50z-933394/
код: 23723109;Кромочный аккумуляторный фрезер WORTEX CMM 1835 ALL1 CMM183502629;"
    11 870 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/kromochnyj-akkumulyatornyj-frezer-wortex-cmm-1835-all1-cmm183502629-5820319/
код: 15567669;Фрезер Makita LXT DCO180Z;"
    7 285 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/frezer-makita-lxt-dco180z-779241/
код: 15642371;Кромочный фрезер Ryobi ONE+ R18TR-0 5133002917;"
    10 417 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kromochnyj-frezer-ryobi-one-r18tr-0-5133002917-830864/
код: 15730511;Аккумуляторный фрезер Bosch GKF 12V-8 0.601.6B0.000;"
    40 488 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-frezer-bosch-gkf-12v-8-0-601-6b0-000-855574/
код: 20656504;Аккумуляторный инструмент Sturm CER1803;"
    16 790 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-instrument-sturm-cer1803-4102386/
код: 15765029;Фрезер Makita LXT DRT50ZJX2;"
    26 580 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/frezer-makita-lxt-drt50zjx2-880215/
код: 26199623;Фрезерная аккумуляторная машина Felisatti ФМ-55/18Л3 515.5.0.00;"
    10 123 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/fm-55-18l3-mashina-frezernaya-akkumulyatornaya-felisatti-515-5-0-00-8313669/
код: 25615653;Аккумуляторный фрезер FAVOURITE Li-ion, 21 В OBS 21 FER;"
    7 154 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-frezer-favourite-li-ion-21-v-obs-21-fer-6999266/
