Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15929433;Гравер Ryobi ONE+ R18RT-0 5133004366;"
    10 067 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/graver-ryobi-one-r18rt-0-5133004366-1061676/
код: 16844095;Аккумуляторная прямая шлифмашина Интерскол ПШМ-8/18ВЭ 641.1.0.70;"
    6 525 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornaya-pryamaya-shlifmashina-interskol-pshm-8-18ve-641-1-0-70-1714579/
код: 16504747;Аккумуляторный гравер DEKO DKRT3.6-Li SET 063-1400;"
    1 778 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornyj-graver-deko-dkrt3-6-li-set-063-1400-1772535/
код: 19700236;Прямошлифмашина Ryobi ONE+ RRT18-0 5133004939;"
    5 653 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pryamoshlifmashina-ryobi-one-rrt18-0-5133004939-2075699/
код: 19699804;Бесщеточная прямошлифмашина Ryobi ONE+ HP RDG18C-0 5133005139;"
    10 445 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pryamoshlifmashina-ryobi-one-hp-rdg18c-0-5133005139-2075753/
код: 24970419;Аккумуляторная многофункциональная шлифовальная машинка HOEGERT TECHNIK Hoegert HT2E105;"
    7 450 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-mnogofunktsionalnaya-shlifovalnaya-mashinka-hoegert-technik-hoegert-ht2e105-6478027/
код: 27850502;Аккумуляторный гравер Accesstyle EBE-A/3.6-600/FPCS;"
    2 390 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/graver-akkumulyatornyj-accesstyle-ebe-a-3-6-600-fpcs-8831180/
код: 24970563;Аккумуляторная многофункциональная шлифовальная машинка HOEGERT TECHNIK Hoegert HT2E106;"
    2 816 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-mnogofunktsionalnaya-shlifovalnaya-mashinka-hoegert-technik-hoegert-ht2e106-6478477/
код: 26719002;Аккумуляторная многофункциональная шлифмашина FTL MF 5IN1/20V EVO 5в1, щеточный двигатель, 20 В 8055;"
    6 833 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/-ftl-8055-7931780/
код: 15473566;Аккумуляторный гравер Bosch GRO 12V-35 Solo 0.601.9C5.000;"
    15 864 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-graver-bosch-gro-12v-35-solo-0-601-9c5-000-712809/
