Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 22932081;Аккумуляторная отвертка ЗУБР Профессионал 4 Vmax, в коробке PSD-4;"
    3 140 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornaya-otvertka-zubr-professional-4-vmax-v-korobke-psd-4-5168785/
код: 20971767;Аккумуляторная отвертка Xiaomi Electric Precision Screwdriver BHR5474GL;"
    3 437 р.

    ";"
    В наличии
    12
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornaya-otvertka-xiaomi-electric-precision-screwdriver-bhr5474gl-2466046/
код: 20528926;Аккумуляторная отвертка Bosch GO 2 06019H2103;"
    3 577 р.

    ";"
    В наличии
    62
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornaya-otvertka-bosch-go-2-06019h2103-2859230/
код: 16796215;Аккумуляторная отвертка Xiaomi 12в1 Mi Cordless DZN4019TW;"
    3 155 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornaya-otvertka-xiaomi-12v1-mi-cordless-dzn4019tw-1645628/
код: 15620622;Аккумуляторная отвертка Makita DF012DSE;"
    12 929 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornaya-otvertka-makita-df012dse-807362/
код: 16042349;Аккумуляторная отвертка-трансформер ЗУБР ViX-T 10 бит ЗО-ЕМ-3.6 Ли;"
    2 620 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornaya-otvertka-transformer-zubr-vix-t-10-bit-zo-em-3-6-li-1165356/
код: 17422248;Аккумуляторная отвертка ЗУБР 3.6 В, в коробке ЗО-4;"
    2 360 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornaya-otvertka-zubr-3-6-v-v-korobke-zo-4-1838958/
код: 16504426;Аккумуляторная отвертка DEKO ZKS4, 4В, 0.6 Ач, з/у с набором оснастки 10 шт, 4 Нм 063-4113;"
    763 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornaya-otvertka-deko-zks4-4v-0-6-ach-z-u-s-naborom-osnastki-10-sht-4-nm-063-4113-1766443/
код: 15632839;Аккумуляторная отвертка Makita TD022DSE;"
    11 482 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornaya-otvertka-makita-td022dse-820540/
код: 15910703;Аккумуляторная отвертка Вихрь ОА-3,6-К 72/14/10;"
    1 390 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-otvertka-vihr-oa-3-6-k-72-14-10-976356/
код: 16129512;Аккумуляторная отвертка DENZEL CSL-36-01 26001;"
    3 040 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-otvertka-denzel-csl-36-01-26001-1211464/
код: 16042362;Аккумуляторная отвертка для точных работ Зубр Профессионал 4 Vmax, с набором 20 бит ОТР-4 Н20;"
    2 910 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-otvertka-dlya-tochnyh-rabot-zubr-professional-4-vmax-s-naborom-20-bit-otr-4-n20-1151049/
код: 15702256;Аккумуляторная отвертка PATRIOT PS 136Li 180201303;"
    2 390 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-otvertka-patriot-ps-136li-180201303-850417/
код: 15702857;Аккумуляторная отвертка GRAPHITE 58G151;"
    2 717 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-otvertka-graphite-58g151-850677/
код: 16493869;Аккумуляторная отвертка Felisatti ОА-3,6Ф 609.5.1.00;"
    2 246 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-otvertka-felisatti-oa-3-6f-609-5-1-00-1570848/
код: 23334879;Аккумуляторная отвёртка Вихрь ОА-3.6-ТФ 72/14/31;"
    2 590 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-otvertka-vihr-oa-3-6-tf-72-14-31-5091468/
код: 16129460;Аккумуляторная отвертка DENZEL CSL-36-02 26002;"
    1 830 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-otvertka-denzel-csl-36-02-26002-1211437/
код: 16493749;Аккумуляторная отвертка Felisatti ОА-3,6Ф 609.5.2.00;"
    1 713 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-otvertka-felisatti-oa-3-6f-609-5-2-00-1570795/
код: 15733891;Аккумуляторная отвертка DAEWOO DAА 3600Li Plus;"
    2 790 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-otvertka-daewoo-daa-3600li-plus-859464/
код: 27248274;Аккумуляторная отвертка FLEX sd 5-300 4.0 c 530728;"
    6 300 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-otvertka-sd-5-300-4-0-c-flex-530728-8397747/
