Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 18075865;Мини-колонка Ryobi ONE+ RBTM18-0 5133005000;"
    3 578 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/mini-kolonka-ryobi-one-rbtm18-0-5133005000-1904778/
код: 15505255;Радио Ryobi ONE+ R18R-0 5133002455;"
    6 731 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/radio-ryobi-one-r18r-0-5133002455-727159/
код: 18075697;Колонка Ryobi ONE+ RBT18-0 5133004999;"
    10 756 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/kolonka-ryobi-one-rbt18-0-5133004999-1904779/
код: 15703853;Радиоприемник AEG BR1218C-0 4935451539;"
    16 480 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/radiopriemnik-aeg-br1218c-0-4935451539-852163/
код: 15623478;Радио с Bluetooth Ryobi ONE+ R18RH-0 5133002734;"
    12 678 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/radio-s-bluetooth-ryobi-one-r18rh-0-5133002734-810651/
код: 16264685;Цифровое аккумуляторное строительное радио FLEX RD 10.8/18.0 484857;"
    29 000 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/tsifrovoe-akkumulyatornoe-stroitelnoe-radio-flex-rd-10-8-18-0-484857-1353764/
код: 15734301;Радио Metabo R 12-18 BT Bluetooth 600777850;"
    16 235 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/radio-metabo-r-12-18-bt-bluetooth-600777850-859790/
код: 23284845;Аккумуляторное радио Bosch GPB 18V-5 C без аккумулятора и ЗУ 06014A4000;"
    47 299 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornoe-radio-bosch-gpb-18v-5-c-bez-akkumulyatora-i-zu-06014a4000-5043978/
код: 15515592;Радио Ryobi ONE+ CDR180M 5133000614;"
    4 563 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/radio-ryobi-one-cdr180m-5133000614-733715/
код: 13899905;Радио Bosch GML 20 POWER BOX 0.601.429.700;"
    31 203 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/radio-bosch-gml-20-power-box-0-601-429-700-99670/
код: 23284683;Аккумуляторное радио Bosch GPB 18V-2 C без аккумулятора и ЗУ 06014A3000;"
    23 575 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornoe-radio-bosch-gpb-18v-2-c-bez-akkumulyatora-i-zu-06014a3000-5043966/
код: 13900638;Радиоприемник Bosch GML 50 0.601.429.600;"
    43 250 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/radiopriemnik-bosch-gml-50-0-601-429-600-207388/
код: 14949028;Аккумуляторный радиоприемник Hitachi UR18DSL;"
    5 479 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-radiopriemnik-hitachi-ur18dsl-559877/
код: 15912867;Радио DEWALT DCR027;"
    36 400 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/radio-dewalt-dcr027-1033625/
код: 15468515;Радио / зарядное устройство Milwaukee М18 RC-0 4933446639;"
    47 990 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/radio-zaryadnoe-ustrojstvo-milwaukee-m18-rc-0-4933446639-1346829/
код: 15734300;Радио Metabo R 12-18 600776850;"
    7 452 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/radio-metabo-r-12-18-600776850-859791/
