Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15706336;Многофункциональный инструмент Ryobi ONE+ R18MT-0 5133002466;"
    10 074 р.

    ";"
    В наличии
    16
    шт.
  ";Нет информации
код: 16499488;Аккумуляторный многофункциональный инструмент Einhell PXC TC-MG 18 Li-Solo 4465170;"
    5 156 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 15917083;Многофункциональный аккумуляторный инструмент Einhell PXC VARRITO 4465160;"
    6 873 р.

    ";"
    В наличии
    6
    шт.
  ";Нет информации
код: 16129504;Многофункциональный аккумуляторный инструмент DENZEL MTL-IB-18-02 28401;"
    9 700 р.

    ";"
    В наличии
    3
    шт.
  ";Нет информации
код: 23163135;Многофункциональный инструмент Akku Multitool FLEX MT 18.0 EC/5.0 Set 518417;"
    66 700 р.

    ";"
    В наличии
    2
    шт.
  ";Нет информации
код: 20852733;Аккумуляторный реноватор INGCO CMLI2001;"
    4 180 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 15611331;Аккумуляторный универсальный резак Bosch GOP 18V-28 Solo 0.601.8B6.002;"
    25 586 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 15611328;Аккумуляторный универсальный резак Bosch GOP 18V-28 0.601.8B6.003;"
    51 023 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 16199792;Многофункциональный инструмент DEWALT 18 В XR DCS356N-XJ;"
    18 170 р.

    ";Нет в наличии;Нет информации
код: 25613805;Аккумуляторный бесщеточный реноватор WORX Professional WU690.1 20 В, 2 Ач х 2, ЗУ 1.2 А WU690.1;"
    22 990 р.

    ";Нет в наличии;Нет информации
код: 16413161;Аккумуляторный реноватор WORX Sonicrafter WX696.9;"
    7 690 р.

    ";Нет в наличии;Нет информации
код: 15985953;Многофункциональный аккумуляторный инструмент GRAPHITE Energy+ 58G013;"
    5 000 р.

    ";Нет в наличии;Нет информации
код: 25146495;Реноватор ЗУБР 18 В, 1 АКБ (2 Ач), набор насадок, сумка МФИ-18-21;"
    11 240 р.

    ";Нет в наличии;Нет информации
код: 24467217;Аккумуляторный реноватор Sturm CMF1830;"
    6 590 р.

    ";Нет в наличии;Нет информации
код: 25148049;Реноватор ЗУБР 18 В, без АКБ, набор насадок МФИ-18 Н;"
    6 130 р.

    ";Нет в наличии;Нет информации
код: 25789031;Многофункциональный аккумуляторный инструмент Makita LXT 18В, 10000-20000 об/мин DTM52RTJX1;"
    37 079 р.

    ";Нет в наличии;Нет информации
код: 16504404;Реноватор DEKO DKOT20 Multi 063-2050;"
    4 099 р.

    ";Нет в наличии;Нет информации
код: 16320566;Многофункциональный аккумуляторный инструмент Ставр ст20миа;"
    3 860 р.

    ";Нет в наличии;Нет информации
код: 26696384;Многофункциональный аккумуляторный инструмент FAVOURITE li-ion, 21 в, 2/4 ач, 5000-19000 об/мин one battery system OBS 21 MF;"
    5 248 р.

    ";Нет в наличии;Нет информации
код: 26199689;Аккумуляторная ручная электрическая вибрационная машина Felisatti МФИ-18Л3 536.5.0.00;"
    6 395 р.

    ";Нет в наличии;Нет информации
код: 24440523;Реноватор DEKO DKOT20 Multi, 2x2.0 Ач 063-4425;"
    7 592 р.

    ";Нет в наличии;Нет информации
код: 26178905;Аккумуляторный универсальный резак ALTECO (2211) cmt 20v li 50629;"
    9 472 р.

    ";Нет в наличии;Нет информации
