Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 20236510;Гвоздезабиватель Ryobi ONE+ R15GN18-0 5133005297;"
    31 525 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/gvozdezabivatel-ryobi-one-r15gn18-0-5133005297-2105153/
код: 25218453;Гвоздезабиватель Ryobi R18GN18-0 ONE+ 5133005136;"
    17 758 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/one-gvozdezabivatel-r18gn18-0-ryobi-5133005136-6869497/
код: 25218471;Степлер Ryobi R18GS18-0 18В 5133005138;"
    20 536 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/18v-stepler-r18gs18-0-ryobi-5133005138-6777193/
код: 15626825;Скобозабиватель Makita LXT DPT353Z;"
    55 063 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/skobozabivatel-makita-lxt-dpt353z-815794/
код: 20981385;Аккумуляторный гвозде-скобозабиватель WORX WX840;"
    22 790 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornyj-gvozde-skobozabivatel-worx-wx840-4991250/
код: 15985594;Аккумуляторный степлер REDVERG RD-CS 3,6V 6632720;"
    3 290 р.

    ";"
    В наличии
    7
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornyj-stepler-redverg-rd-cs-3-6v-6632720-1100797/
код: 15784657;Аккумуляторный гвоздезабиватель Ryobi ONE+ R18N18G-120S 5133003860;"
    27 185 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-gvozdezabivatel-ryobi-one-r18n18g-120s-5133003860-895752/
код: 15945483;Аккумуляторный степлер Ryobi ONE+ R18ST50-0 5133004496;"
    12 436 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-stepler-ryobi-one-r18st50-0-5133004496-1067374/
код: 15854414;Монтажный пистолет DEWALT 18В XR DCN890N;"
    65 060 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/montazhnyj-pistolet-dewalt-18v-xr-dcn890n-932514/
код: 26546690;Аккумуляторный гвоздезабивной пистолет WORTEX NG 1850 311162;"
    17 170 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-gvozdezabivnoj-pistolet-wortex-ng-1850-311162-8302233/
