Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 16179688;Аккумуляторный миксер Einhell PXC TE-MX 18 Li-Solo 4258760;"
    7 990 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornyj-mikser-einhell-pxc-te-mx-18-li-solo-4258760-1267670/
код: 15872343;Аккумуляторный миксер Elitech МСА 18БЛ2 191597;"
    13 426 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-mikser-elitech-msa-18bl2-191597-949394/
код: 15959611;Аккумуляторный миксер ELITECH МСА 18БЛ 191592;"
    7 490 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-mikser-elitech-msa-18bl-191592-1094036/
код: 15959656;Аккумуляторный миксер ELITECH МСА 18БЛ2 191596;"
    7 709 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-mikser-elitech-msa-18bl2-191596-1086015/
код: 15872342;Аккумуляторный миксер Elitech МСА 18БЛ 191593;"
    7 697 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-mikser-elitech-msa-18bl-191593-949393/
код: 27852008;Аккумуляторный бесщеточный миксер REDVERG RD-Mix18BL/U, без акк, без з/у 6681977;"
    12 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/mikser-akkumulyatornyj-besschetochnyj-rd-mix18bl-u-bez-akk-bez-z-u-redverg-6681977-8942144/
код: 15734785;Аккумуляторная мешалка Metabo RW 18 LTX 120 601163850;"
    47 915 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-meshalka-metabo-rw-18-ltx-120-601163850-860363/
код: 17280402;Аккумуляторный миксер INGCO INDUSTRIAL MXLI2001;"
    10 560 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-mikser-ingco-industrial-mxli2001-1782503/
код: 15775188;Аккумуляторная мешалка Metabo RW 18 LTX 120 601163660;Нет информации;Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-meshalka-metabo-rw-18-ltx-120-601163660-886223/
код: 20957175;Аккумуляторный двухступенчатый миксер FLEX MXE 18.0-EC + WR2 120 495964;"
    52 100 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-dvuhstupenchatyj-mikser-flex-mxe-18-0-ec-wr2-120-495964-2592740/
код: 15734784;Аккумуляторная мешалка Metabo RW 18 LTX 120 601163000;Нет информации;Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-meshalka-metabo-rw-18-ltx-120-601163000-860362/
код: 15840027;Аккумуляторный миксер Milwaukee M18 FUEL FPM-0X 4933459719;"
    29 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-mikser-milwaukee-m18-fuel-fpm-0x-4933459719-948781/
код: 15884311;Миксер FLEX MXE 18.0-EC 469114;"
    45 450 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/mikser-flex-mxe-18-0-ec-469114-1663136/
код: 16195052;Аккумуляторный двухступенчатый миксер FLEX MXE 18.0-EC 18.0 В 459364;"
    28 980 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-dvuhstupenchatyj-mikser-flex-mxe-18-0-ec-18-0-v-459364-1309997/
код: 15959541;Аккумуляторная дрель-миксер Makita LXT DUT130Z;"
    34 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-drel-mikser-makita-lxt-dut130z-1078793/
код: 20869071;Аккумуляторный миксер GRAPHITE Energy+ 58G084;"
    16 122 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-mikser-graphite-energy-58g084-2432080/
