Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15515563;"Аккумулятор Ryobi ONE+ RB18L50 5133002433 (18 В; 5 А*ч; Li-Ion)";"
    6 991 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyator-ryobi-one-rb18l50-5133002433-18-v-5-a-ch-li-ion-733934/
код: 16304292;"Набор аккумулятор (18 В; 2.0 Ач; Li-Ion) + зарядное устройство RC18115-120VSE Ryobi 5133004897";"
    6 023 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/nabor-akkumulyator-18-v-2-0-ach-li-ion-zaryadnoe-ustrojstvo-rc18115-120vse-ryobi-5133004897-1366144/
код: 15643684;"Набор Ryobi ONE+ RC18120-150 5133003366 аккумулятор (18 В; 5.0 А*ч; Li-Ion) и зарядное устройство RC18120";"
    10 367 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/nabor-ryobi-one-rc18120-150-5133003366-akkumulyator-18-v-5-0-a-ch-li-ion-i-zaryadnoe-ustrojstvo-rc18120-833042/
код: 15468015;"Аккумулятор Ryobi ONE+ RB18L40 (18 В; 4 А*ч; Li-Ion) 5133001907";"
    7 265 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyator-ryobi-one-rb18l40-18-v-4-a-ch-li-ion-5133001907-703074/
код: 17653535;Аккумулятор L1850SHD 18В, 5Ач, Li-Ion AEG 4935478860;"
    8 649 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyator-l1850shd-aeg-4935478860-1779652/
код: 17653900;Аккумулятор L1840S 18В, 4Ач, Li-Ion AEG 4935478636;"
    6 667 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyator-l1840s-aeg-4935478636-1779656/
код: 17653520;Набор зарядное устройство + аккумулятор SETL1820S 18В, 2Ач, Li-Ion AEG 4935478932;"
    7 275 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/nabor-zaryadnoe-ustrojstvo-akkumulyator-setl1820s-aeg-4935478932-1779651/
код: 17653685;Набор зарядное устройство + аккумулятор SETL1840S 18В, 4Ач, Li-Ion AEG 4935478933;"
    10 312 р.

    ";"
    В наличии
    6
    шт.
  ";https://spb.vseinstrumenti.ru/product/nabor-zaryadnoe-ustrojstvo-akkumulyator-setl1840s-aeg-4935478933-1779655/
код: 15643683;"Набор Ryobi ONE+ RC18120-140 5133003360 аккумулятор (18 В; 4.0 A*ч; Li-Ion) и зарядное устройство RC18120";"
    8 062 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/nabor-ryobi-one-rc18120-140-5133003360-akkumulyator-18-v-4-0-a-ch-li-ion-i-zaryadnoe-ustrojstvo-rc18120-833039/
код: 16553547;"Аккумулятор Ryobi ONE+ RB1840X (18 В; 4 А*ч; Li-ion) 5133005053";"
    6 473 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyator-4-0-ach-rb1840x-ryobi-5133005053-1619247/
