Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15910955;Бензиновый генератор с возможностью подключения блока автоматики Inforce GL 7500 04-03-17;"
    61 969 р.

    ";"
    В наличии
    12
    шт.
  ";https://spb.vseinstrumenti.ru/product/benzinovyj-generator-s-vozmozhnostyu-podklyucheniya-bloka-avtomatiki-inforce-gl-7500-04-03-17-1081757/
код: 15910953;Бензиновый генератор Inforce GL 3000 04-03-18;"
    23 619 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/benzinovyj-generator-inforce-gl-3000-04-03-18-1148038/
код: 16694941;Бензиновый генератор Gigant GGL-5500;"
    35 839 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/benzinovyj-generator-gigant-ggl-5500-1926607/
код: 15520426;Бензиновый генератор БИЗОН ГБ-2700;"
    12 480 р.

    ";"
    В наличии
    14
    шт.
  ";https://spb.vseinstrumenti.ru/product/benzinovyj-generator-bizon-gb-2700-736463/
код: 15941353;Бензиновый генератор DENZEL PS 33, 3,3 кВт, 230В, 15л, ручной стартер 946834;"
    28 420 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/benzinovyj-generator-denzel-ps-33-3-3-kvt-230v-15l-ruchnoj-starter-946834-1064318/
код: 15874615;Бензиновый генератор 8,5 кВт, 220В/50Гц, 25 л DENZEL GE 8900 94639;"
    58 640 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/benzinovyj-generator-8-5-kvt-220v-50gts-25-l-denzel-ge-8900-94639-964326/
код: 17847946;Электрогенератор Huter DY3.0A 64/1/56;"
    17 948 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektrogenerator-huter-dy3-0a-64-1-56-1880699/
код: 16178162;Бензогенератор ТСС SGG 9000ELA 190050;"
    67 359 р.

    ";"
    В наличии
    7
    шт.
  ";https://spb.vseinstrumenti.ru/product/benzogenerator-tss-sgg-9000ela-190050-1349127/
код: 20694777;Электрогенератор Huter DY6,5LX-электростартер 64/1/75;"
    38 211 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektrogenerator-huter-dy6-5lx-elektrostarter-64-1-75-2515460/
код: 16016865;Бензиновый генератор с функцией Dual Power Daewoo GDA 9500DPE-3;"
    119 990 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/benzinovyj-generator-s-funktsiej-dual-power-daewoo-gda-9500dpe-3-1128308/
код: 15545571;Бензиновый генератор PATRIOT Max Power SRGE 950 474103119;"
    10 620 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/benzinovyj-generator-patriot-max-power-srge-950-474103119-757912/
код: 15277602;Электрогенератор Huter DY6500LXA 64/1/27;"
    68 790 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektrogenerator-huter-dy6500lxa-64-1-27-661619/
код: 15482147;Генератор Champion GG6500;"
    56 590 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/generator-champion-gg6500-794834/
код: 22171803;Генератор Champion GG7001EW (6,8/7,5кВт OHV 17лс 25л 88кг эл.старт колеса);"
    64 090 р.

    ";"
    В наличии
    10
    шт.
  ";https://spb.vseinstrumenti.ru/product/generator-champion-gg7001ew-6-8-7-5kvt-ohv-17ls-25l-88kg-el-start-kolesa-3645630/
код: 15941356;Бензиновый генератор DENZEL PS 80 EA, 8,0 кВт, 230В, 25л 946924;"
    67 510 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/benzinovyj-generator-denzel-ps-80-ea-8-0-kvt-230v-25l-946924-1064776/
код: 16016866;Бензиновый генератор с возможностью подключения ATS DAEWOO GDA 9500E;"
    109 990 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/benzinovyj-generator-s-vozmozhnostyu-podklyucheniya-ats-daewoo-gda-9500e-1128307/
код: 16348343;Бензиновый генератор DDE G330E 1ф 3,0/3,3 кВт бак 15 л двигатель 7 лc эл. старт 792-551;"
    32 493 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/benzinovyj-generator-dde-g330e-1f-3-0-3-3-kvt-bak-15-l-dvigatel-7-lc-el-start-792-551-1415335/
код: 16707776;Электрогенератор Eurolux G4000A  64/1/38;"
    16 799 р.

    ";"
    В наличии
    8
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektrogenerator-eurolux-g4000a-64-1-38-1882131/
