Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15083595;Инфракрасный пирометр ADA TemPro 300 А00222;"
    1 790 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/infrakrasnyj-pirometr-ada-tempro-300-a00222-517837/
код: 15083596;Инфракрасный пирометр ADA TemPro 550 А00223;"
    1 990 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/infrakrasnyj-pirometr-ada-tempro-550-a00223-517823/
код: 18586735;Инфракрасный пирометр ADA TemPro 650 Hygro А00658;"
    3 488 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/infrakrasnyj-pirometr-ada-tempro-650-hygro-a00658-1944534/
код: 16535395;Бесконтактный пирометр МЕГЕОН 16401 к0000031910;"
    2 190 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/beskontaktnyj-pirometr-megeon-16401-k0000031910-1608130/
код: 15618480;ИК измеритель температуры МЕГЕОН 16400 к0000011113;"
    1 535 р.

    ";"
    В наличии
    10
    шт.
  ";https://spb.vseinstrumenti.ru/product/infrakrasnyj-izmeritel-temperatury-megeon-16400-803448/
код: 15083597;Инфракрасный пирометр ADA TemPro 700 А00224;"
    3 414 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/infrakrasnyj-pirometr-ada-tempro-700-a00224-517848/
код: 15083598;Инфракрасный пирометр ADA TemPro 900 А00225;"
    4 490 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/infrakrasnyj-pirometr-ada-tempro-900-a00225-517851/
код: 18586627;Инфракрасный пирометр ADA BodyTEST с функцией измерения температуры тела А00659;"
    1 639 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/infrakrasnyj-pirometr-ada-bodytest-s-funktsiej-izmereniya-temperatury-tela-a00659-1944533/
код: 16068111;Пирометр RGK PL-6;"
    966 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/pirometr-rgk-pl-6-1171382/
код: 15858608;Лазерный измеритель температуры МЕГЕОН 16550 00000002235;"
    4 057 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/lazernyj-izmeritel-temperatury-megeon-16550-00000002235-945197/
код: 16239785;Инфракрасный пирометр KRAFTOOL Professional TRM-1000 -50С +950С 45703-950;"
    6 500 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/infrakrasnyj-pirometr-kraftool-trm-1000-45703-950-1395280/
код: 15906387;Пирометр MASTECH MS6522B 13-1231;"
    2 345 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/pirometr-mastech-ms6522b-13-1231-968485/
код: 15693306;Пирометр RGK PL-8 с поверкой;"
    4 460 р.

    ";"
    В наличии
    12
    шт.
  ";https://spb.vseinstrumenti.ru/product/pirometr-rgk-pl-8-s-poverkoj-843552/
код: 15503476;Пирометр RGK PL-12;"
    4 990 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/pirometr-rgk-pl-12-722471/
