Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15502462;Дрель AEG BE 750 R 4935449160;"
    8 589 р.

    ";"
    В наличии
    26
    шт.
  ";https://spb.vseinstrumenti.ru/product/drel-aeg-be-750-r-4935449160-721623/
код: 15557922;Сверлильная машина Фиолент МС8-16РЭ М Мастер Ф0059 ИДФР298112002-01К2;"
    7 560 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/sverlilnaya-mashina-fiolent-ms8-16re-m-master-f0059-idfr298112002-01k2-770472/
код: 16009120;Дрель Зубр ПРОФЕССИОНАЛ ЗД-П550 ЭР;"
    3 550 р.

    ";"
    В наличии
    8
    шт.
  ";https://spb.vseinstrumenti.ru/product/drel-zubr-professional-zd-p550-er-1104548/
код: 15838182;Безударная дрель Вихрь Д-550Б 72/8/5;"
    2 290 р.

    ";"
    В наличии
    7
    шт.
  ";https://spb.vseinstrumenti.ru/product/bezudarnaya-drel-vihr-d-550b-72-8-5-912662/
код: 15565500;Дрель Фиолент МС11-13 РЭ Ф0068 ИДФР298112004;"
    2 644 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/drel-fiolent-ms11-13-re-f0068-idfr298112004-779916/
код: 15895673;Дрель ЗУБР ПРОФЕССИОНАЛ ЗД-П421 ЭР;"
    3 110 р.

    ";"
    В наличии
    7
    шт.
  ";https://spb.vseinstrumenti.ru/product/drel-zubr-professional-zd-p421-er-960903/
код: 15643076;Безударная дрель ДИОЛД МЭС-5-01СЗП 10011021;"
    1 684 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/bezudarnaya-drel-diold-mes-5-01szp-10011021-830741/
код: 16005730;Дрель ДИОЛД МЭС-5-04 10011060;"
    5 038 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/drel-diold-mes-5-04-10011060-1117965/
код: 13900625;Дрель Makita 6413;"
    3 890 р.

    ";"
    В наличии
    43
    шт.
  ";https://spb.vseinstrumenti.ru/product/drel-makita-6413-136485/
код: 15607325;Дрель Rebir IE 1206-16/2000 ЕR 07.001.00009;"
    17 302 р.

    ";"
    В наличии
    25
    шт.
  ";https://spb.vseinstrumenti.ru/product/drel-rebir-ie-1206-16-2000-er-07-001-00009-800136/
код: 13495381;Дрель Makita DP 4010;"
    9 509 р.

    ";"
    В наличии
    7
    шт.
  ";https://spb.vseinstrumenti.ru/product/drel-makita-dp-4010-43634/
код: 13495382;Дрель Makita DP 4011;"
    10 098 р.

    ";"
    В наличии
    12
    шт.
  ";https://spb.vseinstrumenti.ru/product/drel-makita-dp-4011-43637/
код: 16312338;Безударная дрель ПУЛЬСАР ДЭ 450 792-179;"
    1 790 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/bezudarnaya-drel-pulsar-de-450-792-179-1389526/
код: 16493753;Безударная дрель Felisatti Д-11/540ЭРМ 226.5.2.00;"
    2 835 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/bezudarnaya-drel-felisatti-d-11-540erm-226-5-2-00-1570145/
код: 15607619;Дрель Rebir IE 1206-1-16/2000 ЕR 07.001.00008;"
    16 760 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/drel-rebir-ie-1206-1-16-2000-er-07-001-00008-800135/
код: 14953699;Дрель Энкор ДЭ-380ЭР/10 50067;"
    2 570 р.

    ";"
    В наличии
    6
    шт.
  ";https://spb.vseinstrumenti.ru/product/drel-enkor-de-380er-10-50067-222119/
код: 13674191;Дрель DEWALT DWD112S;"
    8 288 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/drel-dewalt-dwd112s-92890/
код: 15737599;Дрель Rebir IE 1305 А-16/1300 ЕR 6624077;"
    11 872 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/drel-rebir-ie-1305-a-16-1300-er-07-001-00010-868424/
код: 15455049;Дрель Makita DP2011;"
    6 438 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/drel-makita-dp2011-701977/
код: 15851802;Электрическая дрель Kolner KED 500VQ;"
    1 533 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskaya-drel-kolner-ked-500vq-925241/
код: 16038749;Дрель Makita M6002 189462;"
    4 106 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/drel-makita-m6002-189462-1150896/
код: 15455050;Дрель Makita DP2010;"
    4 673 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/drel-makita-dp2010-701982/
код: 1927;Дрель Makita 6408;"
    10 157 р.

    ";"
    В наличии
    79
    шт.
  ";https://spb.vseinstrumenti.ru/product/drel-makita-6408-1927/
код: 23297409;Сетевая дрель-шуруповерт ЭЛЕКТРОПРИБОР ДШ-400ЭР;"
    1 545 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/setevaya-drel-shurupovert-elektropribor-dsh-400er-5090166/
код: 26083031;Электрическая дрель KEYANG PD-450KL;"
    3 378 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/elektricheskaya-drel-keyang-pd-450kl-7719514/
код: 18547813;Дрель Metabo BE 650 600741850;"
    6 299 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/drel-metabo-be-650-600741850-1873479/
код: 15837248;Низкооборотистая дрель Sturm ID20165M;"
    12 939 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nizkooborotistaya-drel-sturm-id20165m-912177/
код: 13654705;Дрель DEWALT DWD 014 S;"
    7 298 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/drel-dewalt-dwd-014-s-92827/
код: 15643075;Безударная дрель ДИОЛД МЭС-5-01 10011020;"
    2 050 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/bezudarnaya-drel-diold-mes-5-01-10011020-830742/
код: 15643077;Безударная дрель ДИОЛД МЭС-5-03 10011050;"
    3 651 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/bezudarnaya-drel-diold-mes-5-03-10011050-830744/
код: 22057210;Дрель Felisatti Д-16/1050Р2 610.5.1.00;"
    5 886 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/drel-felisatti-d-16-1050r2-610-5-1-00-3540702/
код: 15852990;Дрель Stanley STDR5510C;"
    3 199 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/drel-stanley-stdr5510c-947242/
код: 15607426;Дрель Rebir UМ2-16/1200ЕR 07.001.00016;"
    10 190 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/drel-rebir-um2-16-1200er-07-001-00016-802160/
код: 15984936;Безударная дрель REDVERG RD-D540 5026138;"
    2 690 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/bezudarnaya-drel-redverg-rd-d540-5026138-1101949/
код: 16940083;Дрель DWT BM06-10 C;"
    2 778 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/drel-dwt-bm06-10-c-1708669/
код: 16940485;Дрель DWT BM04-10 C;"
    2 441 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/drel-dwt-bm04-10-c-1709285/
код: 15784267;Ручной сверлильный станок EIBENSTOCK EHB 16/2.4 S R/L 0122H000;"
    59 400 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/ruchnoj-sverlilnyj-stanok-eibenstock-ehb-16-2-4-s-r-l-0122h000-899980/
код: 25103763;Безударная дрель Hanskonner HID2175;"
    4 850 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/drel-bezudarnaya-hanskonner-hid2175-6869305/
код: 16423273;Электрическая дрель Витязь ДЭ-970 18013009;"
    2 709 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/elektricheskaya-drel-vityaz-de-970-18013009-1471485/
код: 15784270;Ручной сверлильный станок EIBENSTOCK EHB 32/4.2 0154A000;"
    79 000 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/ruchnoj-sverlilnyj-stanok-eibenstock-ehb-32-4-2-0154a000-899981/
код: 15865859;Электрическая дрель PATRIOT FD 450 120301410;"
    3 490 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/elektricheskaya-drel-patriot-fd-450-120301410-964710/
код: 15604602;Дрель Кратон D-400/10P 3 02 01 021;"
    2 244 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/drel-kraton-d-400-10p-3-02-01-021-795648/
код: 15607323;Дрель Rebir IE 1023 А-16/1300 07.001.00004;"
    13 699 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/drel-rebir-ie-1023-a-16-1300-07-001-00004-800131/
код: 15984939;Безударная дрель REDVERG Basic D500 6622810;"
    1 490 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/bezudarnaya-drel-redverg-basic-d500-6622810-1114236/
код: 15784269;Ручной сверлильный станок EIBENSTOCK EHB 32/2.2 R R/L 0152H000;"
    99 300 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/ruchnoj-sverlilnyj-stanok-eibenstock-ehb-32-2-2-r-r-l-0152h000-899979/
код: 15873619;Ручные двухскоростные дрели до 13 мм Fein BOP 13-2 72055561000;"
    54 961 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/ruchnye-dvuhskorostnye-dreli-do-13-mm-fein-bop-13-2-72055561000-959037/
код: 24663723;Сетевая ударная дрель DELI DL-DZ10-E1 БЗП, ф10мм, 500Вт, 3000об/мин 102957;"
    1 970 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/setevaya-udarnaya-drel-deli-dl-dz10-e1-10mm-500vt-102957-6212341/
код: 16104087;Дрель Makita M0600;"
    3 495 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/drel-makita-m0600-1199971/
код: 27631242;Дрель ТЕН td1306x комплект новосел 20246;"
    7 070 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/drel-td1306x-komplekt-novosel-ten-20246-8480235/
