Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15872251;"Бита (PH2; 100 мм) для шуруповерта Gigant GBS 11029";"
    121 р.

    ";"
    В наличии
    51
    шт.
  ";https://spb.vseinstrumenti.ru/product/bita-ph2-100-mm-dlya-shurupoverta-gigant-gbs-11029-957777/
код: 15840039;"Бита (2 шт; PH2; 50 мм) Inforce 11-01-291";"
    244 р.

    ";"
    В наличии
    56
    шт.
  ";https://spb.vseinstrumenti.ru/product/bita-2-sht-ph2-50-mm-inforce-11-01-291-981488/
код: 15840040;"Бита (5 шт; PH2; 50 мм) Inforce 11-01-292";"
    629 р.

    ";"
    В наличии
    22
    шт.
  ";https://spb.vseinstrumenti.ru/product/bita-5-sht-ph2-50-mm-inforce-11-01-292-981489/
код: 18410989;Биты 10 шт, РН2, 50 мм AEG ASDPH25010 4932479504;"
    302 р.

    ";"
    В наличии
    9
    шт.
  ";https://spb.vseinstrumenti.ru/product/bity-10-sht-rn2-50-mm-aeg-asdph25010-4932479504-1941767/
код: 15920154;Биты KRAFTOOL Optimum Line PH2 50 мм, 10 шт. 26122-2-50-10;"
    463 р.

    ";"
    В наличии
    444
    шт.
  ";https://spb.vseinstrumenti.ru/product/bity-kraftool-optimum-line-ph2-50-mm-10-sht-26122-2-50-10-1064276/
код: 18411577;Биты 2 шт, РН2, 50 мм AEG ASDPH2502 4932479505;"
    164 р.

    ";"
    В наличии
    58
    шт.
  ";https://spb.vseinstrumenti.ru/product/bity-2-sht-rn2-50-mm-aeg-asdph2502-4932479505-1941772/
код: 15872252;"Бита (10 шт; PH2; 50 мм) для шуруповерта Gigant GBS 11030";"
    273 р.

    ";"
    В наличии
    36
    шт.
  ";https://spb.vseinstrumenti.ru/product/bita-10-sht-ph2-50-mm-dlya-shurupoverta-gigant-gbs-11030-957778/
код: 15909430;"Бита (PH2; 150 мм) для шуруповерта Gigant GBS 11167";"
    196 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/bita-ph2-150-mm-dlya-shurupoverta-gigant-gbs-11167-1064903/
код: 15840041;"Бита (5 шт; PH2; 75 мм) Inforce 11-01-293";"
    629 р.

    ";"
    В наличии
    16
    шт.
  ";https://spb.vseinstrumenti.ru/product/bita-5-sht-ph2-75-mm-inforce-11-01-293-981490/
код: 15840045;"Бита с магнитным ограничителем (держателем) (2 шт; PH2; 50 мм) Inforce 11-01-297";"
    244 р.

    ";"
    В наличии
    44
    шт.
  ";https://spb.vseinstrumenti.ru/product/bita-s-magnitnym-ogranichitelem-derzhatelem-2-sht-ph2-50-mm-inforce-11-01-297-981494/
