Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15933623;"Бита с 6-ти гранной торцевой головкой (8 мм; 48 мм) Gigant G-11134";"
    53 р.

    ";"
    В наличии
    34
    шт.
  ";https://spb.vseinstrumenti.ru/product/bita-s-6-ti-grannoj-tortsevoj-golovkoj-8-mm-48-mm-gigant-g-11134-1138573/
код: 15882483;"Бита с 6-ти гранной торцевой головкой (10 мм; 48 мм) Gigant GBS 11031";"
    152 р.

    ";"
    В наличии
    39
    шт.
  ";https://spb.vseinstrumenti.ru/product/bita-s-6-ti-grannoj-tortsevoj-golovkoj-10-mm-48-mm-gigant-gbs-11031-1059867/
код: 15381311;"Бита с торцевой головкой магнитная (8 мм; 45 мм) 2 шт. MATRIX 11569";"
    68 р.

    ";"
    В наличии
    101
    шт.
  ";https://spb.vseinstrumenti.ru/product/bita-s-tortsevoj-golovkoj-magnitnaya-8-mm-45-mm-2-sht-matrix-11569-783697/
код: 15839444;"Биты для кровельных саморезов (5 шт; 8 мм) Sturm 1041-05-08";"
    339 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/bity-dlya-krovelnyh-samorezov-5-sht-8-mm-sturm-1041-05-08-917775/
код: 16178804;"Бита с торцевой головкой (2 шт; 10х45 мм) КЕДР 150-004 208755";"
    144 р.

    ";"
    В наличии
    20
    шт.
  ";https://spb.vseinstrumenti.ru/product/bita-s-tortsevoj-golovkoj-2-sht-10h45-mm-kedr-150-004-208755-1268257/
код: 15259910;"Бита с торцовой головкой Нат-драйвер магнитная (10 мм; 48 мм; 1/4”) Stayer 26390-10";"
    62 р.

    ";"
    В наличии
    48
    шт.
  ";https://spb.vseinstrumenti.ru/product/bita-s-tortsovoj-golovkoj-nat-drajver-magnitnaya-10-mm-48-mm-1-4-stayer-26390-10-663085/
код: 15098585;"Насадка для шурупов и болтов с 6-гранной головкой (8 мм; 48 мм) FIT IT 57938";"
    90 р.

    ";"
    В наличии
    21
    шт.
  ";https://spb.vseinstrumenti.ru/product/nasadka-dlya-shurupov-i-boltov-s-6-grannoj-golovkoj-8-mm-48-mm-fit-it-57938-774960/
код: 16178046;"Бита с торцевой головкой (2 шт; 8х65 мм) КЕДР 150-005 208756";"
    158 р.

    ";"
    В наличии
    9
    шт.
  ";https://spb.vseinstrumenti.ru/product/bita-s-tortsevoj-golovkoj-2-sht-8h65-mm-kedr-150-005-208756-1267935/
код: 15594861;"Биты с торцевыми головками (13 мм; 65 мм) 2 шт. MATRIX 11791";"
    162 р.

    ";"
    В наличии
    10
    шт.
  ";https://spb.vseinstrumenti.ru/product/bity-s-tortsevymi-golovkami-13-mm-65-mm-2-sht-matrix-11791-787179/
код: 13657467;Бита с торцевой головкой 8 мм намагниченная Kraftool 26391-08;"
    143 р.

    ";"
    В наличии
    99
    шт.
  ";https://spb.vseinstrumenti.ru/product/bita-s-tortsevoj-golovkoj-8-mm-namagnichennaya-kraftool-26391-08-215863/
код: 15381312;"Бита с торцевой головкой магнитная (8 мм; 65 мм) 2 шт. MATRIX 11573";"
    74 р.

    ";"
    В наличии
    11
    шт.
  ";https://spb.vseinstrumenti.ru/product/bita-s-tortsevoj-golovkoj-magnitnaya-8-mm-65-mm-2-sht-matrix-11573-783696/
код: 15738788;"Бита кровельная (2 шт; 8х65 мм) Biber 84613 тов-077047";"
    120 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/bita-krovelnaya-2-sht-8h65-mm-biber-84613-tov-077047-866816/
код: 15381308;"Бита с торцевой головкой (10 мм; 45 мм; 2 шт.) MATRIX 11571";"
    105 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/bita-s-tortsevoj-golovkoj-10-mm-45-mm-2-sht-matrix-11571-1122291/
код: 16284696;Насадка-ключ магнитная (10х48 мм) Quadro Torsion 400110;"
    75 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/nasadka-klyuch-magnitnaya-10h48-mm-quadro-torsion-400110-1359647/
код: 13657466;Бита с торцевой головкой 10 мм намагниченная Kraftool 26391-10;"
    149 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/bita-s-tortsevoj-golovkoj-10-mm-namagnichennaya-kraftool-26391-10-215820/
код: 15561370;Бита с торцевой головкой магнитная (8 мм) GROSS 11617;"
    370 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/bita-s-tortsevoj-golovkoj-magnitnaya-8-mm-gross-11617-775333/
код: 15457186;"Бита с торцевой головкой (10 мм; 65 мм; 2 шт.) MATRIX 11576";"
    130 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/bita-s-tortsevoj-golovkoj-10-mm-65-mm-2-sht-matrix-11576-1122290/
код: 16284700;Насадка-ключ магнитная (8х48 мм) Quadro Torsion 400108;"
    71 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/nasadka-klyuch-magnitnaya-8h48-mm-quadro-torsion-400108-1359607/
код: 15500766;Головка магнитная Н13 (хвостовик HEX 1/4) ПРАКТИКА 035-165;"
    209 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/golovka-magnitnaya-n13-hvostovik-hex-1-4-praktika-035-165-719577/
код: 15453251;"Бита-головка EXPERT удлиненная (1/4""; 17 мм) Kraftool 26396-17";"
    384 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/bita-golovka-expert-udlinennaya-1-4-17-mm-kraftool-26396-17-774431/
