Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15882498;Бур усиленный по бетону SDS-plus (6x110 мм) Gigant GRD 11001;"
    65 р.

    ";"
    В наличии
    899
    шт.
  ";https://spb.vseinstrumenti.ru/product/bur-usilennyj-po-betonu-sds-plus-6x110-mm-gigant-grd-11001-1059874/
код: 15933624;"Бур усиленный по бетону (10x160 мм; SDS-plus) Gigant GRD 11033";"
    107 р.

    ";"
    В наличии
    126
    шт.
  ";https://spb.vseinstrumenti.ru/product/bur-usilennyj-po-betonu-10x160-mm-sds-plus-gigant-grd-11033-1102128/
код: 15882484;Бур усиленный по бетону SDS-plus (10x210 мм) Gigant GRD 11007;"
    97 р.

    ";"
    В наличии
    203
    шт.
  ";https://spb.vseinstrumenti.ru/product/bur-usilennyj-po-betonu-sds-plus-10x210-mm-gigant-grd-11007-1059872/
код: 15500746;"Бур Х-тип серия Эксперт по бетону (6х160 мм; SDS-plus) ПРАКТИКА 775-778";"
    125 р.

    ";"
    В наличии
    155
    шт.
  ";https://spb.vseinstrumenti.ru/product/bur-h-tip-seriya-ekspert-po-betonu-6h160-mm-sds-plus-praktika-775-778-719546/
код: 15909422;"Бур усиленный (6х160 мм; SDS-plus) Gigant GRD 11002";"
    40 р.

    ";"
    В наличии
    204
    шт.
  ";https://spb.vseinstrumenti.ru/product/bur-usilennyj-6h160-mm-sds-plus-gigant-grd-11002-1064595/
код: 15872260;"Бур усиленный (12х210 мм; SDS-plus) Gigant GRD 11009";"
    135 р.

    ";"
    В наличии
    117
    шт.
  ";https://spb.vseinstrumenti.ru/product/bur-usilennyj-12h210-mm-sds-plus-gigant-grd-11009-957916/
код: 15536855;"Бур КВАДРО по бетону (45х1000 мм; SDS-MAX) ПРАКТИКА 648-069";"
    6 540 р.

    ";"
    В наличии
    8
    шт.
  ";https://spb.vseinstrumenti.ru/product/bur-kvadro-po-betonu-45h1000-mm-sds-max-praktika-648-069-746737/
код: 15933628;"Бур усиленный по бетону (8x210 мм; SDS-plus) Gigant GRD 11105";"
    110 р.

    ";"
    В наличии
    71
    шт.
  ";https://spb.vseinstrumenti.ru/product/bur-usilennyj-po-betonu-8x210-mm-sds-plus-gigant-grd-11105-1102126/
код: 16463340;"Бур (6x160 мм; SDS+) AEG 4932478682";"
    102 р.

    ";"
    В наличии
    27
    шт.
  ";https://spb.vseinstrumenti.ru/product/bur-6x160-mm-sds-aeg-4932478682-1530495/
код: 15909423;"Бур усиленный (8х160 мм; SDS-plus) Gigant GRD 11004";"
    67 р.

    ";"
    В наличии
    172
    шт.
  ";https://spb.vseinstrumenti.ru/product/bur-usilennyj-8h160-mm-sds-plus-gigant-grd-11004-1064598/
код: 16062682;Бур усиленный (8x110 мм) Gigant GRD 11051;"
    98 р.

    ";"
    В наличии
    204
    шт.
  ";https://spb.vseinstrumenti.ru/product/bur-usilennyj-8x110-mm-gigant-grd-11051-1316903/
код: 16463337;"Бур (6x110 мм; SDS+) AEG 4932478681";"
    95 р.

    ";"
    В наличии
    21
    шт.
  ";https://spb.vseinstrumenti.ru/product/bur-6x110-mm-sds-aeg-4932478681-1530494/
код: 16062680;Бур усиленный (7x160 мм) Gigant GRD 11049;"
    121 р.

    ";"
    В наличии
    128
    шт.
  ";https://spb.vseinstrumenti.ru/product/bur-usilennyj-7x160-mm-gigant-grd-11049-1316904/
код: 16062668;Бур усиленный (12x160 мм) Gigant GRD 11037;"
    91 р.

    ";"
    В наличии
    46
    шт.
  ";https://spb.vseinstrumenti.ru/product/bur-usilennyj-12x160-mm-gigant-grd-11037-1316900/
код: 16062677;Бур усиленный (6x210 мм) Gigant GRD 11046;"
    82 р.

    ";"
    В наличии
    62
    шт.
  ";https://spb.vseinstrumenti.ru/product/bur-usilennyj-6x210-mm-gigant-grd-11046-1316915/
