Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15514083;Детектор проводки ADA Wall Scanner 80 А00466;"
    3 990 р.

    ";"
    В наличии
    28
    шт.
  ";https://spb.vseinstrumenti.ru/product/detektor-provodki-ada-wall-scanner-80-a00466-730178/
код: 15568036;Детектор проводки ADA Wall Scanner 120 PROF А00485;"
    4 990 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/detektor-provodki-ada-wall-scanner-120-prof-a00485-779616/
код: 15723278;Детектор проводки ЗУБР Профессионал DX-750 45260;"
    3 770 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/metallodetektor-zubr-professional-45260-1223607/
код: 16252760;Универсальный детектор Kraftool GMS 120 45298;"
    4 444 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/universalnyj-detektor-kraftool-gms-120-45298-1426615/
код: 15647379;Детектор проводки ADA Wall Scanner 50 А00506;"
    990 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/detektor-provodki-ada-wall-scanner-50-a00506-838120/
код: 25608675;Электронный детектор дерева, металла и электропроводки TECHNICOM TC-ED101MW;"
    2 750 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektronnyj-detektor-dereva-metalla-i-elektroprovodki-technicom-tc-ed101mw-7110290/
код: 25180035;Детектор металла Ресанта ДМ-50 61/10/533;"
    2 390 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/detektor-metalla-dm-50-resanta-61-10-533-7522369/
код: 16848691;Детектор скрытой проводки МЕГЕОН 45400 к0000032658;"
    3 161 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/detektor-skrytoj-provodki-megeon-45400-k0000032658-1662198/
код: 15491973;Цифровой детектор скрытой проводки Mastech MS6818 13-1211;"
    16 632 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/tsifrovoj-detektor-skrytoj-provodki-mastech-ms6818-59267-712540/
код: 15859667;Электронный детектор для обнаружения скрытой проводки Laserliner StarFinder 080.969A;"
    4 150 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektronnyj-detektor-dlya-obnaruzheniya-skrytoj-provodki-laserliner-starfinder-080-969a-932285/
