Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 20987379;Дизельный генератор СПЕЦ SD-6700E4 1фаз,ном/макс=5,3/5,7кВт с электростар.,аккум.,колёса-4шт 3467 СПЕЦ-3467;"
    73 490 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/dizelnyj-generator-spets-sd-6700e4-1faz-nom-maks-5-3-5-7kvt-s-elektrostar-akkum-kolesa-4sht-3467-spets-3467-2490206/
код: 16031489;Дизельный генератор ТСС SDG 6000EH3A 077016;"
    115 542 р.

    ";"
    В наличии
    16
    шт.
  ";https://spb.vseinstrumenti.ru/product/dizelnyj-generator-tss-sdg-6000eh3a-077016-1131774/
код: 25028859;Дизельный генератор LIFAN DG6500EA 00-00157306;"
    85 550 р.

    ";"
    В наличии
    11
    шт.
  ";https://spb.vseinstrumenti.ru/product/generator-dg6500ea-dizelnyj-lifan-00-00157306-6738385/
код: 15555369;Дизельная электростанция с электростартером и коннектором автоматики FUBAG DS 14000 DA ES;"
    349 130 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/dizelnaya-elektrostantsiya-s-elektrostarterom-i-konnektorom-avtomatiki-fubag-ds-14000-da-es-768528/
код: 21379456;Дизельный электроагрегат АД4-230-ВМ5 4687202269426;"
    219 042 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/dizelnyj-elektroagregat-ad4-230-vm5-4687202269426-3012320/
код: 26193347;Дизельный генератор GMP 7500DE GMP7500DE;"
    131 086 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/dizelnyj-generator-gmp-7500de-gmp7500de-7474813/
код: 15592036;Дизельный генератор Champion DG6501E;"
    94 890 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/dizelnyj-generator-champion-dg6501e-784305/
код: 19735336;Дизель генератор ТСС SDG 7500EHA 100026;"
    100 280 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/dizel-generator-tss-sdg-7500eha-100026-2378368/
код: 15626375;Дизельный генератор CHAMPION DG10000E-3;"
    299 790 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/dizelnyj-generator-champion-dg10000e-3-814934/
код: 15597129;Дизельный генератор Champion DG3601E;"
    77 890 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/dizelnyj-generator-champion-dg3601e-790128/
код: 15976582;Дизель генератор ТСС SDG 6000EHA 077014;"
    88 488 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/dizel-generator-tss-sdg-6000eha-077014-1089836/
код: 23306319;Дизель генератор ТСС SDG 9000EHA 100035;"
    127 949 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/dizel-generator-tss-sdg-9000eha-100035-5371429/
код: 24574197;Генератор CARVER PPG- 9000DE дизель LT-192FD, 7,0/7,5кВт, 220В, бак12.5л, э/старт, колеса, медь 01.020.00024;"
    82 000 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/generator-carver-ppg-9000de-dizel-lt-192fd-7-0-7-5kvt-220v-bak12-5l-e-start-kolesa-med-01-020-00024-6384949/
код: 24003177;Дизельный генератор Спец SD-8700E4, 1 фаза, 6.9/7.2 кВт, бак 12,5 л, медный альтернатор, электростартер, аккум. 28Ач, колеса 4шт, розетки 2x16А, 1x32А СПЕЦ-4064;"
    94 900 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/generator-dizelnyj-sd-8700e4-1faz-6-9-7-2-kvt-bak-12-5-l-mednyj-alternator-elektrostarter-akkum-28ach-kolesa-4sht-rozetki-2x16a-1x32a-spets-spets-4064-7021526/
код: 15555366;Дизельная электростанция FUBAG DS 5500 A ES с электростартером и коннектором автоматики 838211;"
    118 090 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/dizelnaya-elektrostantsiya-s-elektrostarterom-i-konnektorom-avtomatiki-fubag-ds-5500-a-es-768487/
код: 15555370;Дизельная электростанция FUBAG DS 3600 838210;"
    76 670 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/dizelnaya-elektrostantsiya-fubag-ds-3600-768480/
код: 15555367;Дизельная электростанция с электростартером и коннектором автоматики FUBAG DS 7000 DA ES 838212;"
    119 264 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/dizelnaya-elektrostantsiya-s-elektrostarterom-i-konnektorom-avtomatiki-fubag-ds-7000-da-es-768496/
код: 23306253;Дизель генератор ТСС SDG 8000EHA 100050;"
    129 804 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/dizel-generator-tss-sdg-8000eha-100050-5371399/
код: 23306289;Дизель генератор ТСС SDG 11000EH3A 100056;"
    303 746 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/dizel-generator-tss-sdg-11000eh3a-100056-5631055/
код: 26511747;Дизельный генератор ТСС АД-24С-Т400-1РМ16 039970;"
    355 927 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/dizelnyj-generator-ad-24s-t400-1rm16-tss-039970-7570388/
код: 25146267;Дизельная электростанция с электростартером и коннектором автоматики FUBAG DS 7000 DA ES 641695;"
    122 020 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/elektrostantsiya-dizelnaya-s-elektrostarterom-i-konnektorom-avtomatiki-ds-7000-da-es-fubag-641695-6738565/
код: 25146273;Дизельная электростанция с электростартером и коннектором автоматики FUBAG DS 5500 A ES 641694;"
    118 090 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/elektrostantsiya-dizelnaya-s-elektrostarterom-i-konnektorom-avtomatiki-ds-5500-a-es-fubag-641694-6738499/
код: 23301489;Дизель генератор ТСС SDG 9000EH3A 100031;"
    124 732 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/dizel-generator-tss-sdg-9000eh3a-100031-5631061/
