Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15882480;"Долото плоское (40х250х14 мм; SDS-plus) Gigant G-11016";"
    165 р.

    ";"
    В наличии
    141
    шт.
  ";https://spb.vseinstrumenti.ru/product/doloto-ploskoe-40h250h14-mm-sds-plus-gigant-g-11016-1059880/
код: 15933627;Долото-пика SDS-plus (14x250 мм) Gigant G-11013;"
    154 р.

    ";"
    В наличии
    85
    шт.
  ";https://spb.vseinstrumenti.ru/product/doloto-pika-sds-plus-14x250-mm-gigant-g-11013-1102173/
код: 16062695;"Долото пика (14х400 мм; SDS-plus) Gigant GRD 11063";"
    126 р.

    ";"
    В наличии
    12
    шт.
  ";https://spb.vseinstrumenti.ru/product/doloto-pika-14h400-mm-sds-plus-gigant-grd-11063-1323680/
код: 18411721;Долото SDS-max ASDSC1840025 (18х400х25 мм) AEG 4932479273;"
    642 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/doloto-sds-max-asdsc1840025-18h400h25-mm-aeg-4932479273-2152740/
код: 15882481;"Долото плоское (20х250х14 мм; SDS-plus) Gigant G-11014";"
    87 р.

    ";"
    В наличии
    41
    шт.
  ";https://spb.vseinstrumenti.ru/product/doloto-ploskoe-20h250h14-mm-sds-plus-gigant-g-11014-1059879/
код: 16062692;"Долото лопаточное (40х200 мм; SDS-plus) Gigant GRD 11061";"
    290 р.

    ";"
    В наличии
    19
    шт.
  ";https://spb.vseinstrumenti.ru/product/doloto-lopatochnoe-40h200-mm-sds-plus-gigant-grd-11061-1323718/
код: 13503839;Долото плоское SDS-plus (40х250 мм) DEWALT 6803;"
    759 р.

    ";"
    В наличии
    18
    шт.
  ";https://spb.vseinstrumenti.ru/product/doloto-ploskoe-sds-plus-40h200-mm-dewalt-6803-61304/
код: 16067237;Зубило пика SDS-Max 400х18 мм Gigant GRD 2109;"
    267 р.

    ";"
    В наличии
    358
    шт.
  ";https://spb.vseinstrumenti.ru/product/zubilo-pika-sds-max-400h18-mm-gigant-grd-2109-1416993/
код: 16067240;Зубило плоское SDS-Max 50x400 мм Gigant GRD 2112;"
    519 р.

    ";"
    В наличии
    818
    шт.
  ";https://spb.vseinstrumenti.ru/product/zubilo-ploskoe-sds-max-50x400-mm-gigant-grd-2112-1417029/
код: 16067238;Зубило плоское SDS-Max 25x300 мм Gigant GRD 2110;"
    258 р.

    ";"
    В наличии
    316
    шт.
  ";https://spb.vseinstrumenti.ru/product/zubilo-ploskoe-sds-max-25x300-mm-gigant-grd-2110-1417022/
код: 16067236;Зубило пика SDS-Max 280 мм Gigant GRD 2108;"
    208 р.

    ";"
    В наличии
    104
    шт.
  ";https://spb.vseinstrumenti.ru/product/zubilo-pika-sds-max-280-mm-gigant-grd-2108-1416995/
код: 15500899;Долото зубило плоское SDS MAX (50х400 мм) ПРАКТИКА 035-240;"
    524 р.

    ";"
    В наличии
    25
    шт.
  ";https://spb.vseinstrumenti.ru/product/doloto-zubilo-ploskoe-sds-max-50h400-mm-praktika-035-240-719803/
код: 15500893;Зубило пикообразное SDS MAX (400 мм) ПРАКТИКА 035-202;"
    368 р.

    ";"
    В наличии
    53
    шт.
  ";https://spb.vseinstrumenti.ru/product/zubilo-pikoobraznoe-sds-max-400-mm-praktika-035-202-719774/
код: 15500902;Долото - зубило широкое SDS Plus (40х250 мм) ПРАКТИКА 034-137;"
    165 р.

    ";"
    В наличии
    37
    шт.
  ";https://spb.vseinstrumenti.ru/product/doloto-zubilo-shirokoe-sds-plus-40h250-mm-praktika-034-137-719811/
код: 16062694;"Зубило плоское (20х400 мм; SDS-plus) Gigant GRD 11064";"
    230 р.

    ";"
    В наличии
    23
    шт.
  ";https://spb.vseinstrumenti.ru/product/zubilo-ploskoe-20h400-mm-sds-plus-gigant-grd-11064-1323714/
код: 15500900;Долото - зубило плоское SDS Plus (20х250 мм) ПРАКТИКА 034-120;"
    104 р.

    ";"
    В наличии
    234
    шт.
  ";https://spb.vseinstrumenti.ru/product/doloto-zubilo-ploskoe-sds-plus-20h250-mm-praktika-034-120-719804/
код: 15500895;Долото зубило пикообразное SDS Plus (250 мм) ПРАКТИКА 034-144;"
    154 р.

    ";"
    В наличии
    48
    шт.
  ";https://spb.vseinstrumenti.ru/product/doloto-zubilo-pikoobraznoe-sds-plus-250-mm-praktika-034-144-719776/
код: 16067239;Зубило плоское SDS-Max 25x400 мм Gigant GRD 2111;"
    291 р.

    ";"
    В наличии
    24
    шт.
  ";https://spb.vseinstrumenti.ru/product/zubilo-ploskoe-sds-max-25x400-mm-gigant-grd-2111-1417030/
код: 15877140;"Зубило плоское (20х240 мм; SDS-plus) СИБРТЕХ 703207";"
    145 р.

    ";"
    В наличии
    29
    шт.
  ";https://spb.vseinstrumenti.ru/product/zubilo-ploskoe-20h240-mm-sds-plus-sibrteh-703207-1094061/
код: 18410875;Долото SDS-max ASDSC18300 (18х300 мм) AEG 4932479269;"
    496 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/doloto-sds-max-asdsc18300-18h300-mm-aeg-4932479269-2152719/
код: 17210179;"Пика для молотка отбойного (30х400 мм; НЕХ30) Спец 831001";"
    1 090 р.

    ";"
    В наличии
    19
    шт.
  ";https://spb.vseinstrumenti.ru/product/pika-dlya-molotka-otbojnogo-30h400-mm-neh30-spets-831001-2320756/
код: 17212758;Пика П-11 TOR 208111;"
    463 р.

    ";"
    В наличии
    156
    шт.
  ";https://spb.vseinstrumenti.ru/product/pika-p-11-tor-208111-1975256/
код: 4930;Плоское долото SDS-plus Makita D-08729;"
    315 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/ploskoe-doloto-sds-plus-makita-d-08729-4930/
код: 16888513;"Зубило (14Х250Х50 мм; SDS-plus) Vertextools 111-50-250";"
    239 р.

    ";"
    В наличии
    15
    шт.
  ";https://spb.vseinstrumenti.ru/product/zubilo-14h250h50-mm-sds-plus-vertextools-111-50-250-1661146/
код: 15950314;Зубило плоское SDS Plus 250х20 мм ECO Bosch 2608578518;"
    276 р.

    ";"
    В наличии
    12
    шт.
  ";https://spb.vseinstrumenti.ru/product/zubilo-ploskoe-sds-plus-250h20-mm-eco-bosch-2608578518-1072562/
код: 15383068;"Зубило пикообразное (18х600 мм; SDS-MAX) MATRIX 70348";"
    626 р.

    ";"
    В наличии
    17
    шт.
  ";https://spb.vseinstrumenti.ru/product/zubilo-pikoobraznoe-18h600-mm-sds-max-matrix-70348-783765/
код: 13675345;Долото канальное SDS-plus (22х250 мм) Энкор 9875;"
    194 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/doloto-kanalnoe-sds-plus-22h250-mm-enkor-9875-61256/
код: 15606791;Зубило SDS-plus (40х250 мм) Энкор 9873;"
    193 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/zubilo-sds-plus-40h250-mm-enkor-9873-798773/
код: 15561183;Зубило плоское узкое для перфораторов SDS-Plus (20х250 мм) Зубр 29232-20-250;"
    173 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/zubilo-ploskoe-uzkoe-dlya-perforatorov-sds-plus-20h250-mm-zubr-29232-20-250-775462/
