Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15491267;Дрель-миксер Фиолент МД1-11Э ИДФР298179001-К7;"
    5 802 р.

    ";"
    В наличии
    15
    шт.
  ";https://spb.vseinstrumenti.ru/product/drel-mikser-fiolent-md1-11e-idfr298179001-k7-711644/
код: 15895693;Строительный миксер ЗУБР МР-1600-2;"
    10 870 р.

    ";"
    В наличии
    11
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnyj-mikser-zubr-mr-1600-2-960899/
код: 19826548;Миксер Gigant Professional MX-160 (K) 1600Вт GP-1600;"
    10 879 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/mikser-gigant-professional-mx-160-k-1600vt-gp-1600-2062488/
код: 15560981;Строительный миксер Зубр МР-1050-1;"
    7 470 р.

    ";"
    В наличии
    10
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnyj-mikser-zubr-mr-1050-1-774284/
код: 16506307;Строительный миксер Zitrek ZKM1600W 022-0300;"
    2 990 р.

    ";"
    В наличии
    13
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnyj-mikser-zitrek-zkm1600w-022-0300-1653617/
код: 15647395;Электрический миксер Калибр ЭРМ-1600/2Е 00000066070;"
    5 829 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-mikser-kalibr-erm-1600-2e-00000066070-839202/
код: 16180446;Дрель-миксер Вихрь Д-1000М 72/8/8;"
    6 790 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/drel-mikser-vihr-d-1000m-72-8-8-1281478/
код: 15917328;Миксер Einhell TC-MX 1200 E 4258545;"
    5 050 р.

    ";"
    В наличии
    7
    шт.
  ";https://spb.vseinstrumenti.ru/product/mikser-einhell-tc-mx-1200-e-4258545-986415/
код: 16535958;Строительный миксер Zitrek Greenmix 1200 022-0301;"
    2 599 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnyj-mikser-zitrek-greenmix-1200-022-0301-1705858/
код: 15865858;Электрическая дрель-миксер PATRIOT DM 150 120301150;"
    8 990 р.

    ";"
    В наличии
    6
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskaya-drel-mikser-patriot-dm-150-120301150-965231/
код: 15631056;Миксер Энкор МЭ-2 1400ЭМ 50104;"
    6 642 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/mikser-enkor-me-2-1400em-50104-819348/
код: 16016195;Дрель-миксер ПУЛЬСАР МС 120-1400 791-547;"
    6 150 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/drel-mikser-pulsar-ms-120-1400-791-547-1114211/
код: 15984808;Миксер REDVERG RD-Mix150/2DM 6615512;"
    12 990 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/mikser-redverg-rd-mix150-2dm-6615512-1102025/
код: 16831321;Мешалка Hikoki UM16VST2 UM16VST2NSZ;"
    10 399 р.

    ";"
    В наличии
    13
    шт.
  ";https://spb.vseinstrumenti.ru/product/meshalka-hikoki-um16vst2-um16vst2nsz-1649426/
код: 23063793;Строительный миксер P.I.T. 1600 Вт PHM250-C;"
    12 295 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnyj-mikser-p-i-t-1600-vt-phm250-c-4852261/
код: 20398564;Электрический миксер Булат 1300Вт, 3-16мм ЭМ-16/1300;"
    4 342 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-mikser-bulat-em-16-1300-2153170/
код: 15780621;Двухскоростной миксер с кнопкой регулировки скорости FLEX MXE 1000 + WR2 120 495883;"
    29 900 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/dvuhskorostnoj-mikser-s-knopkoj-regulirovki-skorosti-flex-mxe-1000-wr2-120-495883-891936/
код: 16348398;Электрический миксер FAVOURITE 1300Вт, 3-16мм EM 16/1300;"
    4 650 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-mikser-favourite-1300vt-3-16mm-em-16-1300-1406534/
код: 15555539;Миксер Einhell TE-MX 1600-2 CE 4258555;"
    10 348 р.

    ";"
    В наличии
    21
    шт.
  ";https://spb.vseinstrumenti.ru/product/mikser-einhell-te-mx-1600-2-ce-4258555-767638/
код: 16623464;Строительный миксер DEKO DKM1600W 065-0622;"
    3 983 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnyj-mikser-deko-dkm1600w-065-0622-1665311/
код: 16179688;Аккумуляторный миксер Einhell PXC TE-MX 18 Li-Solo 4258760;"
    7 990 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornyj-mikser-einhell-pxc-te-mx-18-li-solo-4258760-1267670/
код: 15908630;Дрель-миксер Makita M6600;"
    7 200 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/drel-mikser-makita-m6600-973508/
код: 15557921;Дрель-миксер Фиолент Мастер МД1-11Э М Ф0070 ИДФР298179001-01;"
    6 769 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/drel-mikser-fiolent-master-md1-11e-m-f0070-idfr298179001-01-770987/
код: 23665887;Миксер-дрель Фиолент МД5-12Э ИДФР298179003-02;"
    6 853 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/mikser-drel-fiolent-md5-12e-idfr298179003-02-5329477/
код: 16232484;Электрический миксер GRAPHITE 58G785;"
    13 429 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/elektricheskij-mikser-graphite-58g785-1315235/
код: 19826554;Миксер Gigant Professional MX-130 (B) 1300Вт GP-1300;"
    9 125 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/mikser-gigant-professional-mx-130-b-1300vt-gp-1300-2062487/
код: 15895694;Ручной электрический миксер ЗУБР МРД-1400;"
    13 140 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/ruchnoj-elektricheskij-mikser-zubr-mrd-1400-960886/
код: 19826536;Миксер Gigant Professional DM-120 (B) 1200Вт GP-1200;"
    8 359 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/mikser-gigant-professional-dm-120-b-1200vt-gp-1200-2062456/
код: 15542449;Дрель-миксер Зубр ПРОФЕССИОНАЛ ЗДМ-1200 РММ2;"
    8 350 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/drel-mikser-zubr-professional-zdm-1200-rmm2-756846/
код: 19826542;Миксер Gigant Professional DM-105 (B) 1050Вт GP-1050;"
    5 408 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/mikser-gigant-professional-dm-105-b-1050vt-gp-1050-2062458/
код: 15560782;Строительный миксер Stanley SDR1400;"
    9 818 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/stroitelnyj-mikser-stanley-sdr1400-774829/
код: 15895692;Строительный миксер ЗУБР МР-1400-2;"
    9 910 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/stroitelnyj-mikser-zubr-mr-1400-2-960888/
код: 16278768;Строительный миксер Вихрь СМ-1200Э 72/20/1;"
    6 390 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/stroitelnyj-mikser-vihr-sm-1200e-72-20-1-1350878/
код: 23058195;Строительный миксер Ресанта СМ-1600Э-2 75/20/1;"
    10 790 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/stroitelnyj-mikser-resanta-sm-1600e-2-75-20-1-4752744/
код: 20634484;Дрель-миксер Фиолент МД2-7-РЭ ИДФР298179002-К2;"
    6 225 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/drel-mikser-fiolent-md2-7-re-idfr298179002-k2-2185310/
код: 16444331;Строительный миксер TOTAL TD614006;"
    9 259 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/stroitelnyj-mikser-total-td614006-1543710/
код: 23665899;Миксер-дрель Фиолент МД7-11Э М Мастер ИДФР298179001-03;"
    9 018 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/mikser-drel-fiolent-md7-11e-m-master-idfr298179001-03-5329489/
код: 15702255;Электрическая дрель-миксер PATRIOT DM 100 120301100;"
    5 390 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/elektricheskaya-drel-mikser-patriot-dm-100-120301100-850421/
код: 16146826;Строительный миксер Ставр ст100-1600-2смсд;"
    11 890 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/stroitelnyj-mikser-stavr-st100-1600-2smsd-1222828/
код: 16232485;Электрический миксер GRAPHITE 58G787;"
    12 454 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/elektricheskij-mikser-graphite-58g787-1315248/
код: 22062844;Миксер Felisatti КМ-100/1600ЭМ 625.5.0.00;"
    9 449 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/mikser-felisatti-km-100-1600em-625-5-0-00-3602592/
код: 16831357;Мешалка Hikoki UM12VST2 UM12VST2NSZ;"
    7 499 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/meshalka-hikoki-um12vst2-um12vst2nsz-1649427/
код: 16433276;Крепкий миксер EIBENSTOCK EHM 162 S до 80 с венчиком MG 160 комплект кг07779000;"
    57 500 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/krepkij-mikser-eibenstock-ehm-162-s-do-80-s-venchikom-mg-160-komplekt-kg07779000-1488275/
