Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 14949071;Рубанок Ryobi EPN6082CHG 5133000350;"
    7 695 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/rubanok-ryobi-epn6082chg-5133000350-216638/
код: 15252848;Рубанок ЗУБР ЗР-950-82;"
    5 350 р.

    ";"
    В наличии
    16
    шт.
  ";https://spb.vseinstrumenti.ru/product/rubanok-zubr-zr-950-82-669239/
код: 13915867;Электрический рубанок ЗУБР со станиной 1300 Вт ЗР-1300-110;"
    10 620 р.

    ";"
    В наличии
    12
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-rubanok-zubr-1300-vt-zr-1300-110-201390/
код: 15425118;Рубанок Зубр ЗР-750-82;"
    4 490 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/rubanok-zubr-zr-750-82-712745/
код: 15642997;Электрический рубанок с подставкой ДИОЛД РЭ-1500-01 10081131;"
    10 730 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-rubanok-s-podstavkoj-diold-re-1500-01-10081131-830762/
код: 15424193;Электрический рубанок ВИХРЬ Р-82/800 72/5/1;"
    4 290 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-rubanok-vihr-r-82-800-72-5-1-685478/
код: 15775193;Электрический рубанок PATRIOT PL 820 150301101;"
    5 690 р.

    ";"
    В наличии
    11
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-rubanok-patriot-pl-820-150301101-901115/
код: 20032474;Электрический рубанок Пульсар РЭ 82-700 793-794;"
    3 320 р.

    ";"
    В наличии
    25
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-rubanok-pulsar-re-82-700-793-794-2118407/
код: 15702799;Электрический рубанок GRAPHITE 850Вт, 82 мм 59G678;"
    7 469 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-rubanok-graphite-850vt-82-mm-59g678-850693/
код: 15561416;Рубанок Stanley STPP7502;"
    7 222 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/rubanok-stanley-stpp7502-774445/
код: 20420584;Электрический рубанок Вихрь Р-3А/82 72/5/6;"
    3 397 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-rubanok-vihr-r-3a-82-72-5-6-2180655/
код: 15910707;Электрический рубанок Вихрь Р-82/1100 72/5/5;"
    4 790 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-rubanok-vihr-r-82-1100-72-5-5-976360/
код: 15871806;Электрорубанок Энкор РЭ-950/82 50215;"
    4 883 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektrorubanok-enkor-re-950-82-50215-946975/
код: 15978024;Электрический рубанок Ресанта Р-82СТ 75/5/2;"
    8 090 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-rubanok-resanta-r-82st-75-5-2-1093500/
