Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15601106;Пропановый резак KRASS Р1П-100 2117530;"
    2 305 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/propanovyj-rezak-krass-r1p-100-2117530-794974/
код: 15513390;Резак REDIUS Р3П-02М пропановый 07502;"
    2 494 р.

    ";"
    В наличии
    16
    шт.
  ";https://spb.vseinstrumenti.ru/product/rezak-redius-r3p-02m-propanovyj-07502-730667/
код: 15867831;Пропановый резак Сварог Р3П-02М R3P- 1 94157;"
    2 620 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/propanovyj-rezak-svarog-r3p-02m-r3p-1-94157-943853/
код: 16030429;Резак ПТК Р3-345 П 00000025579;"
    3 029 р.

    ";"
    В наличии
    21
    шт.
  ";https://spb.vseinstrumenti.ru/product/rezak-ptk-r3-345-p-00000025579-1133312/
код: 15513405;Резак REDIUS Р3П-32-Р-У2 пропан трехтрубн. L=1000мм 07522;"
    3 713 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/rezak-redius-r3p-32-r-u2-propan-trehtrubn-l-1000mm-07522-730716/
код: 15867848;Трехтрубный пропановый резак Сварог Р3П-32 R3P-32-LPG 535мм 94180;"
    4 050 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/trehtrubnyj-propanovyj-rezak-svarog-r3p-32-r3p-32-lpg-535mm-94180-944002/
код: 15698948;Пропановый резак KRASS Р3П-02М 2278070;"
    2 414 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/propanovyj-rezak-krass-r3p-02m-2278070-849756/
код: 15513402;Резак REDIUS Р3П-32 пропан трехтрубн. L=535 мм 07514;"
    3 564 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/rezak-redius-r3p-32-propan-trehtrubn-l-535-mm-07514-730708/
код: 15867849;Трехтрубный пропановый резак Сварог Р3П-32-Р R3P-32-R-LPG 94175;"
    4 308 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/trehtrubnyj-propanovyj-rezak-svarog-r3p-32-r-r3p-32-r-lpg-94175-944032/
код: 16030666;Машина термической резки ПТК CG-30 00000030299;"
    45 819 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/mashina-termicheskoj-rezki-ptk-cg-30-00000030299-1133353/
код: 16312390;Пропановый резак НОРД-С L=535 мм сталь DK.1523.09209;"
    5 500 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/propanovyj-rezak-nord-s-l-535-mm-stal-dk-1523-09209-1438911/
код: 15698949;Удлиненный пропановый резак KRASS Р3П-02МУ 2278072;"
    3 570 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/udlinennyj-propanovyj-rezak-krass-r3p-02mu-2278072-849757/
код: 15892987;Трехтрубный комбинированный резак, вентильный, с мундштуком KRASS 800 2278589;"
    5 406 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/trehtrubnyj-kombinirovannyj-rezak-ventilnyj-s-mundshtukom-krass-800-2278589-972269/
код: 15939798;Пропановая горелка для деликатных работ JETSOUD PB GCE G0767952;"
    4 830 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/propanovaya-gorelka-dlya-delikatnyh-rabot-jetsoud-pb-gce-g0767952-1144869/
код: 16019713;Пропановый резак Маяк 2-01 до 300мм 0003898;"
    3 192 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/propanovyj-rezak-mayak-2-01-do-300mm-0003898-1124506/
код: 16030430;Универсальный резак ПТК Р3-345ПУ L=900 mm 00000029911;"
    3 573 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/universalnyj-rezak-ptk-r3-345pu-l-900-mm-00000029911-1133314/
код: 15867839;Резак Сварог РЗ 62-3F 1C005-0012 95655;"
    4 790 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/rezak-svarog-rz-62-3f-1c005-0012-95655-943891/
код: 15082081;"Резак пропановый ""NORD-S 100П"" (535 мм) NORD 1390010";"
    6 086 р.

    ";"
    В наличии
    6
    шт.
  ";https://spb.vseinstrumenti.ru/product/rezak-propanovyj-nord-s-100p-535-mm-nord-1390010-695729/
код: 15734389;Цанговый баллон газ всесезонный 400 мл (универсальный, для портативных газовых приборов, бутан/пропан) 70/30 СПЕЦ СИБ-400;"
    141 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/tsangovyj-ballon-gaz-vsesezonnyj-400-ml-universalnyj-dlya-portativnyh-gazovyh-priborov-butan-propan-70-30-spets-sib-400-864620/
код: 16465558;Газовый баллон Turbojet с МАПП газом TJ453M;"
    735 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/gazovyj-ballon-turbojet-s-mapp-gazom-tj453m-1927611/
код: 24925167;Туристический одноразовый баллон DRAGONKIT газ 220 гр 00-00003273;"
    100 р.

    ";"
    В наличии
    75
    шт.
  ";https://spb.vseinstrumenti.ru/product/turisticheskij-odnorazovyj-ballon-dragonkit-gaz-220-gr-00-00003273-6429955/
код: 20870913;Газ в баллоне REXANT всесезонный, универсальный, 220 гр 09-1414;"
    114 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/gaz-v-ballone-rexant-vsesezonnyj-universalnyj-220-gr-09-1414-2461060/
код: 15640134;Газовый баллон TOURIST STANDARD ТВ-230;"
    146 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/gazovyj-ballon-tourist-standard-tv-230-829455/
код: 15513378;Редуктор пропановый БПО-5-3 REDIUS 012011;"
    1 040 р.

    ";"
    В наличии
    29
    шт.
  ";https://spb.vseinstrumenti.ru/product/reduktor-propanovyj-bpo-5-3-redius-012011-731275/
код: 15694077;Редуктор углекислотный УР-6-6М ArR-137A Сварог 94480;"
    1 225 р.

    ";"
    В наличии
    16
    шт.
  ";https://spb.vseinstrumenti.ru/product/reduktor-uglekislotnyj-ur-6-6m-arr-137a-svarog-94480-844507/
код: 15623418;Цанговый баллон с газом Tulips Tools 220г IG13-220;"
    178 р.

    ";"
    В наличии
    21
    шт.
  ";https://spb.vseinstrumenti.ru/product/tsangovyj-ballon-s-gazom-tulips-tools-220g-ig13-220-815902/
код: 23844723;Универсальный бытовой газ MARCON 4620010541216;"
    131 р.

    ";"
    В наличии
    7
    шт.
  ";https://spb.vseinstrumenti.ru/product/universalnyj-bytovoj-gaz-marcon-4620010541216-6612145/
код: 16479591;Газ для портативных плит/универсальный/металлический баллон 220 гр, цанг/всесезонный 116-014;"
    204 р.

    ";"
    В наличии
    64
    шт.
  ";https://spb.vseinstrumenti.ru/product/gaz-dlya-portativnyh-plit-universalnyj-metallicheskij-ballon-220-gr-tsang-vsesezonnyj-116-014-1584745/
код: 19612194;Баллон пропановый 50 л новый, пустой Gigant CP-50;"
    5 419 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/ballon-propanovyj-50-l-novyj-pustoj-gigant-cp-50-2000672/
код: 16625540;Рукав кислородный 3 класс черный с синей полосой 40 м, D 9 мм, 2 МПа Gigant G-751;"
    2 849 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/rukav-kislorodnyj-3-klass-chernyj-s-sinej-polosoj-40-m-d-9-mm-2-mpa-gigant-g-751-1651176/
код: 16326947;Газ для портативных плит Следопыт металлический баллон, 220 гр. PF-FG-220R;"
    132 р.

    ";"
    В наличии
    9
    шт.
  ";https://spb.vseinstrumenti.ru/product/gaz-dlya-portativnyh-plit-sledopyt-metallicheskij-ballon-220-gr-pf-fg-220r-7169006/
код: 15748716;"Рукав кислородный Черный (40 м; 9 мм) Krass 2921031SB";"
    4 130 р.

    ";"
    В наличии
    25
    шт.
  ";https://spb.vseinstrumenti.ru/product/rukav-kislorodnyj-chernyj-40-m-9-mm-krass-2921031sb-872529/
код: 16215172;Газовая смесь для портативных горелок 650мл AXIOM 11604820;"
    349 р.

    ";"
    В наличии
    19
    шт.
  ";https://spb.vseinstrumenti.ru/product/gazovaya-smes-dlya-portativnyh-gorelok-650ml-axiom-11604820-1326973/
код: 15780782;Регулятор углекислотный У-30-КР1-м-Р1 манометр + ротаметр REDIUS 05202;"
    2 641 р.

    ";"
    В наличии
    32
    шт.
  ";https://spb.vseinstrumenti.ru/product/regulyator-uglekislotnyj-u-30-kr1-m-r1-manometr-rotametr-redius-05202-904684/
код: 15640124;Газовый баллон TOURIST TB-220;"
    146 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/gazovyj-ballon-tourist-tb-220-829456/
код: 15748715;"Рукав кислородный Синий (40 м; 9 мм) Krass 2921030SB";"
    4 130 р.

    ";"
    В наличии
    6
    шт.
  ";https://spb.vseinstrumenti.ru/product/rukav-kislorodnyj-sinij-40-m-9-mm-krass-2921030sb-872527/
код: 17277864;Редуктор газовый кислородный БКО-50 Gigant GT-117;"
    1 159 р.

    ";"
    В наличии
    7
    шт.
  ";https://spb.vseinstrumenti.ru/product/reduktor-gazovyj-kislorodnyj-bko-50-gigant-gt-117-1730092/
код: 16655065;"Шланг кислородный с синей полосой III (9 мм; 2.0 МПа; 50 м) Sonatex 102185";"
    3 588 р.

    ";"
    В наличии
    17
    шт.
  ";https://spb.vseinstrumenti.ru/product/shlang-kislorodnyj-s-sinej-polosoj-iii-9-mm-2-0-mpa-50-m-sonatex-102185-1630522/
код: 15513356;Регулятор аргоновый с ротаметром АР-40-КР1-м-Р1 REDIUS 055021;"
    2 624 р.

    ";"
    В наличии
    26
    шт.
  ";https://spb.vseinstrumenti.ru/product/regulyator-argonovyj-s-rotametrom-ar-40-kr1-m-r1-redius-055021-730944/
код: 15748712;"Рукав ацетиленовый Красный (40 м; 9 мм) Krass 2921007SB";"
    4 130 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/rukav-atsetilenovyj-krasnyj-40-m-9-mm-krass-2921007sb-872525/
код: 16015544;Редуктор углекислотный УР-6-6 К BRIMA 0010714;"
    1 225 р.

    ";"
    В наличии
    23
    шт.
  ";https://spb.vseinstrumenti.ru/product/reduktor-uglekislotnyj-ur-6-6-k-brima-0010714-1121436/
код: 16488470;Редуктор углекислотный УР6-6 Профессионал 704;"
    1 860 р.

    ";"
    В наличии
    29
    шт.
  ";https://spb.vseinstrumenti.ru/product/reduktor-uglekislotnyj-ur6-6-professional-704-1581774/
код: 15748711;"Рукав ацетиленовый Красный (40 м; 6.3 мм) Krass 2921004SB";"
    2 750 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/rukav-atsetilenovyj-krasnyj-40-m-6-3-mm-krass-2921004sb-872524/
код: 17531724;Набор 4 газовых цанговых баллона для портативных газовых плит и горелок A2DM 116014;"
    649 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/nabor-4-gazovyh-tsangovyh-ballona-dlya-portativnyh-gazovyh-plit-i-gorelok-a2dm-116014-1899338/
код: 15596941;Баллон цанговый 220 KOVEA KOV-KGF-0220;"
    242 р.

    ";"
    В наличии
    45
    шт.
  ";https://spb.vseinstrumenti.ru/product/ballon-tsangovyj-220-butan-propan-70-30-kovea-kov-kgf-0220-789822/
код: 15640172;Газовый баллон TOURIST STANDARD резьбовой TBR-230 00000000367;"
    446 р.

    ";"
    В наличии
    47
    шт.
  ";https://spb.vseinstrumenti.ru/product/gazovyj-ballon-tourist-standard-rezbovoj-tbr-230-00000000367-829454/
код: 16030393;Редуктор углекислотный УР-6 МИНИ ПТК 00000028941;"
    1 071 р.

    ";"
    В наличии
    54
    шт.
  ";https://spb.vseinstrumenti.ru/product/reduktor-uglekislotnyj-ur-6-mini-ptk-00000028941-1171085/
код: 16695391;"Рукав резиновый для газосварки ГОСТ 9356-75 ТИП III- для кислорода (9 мм; 20 атм.; синяя полоса; бухта 50 м) Andycar H17";"
    5 835 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/rukav-rezinovyj-dlya-gazosvarki-gost-9356-75-tip-iii-dlya-kisloroda-9-mm-20-atm-sinyaya-polosa-buhta-50-m-andycar-h17-1645172/
код: 15748713;"Рукав кислородный Синий (40 м; 6.3 мм) Krass 2921020SB";"
    2 750 р.

    ";"
    В наличии
    8
    шт.
  ";https://spb.vseinstrumenti.ru/product/rukav-kislorodnyj-sinij-40-m-6-3-mm-krass-2921020sb-872526/
код: 15601037;Редуктор бытовой РДСГ-1-KRASS KRASS 2117306;"
    479 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/reduktor-bytovoj-rdsg-1-krass-krass-2117306-794732/
