Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15760744;Гибридный генератор газ-бензин СПЕЦ HG-9000 и комплект для подключения к сети+баллону;"
    48 456 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/gibridnyj-generator-gaz-benzin-spets-hg-9000-i-komplekt-dlya-podklyucheniya-k-seti-ballonu-877549/
код: 15748215;Гибридный генератор газ-бензин СПЕЦ-HG-2700 и комплект для подключения к сети+баллону;"
    26 171 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/gibridnyj-generator-gaz-benzin-spets-hg-2700-i-komplekt-dlya-podklyucheniya-k-seti-ballonu-871512/
код: 15561951;Двухтопливный генератор Daewoo Бензин + Газ GDA 3500 DFE;"
    39 990 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/dvuhtoplivnyj-generator-daewoo-benzin-gaz-gda-3500-dfe-776577/
код: 15760743;Гибридный генератор газ-бензин СПЕЦ HG-8000 и комплект для подключения к сети+баллону;"
    57 990 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/gibridnyj-generator-gaz-benzin-spets-hg-8000-i-komplekt-dlya-podklyucheniya-k-seti-ballonu-877548/
код: 15748214;Гибридный генератор газ-бензин СПЕЦ-HG-7000 и комплект для подключения к сети+баллону;"
    54 900 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/gibridnyj-generator-gaz-benzin-spets-hg-7000-i-komplekt-dlya-podklyucheniya-k-seti-ballonu-871513/
код: 15562013;Двухтопливный генератор Daewoo Бензин + Газ GDA 7500 DFE;"
    79 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/dvuhtoplivnyj-generator-daewoo-benzin-gaz-gda-7500-dfe-777470/
код: 16445364;Гибридный генератор ЗУБР бензин/газ, 3300 Вт СГ-3300;"
    39 920 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/gibridnyj-generator-zubr-benzin-gaz-3300-vt-sg-3300-1522959/
код: 15519891;Электрогенератор Huter DY6500LXG 64/1/32;"
    66 490 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/elektrogenerator-huter-dy6500lxg-64-1-32-733298/
код: 26335853;Генератор Aurora ABE 7500 RUN 7.5 кВт, 230 В, бензин+газ, увеличенный бак 13л 34117;"
    62 400 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/generator-aurora-abe-7500-run-7-5-kvt-230-v-benzin-gaz-uvelichennyj-bak-13l-34117-7579316/
код: 16096112;Газобензиновый генератор Konner&Sohnen KS 7000E G;"
    98 899 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/gazobenzinovyj-generator-konner-sohnen-ks-7000e-g-1189157/
код: 26335835;Генератор Aurora ABE 5500 RUN 5.5 кВт, 230 В, бензин+газ, увеличенный бак 13л 34116;"
    50 000 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/generator-aurora-abe-5500-run-5-5-kvt-230-v-benzin-gaz-uvelichennyj-bak-13l-34116-7579310/
код: 15089641;Комбинированная электростанция Зубр ЗЭСГ-2500;"
    26 677 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kombinirovannaya-elektrostantsiya-zubr-zesg-2500-536315/
код: 16526961;Газовый генератор Generac 7232;"
    648 000 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/gazovyj-generator-generac-7232-1588379/
код: 15830550;Газовый генератор Briggs&Stratton G140 40489;"
    999 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/gazovyj-generator-briggs-stratton-g140-40489-908241/
код: 15863261;Газовый генератор Briggs&Stratton G80 40495;"
    699 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/gazovyj-generator-briggs-stratton-g80-40495-945008/
код: 15863262;Газовый генератор Briggs&Stratton G110 40491;"
    899 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/gazovyj-generator-briggs-stratton-g110-40491-945007/
код: 16445367;Гибридный генератор бензин/газ с электростартером ЗУБР 5500 Вт, СГ-5500Е;"
    59 270 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/gibridnyj-generator-benzin-gaz-s-elektrostarterom-zubr-5500-vt-sg-5500e-1527051/
код: 15626367;Генератор CHAMPION LPG6500E;"
    77 090 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/generator-champion-lpg6500e-814842/
код: 15925998;Газовый генератор в шумоизоляционном кожухе Generac SG 400;"
    19 404 000 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/gazovyj-generator-v-shumoizolyatsionnom-kozhuhe-generac-sg-400-1060183/
код: 15926022;Газовый генератор открытого исполнения Generac SG 400 open;"
    18 216 000 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/gazovyj-generator-otkrytogo-ispolneniya-generac-sg-400-open-1060350/
код: 15926019;Газовый генератор открытого исполнения Generac SG 320 open;"
    14 490 000 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/gazovyj-generator-otkrytogo-ispolneniya-generac-sg-320-open-1060326/
код: 16006381;Газовый генератор Generac 7146 G0071460;"
    842 400 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/gazovyj-generator-generac-7146-1127790/
код: 15925995;Газовый генератор в шумоизоляционном кожухе Generac SG 320;"
    15 300 000 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/gazovyj-generator-v-shumoizolyatsionnom-kozhuhe-generac-sg-320-1064652/
код: 15925993;Газовый генератор в шумоизоляционном кожухе Generac SG 280;"
    14 184 000 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/gazovyj-generator-v-shumoizolyatsionnom-kozhuhe-generac-sg-280-1060102/
код: 15869533;Газовый генератор Briggs&Stratton G500 076167;"
    1 899 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/gazovyj-generator-briggs-stratton-g500-076167-945005/
код: 15926017;Газовый генератор открытого исполнения Generac SG 280 open;"
    13 410 000 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/gazovyj-generator-otkrytogo-ispolneniya-generac-sg-280-open-1060324/
код: 15925990;Газовый генератор в шумоизоляционном кожухе Generac SG 220;"
    9 900 000 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/gazovyj-generator-v-shumoizolyatsionnom-kozhuhe-generac-sg-220-1060096/
код: 15925991;Газовый генератор в шумоизоляционном кожухе Generac SG 240;"
    10 305 000 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/gazovyj-generator-v-shumoizolyatsionnom-kozhuhe-generac-sg-240-1060099/
код: 15926014;Газовый генератор открытого исполнения Generac SG 220 open;"
    9 360 000 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/gazovyj-generator-otkrytogo-ispolneniya-generac-sg-220-open-1060316/
код: 15869532;Газовый генератор Briggs&Stratton G400 /40 kW/ 076157;"
    1 699 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/gazovyj-generator-briggs-stratton-g400-40-kw-076157-945004/
