Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 16173137;Хоппер-ковш Gigant HBR01;"
    2 627 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/hopper-kovsh-gigant-hbr01-1417560/
код: 15591941;Штукатурный хоппер-ковш, стеновой Zitrek SN-01 021-3150;"
    3 160 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/shtukaturnyj-hopper-kovsh-stenovoj-zitrek-sn-01-021-3150-784474/
код: 16508882;Штукатурный хоппер ковш для стен Pegas pneumatic 2721;"
    3 530 р.

    ";"
    В наличии
    40
    шт.
  ";https://spb.vseinstrumenti.ru/product/shtukaturnyj-hopper-kovsh-dlya-sten-pegas-pneumatic-2721-1594187/
код: 22247961;Штукатурный пневматический пистолет Русский Мастер хоппер, крошкомет FR-301 РМ-381263;"
    2 065 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/shtukaturnyj-pnevmaticheskij-pistolet-russkij-master-hopper-kroshkomet-fr-301-rm-381263-3810474/
код: 21359296;Штукатурный ковш FUBAG Hopper PL4000 412658;"
    4 010 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/shtukaturnyj-kovsh-fubag-hopper-pl4000-412658-4731720/
код: 15748500;Штукатурный стеновой хоппер-ковш TeaM Промышленник К350;"
    2 978 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/shtukaturnyj-stenovoj-hopper-kovsh-team-k350-886340/
код: 16541127;Штукатурный хоппер-ковш стеновой FOXWELD AEROMAX WAH-02 7835;"
    3 055 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/shtukaturnyj-hopper-kovsh-stenovoj-foxweld-aeromax-wah-02-7835-1609414/
код: 24569265;Хоппер-ковш для штукатурных работ ECO SGH-01 EC1538-1;"
    3 570 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/hopper-kovsh-dlya-shtukaturnyh-rabot-eco-sgh-01-ec1538-1-6467857/
код: 23174679;Ручка для штукатурного ковша пистолета Pegas pneumatic 1129;"
    1 933 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/ruchka-dlya-shtukaturnogo-kovsha-pistoleta-pegas-pneumatic-1129-4929510/
код: 16864669;Штукатурный потолочный хоппер-ковш POWER TECHNIC с комплектом переходников E-02;"
    5 520 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/shtukaturnyj-potolochnyj-hopper-kovsh-power-technic-s-komplektom-perehodnikov-e-02-1799863/
код: 16154733;Штукатурный потолочный ковш TeaM КП350;"
    3 583 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/shtukaturnyj-potolochnyj-kovsh-team-kp350-1234772/
код: 18723870;Пневматический хоппер-ковш для нанесения штукатурки AktiSpray AvS-3.5;"
    3 150 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pnevmaticheskij-hopper-kovsh-dlya-naneseniya-shtukaturki-aktispray-avs-3-5-1931880/
код: 16539943;Штукатурный стеновой ковш TeaM КТ35003;"
    6 963 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/shtukaturnyj-stenovoj-kovsh-team-kt35003-2665418/
код: 21714070;Штукатурный хоппер-ковш DEKO HG-01 стеновой 021-3152;"
    3 397 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/shtukaturnyj-hopper-kovsh-zitrek-hg-01-stenovoj-021-3152-4180194/
код: 15691241;Штукатурный хоппер-ковш, потолочный Zitrek SN-02;"
    3 290 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/shtukaturnyj-hopper-kovsh-potolochnyj-zitrek-sn-02-842226/
код: 16864441;Штукатурный стеновой хоппер-ковш POWER TECHNIC с комплектом переходников E-01;"
    5 310 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/shtukaturnyj-stenovoj-hopper-kovsh-power-technic-s-komplektom-perehodnikov-e-01-1799856/
код: 22247685;Штукатурный хоппер-ковш ARMA PG-10;"
    4 735 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/shtukaturnyj-hopper-kovsh-arma-pg-10-3773922/
код: 18734538;Хоппер-ковш для нанесения штукатурки AktiSpray потолочный AvS-3.5P;"
    7 250 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/hopper-kovsh-dlya-naneseniya-shtukaturki-aktispray-potolochnyj-avs-3-5p-1931882/
код: 15703861;Штукатурный ковш ПРОФМАШ КШ-4 УТ-00000191;"
    4 143 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/shtukaturnyj-kovsh-profmash-ksh-4-ut-00000191-852453/
