Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15543231;Нож в металлическом корпусе 18 мм Vira Auto-lock 831309;"
    314 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozh-v-metallicheskom-korpuse-18-mm-vira-auto-lock-831309-756058/
код: 16068306;Сегментированный нож VIRA Autolock 18мм 831313;"
    252 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/segmentirovannyj-nozh-vira-autolock-18mm-831313-1336958/
код: 16068250;Нож VIRA 18мм 831315;"
    164 р.

    ";"
    В наличии
    72
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozh-vira-18mm-831315-1336964/
код: 16368227;Строительный нож VIRA Auto lock 25 мм RAGE 831404;"
    582 р.

    ";"
    В наличии
    66
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnyj-nozh-vira-auto-lock-25-mm-rage-831404-1431284/
код: 15692824;Полуоткрытый пистолет для герметика Inforce 01-13-02;"
    661 р.

    ";"
    В наличии
    27
    шт.
  ";https://spb.vseinstrumenti.ru/product/poluotkrytyj-pistolet-dlya-germetika-inforce-01-13-02-880161/
код: 15852829;Профессиональный пистолет для герметика Inforce 01-13-04;"
    699 р.

    ";"
    В наличии
    44
    шт.
  ";https://spb.vseinstrumenti.ru/product/professionalnyj-pistolet-dlya-germetika-inforce-01-13-04-1060557/
код: 15894811;Строительный нож 18 мм в металлическом корпусе с винтовым зажимом Inforce 06-02-12;"
    849 р.

    ";"
    В наличии
    6
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnyj-nozh-18-mm-v-metallicheskom-korpuse-s-vintovym-zazhimom-inforce-06-02-12-1070525/
код: 15692823;Профессиональный пистолет для герметика Inforce 01-13-01;"
    423 р.

    ";"
    В наличии
    11
    шт.
  ";https://spb.vseinstrumenti.ru/product/professionalnyj-pistolet-dlya-germetika-inforce-01-13-01-880163/
код: 16068251;Нож VIRA 9мм 831314;"
    98 р.

    ";"
    В наличии
    31
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozh-vira-9mm-831314-1336954/
код: 15827626;Строительный нож, 18 мм Gigant GWK 621;"
    144 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnyj-nozh-18-mm-gigant-gwk-621-976170/
код: 16068307;Сегментированный нож VIRA Autolock металлический корпус, 9 мм 831310;"
    209 р.

    ";"
    В наличии
    43
    шт.
  ";https://spb.vseinstrumenti.ru/product/segmentirovannyj-nozh-vira-autolock-metallicheskij-korpus-9-mm-831310-1336960/
код: 15827627;Строительный нож, 18мм, 10 лезвий в наборе Gigant GWK 622;"
    130 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnyj-nozh-18mm-10-lezvij-v-nabore-gigant-gwk-622-976171/
код: 15827630;Усиленный нож, 25мм, 5 лезвий в комплекте Gigant GWK 626;"
    140 р.

    ";"
    В наличии
    73
    шт.
  ";https://spb.vseinstrumenti.ru/product/usilennyj-nozh-25mm-5-lezvij-v-komplekte-gigant-gwk-626-976173/
код: 16019549;Строительный нож 25 мм, в металлическом корпусе с винтовым фиксатором Gigant GWK 629;"
    342 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnyj-nozh-25-mm-v-metallicheskom-korpuse-s-vintovym-fiksatorom-gigant-gwk-629-1290125/
код: 16019548;Строительный нож 18 мм, в металлическом корпусе с винтовым фиксатором Gigant GWK 628;"
    145 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnyj-nozh-18-mm-v-metallicheskom-korpuse-s-vintovym-fiksatorom-gigant-gwk-628-1290127/
код: 17830054;Технический нож FIT 18 мм усиленный прорезиненный, лезвие 15 сегментов 10243;"
    168 р.

    ";"
    В наличии
    26
    шт.
  ";https://spb.vseinstrumenti.ru/product/tehnicheskij-nozh-fit-18-mm-usilennyj-prorezinennyj-lezvie-15-segmentov-10243-1882227/
код: 15101387;Технический нож FIT IT 18 мм усиленный, металлический корпус 10250;"
    263 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/tehnicheskij-nozh-fit-it-18-mm-usilennyj-metallicheskij-korpus-10250-785337/
код: 15894812;Строительный нож 25 мм в металлическом корпусе с винтовым зажимом Inforce 06-02-13;"
    1 074 р.

    ";"
    В наличии
    14
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnyj-nozh-25-mm-v-metallicheskom-korpuse-s-vintovym-zazhimom-inforce-06-02-13-1070519/
код: 15894809;Строительный нож 18 мм в металлическом корпусе Inforce 06-02-10;"
    611 р.

    ";"
    В наличии
    34
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnyj-nozh-18-mm-v-metallicheskom-korpuse-inforce-06-02-10-1070522/
код: 15824702;Набор для экспресс склеивания Akfix 705 65 гр+200 мл AN705_65;"
    386 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/nabor-dlya-ekspress-skleivaniya-akfix-705-65-gr-200-ml-ga060-902911/
код: 15824703;Набор для экспресс склеивания Akfix 705 125 гр+400 мл GA065;"
    698 р.

    
      1 505 р./кг
    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/nabor-dlya-ekspress-skleivaniya-akfix-705-125-gr-400-ml-ga065-902922/
код: 15888343;Полукорпусный пистолет для герметика Inforce 01-13-05;"
    996 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/polukorpusnyj-pistolet-dlya-germetika-inforce-01-13-05-1059801/
код: 18267211;Малярный нож vertextools 18 мм, металлический 0044-18-02;"
    120 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/malyarnyj-nozh-vertextools-18-mm-metallicheskij-0044-18-02-1928269/
код: 15907585;Строительный нож 25 мм в металлическом корпусе Inforce 06-02-14;"
    705 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnyj-nozh-25-mm-v-metallicheskom-korpuse-inforce-06-02-14-1070523/
код: 15888342;Универсальный пистолет для герметика и силикона Inforce 01-13-08;"
    1 856 р.

    ";"
    В наличии
    9
    шт.
  ";https://spb.vseinstrumenti.ru/product/universalnyj-pistolet-dlya-germetika-i-silikona-inforce-01-13-08-1059802/
код: 16069821;Универсальный клей Момент особопрочный 88, 125 мл, 1273052;"
    281 р.

    ";"
    В наличии
    9
    шт.
  ";https://spb.vseinstrumenti.ru/product/universalnyj-klej-moment-osoboprochnyj-88-125-ml-shb-b0008050-1316842/
