Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15827189;Бесщеточная угловая шлифмашина AEG BEWS18-125BL-0 4935464414;"
    13 041 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/besschetochnaya-uglovaya-shlifmashina-aeg-bews18-125bl-0-4935464414-903778/
код: 15278293;Аккумуляторная угловая шлифмашина Ryobi ONE+ R18AG-0 5133001903;"
    4 728 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornaya-uglovaya-shlifmashina-ryobi-one-r18ag-0-5133001903-667240/
код: 15642361;Бесщеточная углошлифмашина Ryobi ONE+ R18AG7-0 5133002852;"
    12 250 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/besschetochnaya-ugloshlifmashina-ryobi-one-r18ag7-0-5133002852-830867/
код: 15827190;Бесщеточная угловая шлифмашина AEG BEWS18-125BLPX-0 4935464419;"
    17 642 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/besschetochnaya-uglovaya-shlifmashina-aeg-bews18-125blpx-0-4935464419-903779/
код: 16139473;Алюминиевое правило Трапеция СИБРТЕХ 1 ребро жесткости, 1м 89607;"
    247 р.

    ";"
    В наличии
    20
    шт.
  ";https://spb.vseinstrumenti.ru/product/alyuminievoe-pravilo-trapetsiya-sibrteh-1-rebro-zhestkosti-1m-89607-1211278/
код: 15827188;Аккумуляторный бесщеточный перфоратор AEG BBH18BL LI-502C 4935464753;"
    34 056 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornyj-besschetochnyj-perforator-aeg-bbh18bl-li-502c-4935464753-903777/
код: 15733245;Строительное пластиковое ведро Gigant 12л, усиленное BCT 012 (Россия);"
    169 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnoe-plastikovoe-vedro-gigant-12l-usilennoe-bct-012-rossiya-861974/
код: 15505208;Перфоратор Ryobi ONE+ R18SDS-0 5133002305;"
    10 164 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/perforator-ryobi-one-r18sds-0-5133002305-725743/
код: 15863332;Бесщеточная угловая шлифмашина AEG BEWS 18-125BL LI-502C 4935464417;"
    42 188 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/besschetochnaya-uglovaya-shlifmashina-aeg-bews-18-125bl-li-502c-4935464417-937452/
код: 20686689;Штыковая лопата из рельсовой стали с черенком Gigant с ребрами жесткости GBS-01;"
    648 р.

    ";"
    В наличии
    7
    шт.
  ";https://spb.vseinstrumenti.ru/product/shtykovaya-lopata-iz-relsovoj-stali-s-cherenkom-gigant-s-rebrami-zhestkosti-s-ruchkoj-gbs-01-2470282/
код: 15733246;Садово-строительное пластиковое ведро Gigant 20 л, усиленное BCT 020 (Россия);"
    160 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnoe-plastikovoe-vedro-gigant-20-l-usilennoe-bct-020-rossiya-861968/
код: 13699818;Оцинкованное ведро 12л СИБРТЕХ 67591;"
    272 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/otsinkovannoe-vedro-12l-sibrteh-67591-511744/
код: 15863334;Бесщеточная угловая шлифмашина AEG BEWS18-125BL PX-602C 4935464422;"
    50 060 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/besschetochnaya-uglovaya-shlifmashina-aeg-bews18-125bl-px-602c-4935464422-937451/
код: 15929436;Компактный перфоратор AEG BBH18C-0 4935464984;"
    13 944 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/kompaktnyj-perforator-aeg-bbh18c-0-4935464984-1060170/
код: 23849001;Штыковая лопата Fiskars Solid 1003455;"
    2 100 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/shtykovaya-lopata-fiskars-solid-1003455-5624527/
код: 23948601;Посадочный совок с пластиковой ручкой Gigant GVER-11;"
    52 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/sovok-posadochnyj-s-plastikovoj-ruchkoj-gigant-gver-11-7601803/
код: 15895644;Электрический штроборез ЗУБР ПРОФЕССИОНАЛ ЗШ-П30-1400 ПСТК;"
    11 720 р.

    ";"
    В наличии
    12
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-shtroborez-zubr-professional-zsh-p30-1400-pstk-960901/
код: 15489435;Штроборез Фиолент Б2-30;"
    7 970 р.

    ";"
    В наличии
    10
    шт.
  ";https://spb.vseinstrumenti.ru/product/borozdodel-fiolent-b2-30-idfr298416002-710030/
код: 15895657;Электрический штроборез ЗУБР ПРОФЕССИОНАЛ ЗШ-П30-1400 ПСТ;"
    9 820 р.

    ";"
    В наличии
    12
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-shtroborez-zubr-professional-zsh-p30-1400-pst-960910/
код: 16436308;Штыковая лопата из рельсовой стали с V-образной ручкой Gigant GRL-02;"
    698 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/shtykovaya-lopata-iz-relsovoj-stali-s-v-obraznoj-ruchkoj-gigant-grl-02-1495921/
код: 15941141;Штыковая лопата из рельсовой стали с черенком и ребрами жесткости Gigant GRL-01 (Россия);"
    859 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/shtykovaya-lopata-iz-relsovoj-stali-s-cherenkom-i-rebrami-zhestkosti-gigant-grl-01-rossiya-1068234/
код: 23063439;Штыковая усиленная лопата с черенком высшего сорта Гранит рельсовая сталь K2Ч;"
    623 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/shtykovaya-usilennaya-lopata-s-cherenkom-granit-relsovaya-stal-k2ch-4756806/
код: 24364497;Бензиновый бетонорез с кейсом MESSER ECF350 10-44-351;"
    77 000 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/benzinovyj-betonorez-s-kejsom-messer-ecf350-10-44-351-5631343/
код: 23849007;Туристическая лопата Fiskars Solid 1014809;"
    2 320 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/turisticheskaya-lopata-fiskars-solid-1014809-5815405/
код: 15895674;Электрический штроборез ЗУБР МАСТЕР ЗШ-30-1200 Т;"
    7 860 р.

    ";"
    В наличии
    11
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-shtroborez-zubr-master-zsh-30-1200-t-960893/
