Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 13946550;Твердосплавный разметочный карандаш 145мм СИБРТЕХ 18910;"
    174 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/tverdosplavnyj-razmetochnyj-karandash-145mm-sibrteh-18910-667153/
код: 15380363;Строительный маркер FIT черный 04335;"
    31 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnyj-marker-fit-chernyj-04335-771011/
код: 15948799;Топор 600 грамм с фибергласовой рукояткой Gigant AHT600-1;"
    714 р.

    ";"
    В наличии
    74
    шт.
  ";https://spb.vseinstrumenti.ru/product/topor-600-gramm-s-fiberglasovoj-rukoyatkoj-gigant-aht600-1-1150545/
код: 15948792;Молоток с фибергласовой рукояткой 800g Gigant HHT800-1;"
    629 р.

    ";"
    В наличии
    36
    шт.
  ";https://spb.vseinstrumenti.ru/product/molotok-s-fiberglasovoj-rukoyatkoj-800g-gigant-hht800-1-1150556/
код: 15733245;Строительное пластиковое ведро Gigant 12л, усиленное BCT 012 (Россия);"
    169 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnoe-plastikovoe-vedro-gigant-12l-usilennoe-bct-012-rossiya-861974/
код: 15948787;Молоток с фибергласовой рукояткой 1000g Gigant HHT1000-1;"
    712 р.

    ";"
    В наличии
    62
    шт.
  ";https://spb.vseinstrumenti.ru/product/molotok-s-fiberglasovoj-rukoyatkoj-1000g-gigant-hht1000-1-1150550/
код: 15101092;Строительный карандаш 180 мм FIT 04318;"
    210 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnyj-karandash-180-mm-fit-04318-536284/
код: 20686689;Штыковая лопата из рельсовой стали с черенком Gigant с ребрами жесткости GBS-01;"
    648 р.

    ";"
    В наличии
    7
    шт.
  ";https://spb.vseinstrumenti.ru/product/shtykovaya-lopata-iz-relsovoj-stali-s-cherenkom-gigant-s-rebrami-zhestkosti-s-ruchkoj-gbs-01-2470282/
код: 15948789;Молоток с фибергласовой рукояткой 400g Gigant HHT400-1;"
    295 р.

    ";"
    В наличии
    19
    шт.
  ";https://spb.vseinstrumenti.ru/product/molotok-s-fiberglasovoj-rukoyatkoj-400g-gigant-hht400-1-1150567/
код: 15733246;Садово-строительное пластиковое ведро Gigant 20 л, усиленное BCT 020 (Россия);"
    160 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnoe-plastikovoe-vedro-gigant-20-l-usilennoe-bct-020-rossiya-861968/
