Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15611179;Цианоакрилатный клей COSMOFEN COSMO 20 г CA-500.200 (20);"
    186 р.

    
      9 300 р./кг
    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/tsianoakrilatnyj-klej-cosmofen-20-g-ca-500-200-20-813511/
код: 15016610;Гравировальная машинка Ryobi EHT150V 5133000754;"
    5 367 р.

    ";"
    В наличии
    10
    шт.
  ";https://spb.vseinstrumenti.ru/product/gravirovalnaya-mashinka-ryobi-eht150v-5133000754-228201/
код: 15480756;Аккумуляторный лобзик Ryobi ONE+ R18JS-0 5133002158;"
    8 491 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornyj-lobzik-ryobi-one-r18js-0-5133002158-725741/
код: 15505203;Лобзик Ryobi RJS1050K 5133002219;"
    7 562 р.

    ";"
    В наличии
    8
    шт.
  ";https://spb.vseinstrumenti.ru/product/lobzik-ryobi-rjs1050k-5133002219-711816/
код: 15561170;Силиконовый универсальный герметик Ремонт на 100% бесцветный RUTDE26063;"
    318 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/silikonovyj-universalnyj-germetik-remont-na-100-bestsvetnyj-rutde26063-776056/
код: 15827629;Универсальный усиленный нож, 18мм, с 5 лезвиями в наборе Gigant GWK 625;"
    187 р.

    ";"
    В наличии
    30
    шт.
  ";https://spb.vseinstrumenti.ru/product/universalnyj-usilennyj-nozh-18mm-s-5-lezviyami-v-nabore-gigant-gwk-625-1080853/
код: 15474576;Лобзик Ryobi RJS850K 5133002217;"
    6 833 р.

    ";"
    В наличии
    27
    шт.
  ";https://spb.vseinstrumenti.ru/product/lobzik-ryobi-rjs850k-5133002217-708707/
код: 16190314;Электрический гравер ЗУБР 41 предмет, кейс ЗГ-160 КН41;"
    4 130 р.

    ";"
    В наличии
    66
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-graver-zubr-41-predmet-kejs-zg-160-kn41-1288847/
код: 15824702;Набор для экспресс склеивания Akfix 705 65 гр+200 мл AN705_65;"
    386 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/nabor-dlya-ekspress-skleivaniya-akfix-705-65-gr-200-ml-ga060-902911/
код: 15824704;Супер клей Akfix 702, 25 гр. GA020;"
    164 р.

    
      6 560 р./кг
    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/super-klej-akfix-702-25-gr-ga020-902954/
код: 17477760;Санитарный силиконовый герметик Технониколь бесцветный, 280 мл TN667563;"
    304 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/sanitarnyj-silikonovyj-germetik-tehnonikol-bestsvetnyj-280-ml-tn667563-1789540/
код: 20633782;Лобзик Фиолент ПМ7-750Э Мастер ИДФР298256008-01;"
    5 635 р.

    ";"
    В наличии
    9
    шт.
  ";https://spb.vseinstrumenti.ru/product/lobzik-fiolent-pm7-750e-master-idfr298256008-01-2195575/
код: 15824703;Набор для экспресс склеивания Akfix 705 125 гр+400 мл GA065;"
    698 р.

    
      1 662 р./кг
    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/nabor-dlya-ekspress-skleivaniya-akfix-705-125-gr-400-ml-ga065-902922/
код: 16029419;Высокотемпературный силиконовый герметик IRFIX TERMOSIL красный, 310 мл 20019;"
    651 р.

    
      1 628 р./кг
    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/vysokotemperaturnyj-silikonovyj-germetik-irfix-termosil-krasnyj-310-ml-20019-1132308/
код: 15604096;Аппарат для сварки пластиковых труб Gigant GPW-1000;"
    1 599 р.

    ";"
    В наличии
    51
    шт.
  ";https://spb.vseinstrumenti.ru/product/apparat-dlya-svarki-plastikovyh-trub-gigant-gpw-1000-812966/
код: 16288190;Санитарный силикон Soudal PROFIL белый 270 мл 124252;"
    242 р.

    
      732 р./кг
    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/sanitarnyj-silikon-profil-belyj-270-ml-124252-1546075/
