Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15088650;Масляный роликовый стеклорез ЗУБР 10 000 м металлическая рукоятка 33684;"
    270 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/rolikovyj-steklorez-s-maslom-zubr-ekspert-33684-533766/
код: 15384334;Алюминиевый двойной стеклодомкрат MATRIX 875205;"
    1 602 р.

    ";"
    В наличии
    11
    шт.
  ";https://spb.vseinstrumenti.ru/product/alyuminievyj-dvojnoj-steklodomkrat-matrix-875205-783804/
код: 25134597;Виброприсоска для укладки плитки TECHNICOM аккумуляторная TC-P0116;"
    9 090 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/vibroprisoska-dlya-ukladki-plitki-technicom-akkumulyatornaya-tc-p0116-6616027/
код: 16048715;Вакуумная 1-чашечная присоска Diam 115 мм 600114;"
    848 р.

    ";"
    В наличии
    7
    шт.
  ";https://spb.vseinstrumenti.ru/product/vakuumnaya-1-chashechnaya-prisoska-diam-115-mm-600114-1154594/
код: 15045787;Стеклорез Энкор 9391;"
    330 р.

    ";"
    В наличии
    19
    шт.
  ";https://spb.vseinstrumenti.ru/product/steklorez-enkor-9391-714017/
код: 17835766;Стеклодомкрат ULTIMA 1-ный, пластиковый 141005;"
    194 р.

    ";"
    В наличии
    30
    шт.
  ";https://spb.vseinstrumenti.ru/product/steklodomkrat-ultima-1-nyj-plastikovyj-141005-1813216/
код: 13947623;Масляный стеклорез MATRIX 87264;"
    284 р.

    ";"
    В наличии
    12
    шт.
  ";https://spb.vseinstrumenti.ru/product/maslyanyj-steklorez-matrix-87264-534455/
код: 17524602;Присоска с ручной помпой Diam 205 мм 600124;"
    4 114 р.

    ";"
    В наличии
    15
    шт.
  ";https://spb.vseinstrumenti.ru/product/prisoska-s-ruchnoj-pompoj-diam-205-mm-600124-1871194/
код: 18695424;Двойной стеклодомкрат ULTIMA 80 кг, металл 141001;"
    980 р.

    ";"
    В наличии
    16
    шт.
  ";https://spb.vseinstrumenti.ru/product/dvojnoj-steklodomkrat-ultima-80-kg-metall-141001-1911278/
код: 15698386;Одинарный стеклодомкрат Энкор 9395;"
    413 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/odinarnyj-steklodomkrat-enkor-9395-849282/
код: 15840070;Тройной алюминиевый стеклодомкрат, 120 кг КОБАЛЬТ 911-109;"
    2 950 р.

    ";"
    В наличии
    9
    шт.
  ";https://spb.vseinstrumenti.ru/product/trojnoj-alyuminievyj-steklodomkrat-120-kg-kobalt-911-109-914328/
код: 15698387;Двойной стеклодомкрат Энкор 9396;"
    803 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/dvojnoj-steklodomkrat-enkor-9396-849276/
код: 16443131;Вакуумная присоска для переноски TECH-NICK 1-чашечная, 50кг LEO 131.410.7483;"
    972 р.

    ";"
    В наличии
    6
    шт.
  ";https://spb.vseinstrumenti.ru/product/vakuumnaya-prisoska-dlya-perenoski-tech-nick-1-chashechnaya-50kg-leo-131-410-7483-1519682/
код: 15840068;Алмазный стеклорез в блистере КОБАЛЬТ 911-130;"
    380 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/almaznyj-steklorez-v-blistere-kobalt-911-130-914309/
код: 15259584;Струна для срезки стекол Jonnesway AB030064W 0,75 мм х 22,5 м 49036;"
    680 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/struna-dlya-srezki-stekol-jonnesway-ab030064w-0-75-mm-h-22-5-m-49036-1233298/
код: 16443070;Вакуумная присоска для переноски TECH-NICK 3-чашечная, 155кг LEO 131.410.7485;"
    1 923 р.

    ";"
    В наличии
    24
    шт.
  ";https://spb.vseinstrumenti.ru/product/vakuumnaya-prisoska-dlya-perenoski-tech-nick-3-chashechnaya-155kg-leo-131-410-7485-1519663/
код: 16712006;Двойной стеклодомкрат Ultima 70 кг, пластик 141004;"
    690 р.

    ";"
    В наличии
    17
    шт.
  ";https://spb.vseinstrumenti.ru/product/dvojnoj-steklodomkrat-ultima-70-kg-plastik-141004-1719651/
код: 20987373;Присоска для гладких, матовых и шероховатых поверхностей raimondi MEDUSA PLUS 185MEMK3RP;"
    2 400 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/prisoska-dlya-gladkih-matovyh-i-sherohovatyh-poverhnostej-raimondi-medusa-plus-185memk3rp-2476714/
код: 21001947;Вакуумная присоска для плитки и стекла TRIO-DIAMOND PRO, 200 мм 282200;"
    6 620 р.

    ";"
    В наличии
    6
    шт.
  ";https://spb.vseinstrumenti.ru/product/vakuumnaya-prisoska-dlya-plitki-i-stekla-trio-diamond-pro-200-mm-282200-2778692/
код: 15882496;"Сверло по стеклу/кафелю (6 мм; шестигранный хвостовик) Gigant DBG 11089";"
    180 р.

    ";"
    В наличии
    41
    шт.
  ";https://spb.vseinstrumenti.ru/product/sverlo-po-steklu-kafelyu-6-mm-shestigrannyj-hvostovik-gigant-dbg-11089-1059869/
код: 15872261;Коронка алмазная по стеклу и керамике 68 мм Gigant DBG 11077;"
    669 р.

    ";"
    В наличии
    > 1000
    шт.
  ";https://spb.vseinstrumenti.ru/product/koronka-almaznaya-po-steklu-i-keramike-68-mm-gigant-dbg-11077-957917/
