Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15948799;Топор 600 грамм с фибергласовой рукояткой Gigant AHT600-1;"
    714 р.

    ";"
    В наличии
    74
    шт.
  ";https://spb.vseinstrumenti.ru/product/topor-600-gramm-s-fiberglasovoj-rukoyatkoj-gigant-aht600-1-1150545/
код: 15733245;Строительное пластиковое ведро Gigant 12л, усиленное BCT 012 (Россия);"
    169 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnoe-plastikovoe-vedro-gigant-12l-usilennoe-bct-012-rossiya-861974/
код: 20686689;Штыковая лопата из рельсовой стали с черенком Gigant с ребрами жесткости GBS-01;"
    648 р.

    ";"
    В наличии
    7
    шт.
  ";https://spb.vseinstrumenti.ru/product/shtykovaya-lopata-iz-relsovoj-stali-s-cherenkom-gigant-s-rebrami-zhestkosti-s-ruchkoj-gbs-01-2470282/
код: 15733246;Садово-строительное пластиковое ведро Gigant 20 л, усиленное BCT 020 (Россия);"
    160 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnoe-plastikovoe-vedro-gigant-20-l-usilennoe-bct-020-rossiya-861968/
код: 15852849;Универсальный топор 1300 г Inforce 06-12-20;"
    6 560 р.

    ";"
    В наличии
    15
    шт.
  ";https://spb.vseinstrumenti.ru/product/universalnyj-topor-1300-g-inforce-06-12-20-1060815/
код: 13699818;Оцинкованное ведро 12л СИБРТЕХ 67591;"
    272 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/otsinkovannoe-vedro-12l-sibrteh-67591-511744/
код: 23948667;Секатор Gigant GVER-22;"
    85 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/sekator-gigant-gver-22-7602433/
код: 15852848;Универсальный топор 710 г Inforce 06-12-19;"
    6 079 р.

    ";"
    В наличии
    17
    шт.
  ";https://spb.vseinstrumenti.ru/product/universalnyj-topor-710-g-inforce-06-12-19-1060813/
код: 23948589;Стальные ножницы для травы Gigant GVER-09;"
    178 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhnitsy-dlya-travy-stalnye-gigant-gver-09-7601551/
код: 16439978;Садовый секатор Gigant 200 мм GPU-2;"
    839 р.

    ";"
    В наличии
    46
    шт.
  ";https://spb.vseinstrumenti.ru/product/sadovyj-sekator-gigant-200-mm-gpu-2-1715727/
код: 23849001;Штыковая лопата Fiskars Solid 1003455;"
    2 100 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/shtykovaya-lopata-fiskars-solid-1003455-5624527/
код: 23948601;Посадочный совок с пластиковой ручкой Gigant GVER-11;"
    52 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/sovok-posadochnyj-s-plastikovoj-ruchkoj-gigant-gver-11-7601803/
код: 16195927;Крепящий якорь для бордюра Gidrolica 7315;"
    40 р.

    ";"
    В наличии
    89
    шт.
  ";https://spb.vseinstrumenti.ru/product/krepyaschij-yakor-dlya-bordyura-gidrolica-7315-1385041/
код: 16436308;Штыковая лопата из рельсовой стали с V-образной ручкой Gigant GRL-02;"
    698 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/shtykovaya-lopata-iz-relsovoj-stali-s-v-obraznoj-ruchkoj-gigant-grl-02-1495921/
код: 16439979;Универсальный секатор Gigant 200 мм GPU-1;"
    444 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/universalnyj-sekator-gigant-200-mm-gpu-1-1715728/
код: 15941141;Штыковая лопата из рельсовой стали с черенком и ребрами жесткости Gigant GRL-01 (Россия);"
    859 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/shtykovaya-lopata-iz-relsovoj-stali-s-cherenkom-i-rebrami-zhestkosti-gigant-grl-01-rossiya-1068234/
код: 16008394;Универсальный топор с точилкой в кофре Inforce 440 г, 230 мм 06-12-23;"
    3 248 р.

    ";"
    В наличии
    19
    шт.
  ";https://spb.vseinstrumenti.ru/product/universalnyj-topor-s-tochilkoj-v-kofre-inforce-440-g-230-mm-06-12-23-1118465/
код: 23063439;Штыковая усиленная лопата с черенком высшего сорта Гранит рельсовая сталь K2Ч;"
    623 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/shtykovaya-usilennaya-lopata-s-cherenkom-granit-relsovaya-stal-k2ch-4756806/
код: 23849007;Туристическая лопата Fiskars Solid 1014809;"
    2 320 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/turisticheskaya-lopata-fiskars-solid-1014809-5815405/
код: 15693188;Снеговая лопата в сборе с деревянным черенком и V-образной ручкой Gigant 420х360 GWD18 (Россия);"
    456 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/snegovaya-lopata-v-sbore-s-derevyannym-cherenkom-i-v-obraznoj-ruchkoj-gigant-420h360-gwd18-rossiya-843799/
код: 15852847;Универсальный топор 440 г Inforce 06-12-18;"
    2 232 р.

    ";"
    В наличии
    11
    шт.
  ";https://spb.vseinstrumenti.ru/product/universalnyj-topor-440-g-inforce-06-12-18-1060812/
код: 16368450;Строительное ведро Мелодия цвета 12л MN-79-201;"
    94 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnoe-vedro-melodiya-tsveta-12l-mn-79-201-1421503/
код: 18834654;Строительная тачка Gigant 170 кг WBC 170-1;"
    4 449 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnaya-tachka-gigant-170-kg-wbc-170-1-2839580/
код: 15848445;Секатор с хромированными лезвиями в блистере SAMURAI KS-4;"
    1 074 р.

    ";"
    В наличии
    74
    шт.
  ";https://spb.vseinstrumenti.ru/product/sekator-s-hromirovannymi-lezviyami-v-blistere-samurai-ks-4-937672/
код: 15602378;Плодосъемник с заслонкой Cicle Жук 4607156361335;"
    226 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/plodosemnik-s-zaslonkoj-cicle-zhuk-4607156361335-802081/
код: 20686275;Витые грабли с деревянным черенком Gigant 14-ти зубые GFE-07;"
    264 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/vitye-grabli-s-derevyannym-cherenkom-gigant-14-ti-zubye-gfe-07-2470264/
код: 15943405;Совковая лопата СИБРТЕХ с ребром жесткости, рельсовая сталь, без черенка 61471;"
    309 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/sovkovaya-lopata-sibrteh-s-rebrom-zhestkosti-relsovaya-stal-bez-cherenka-61471-1213643/
код: 16195926;Газонная решетка Gidrolica 70х40х3,2 см - пластиковая черная, клетка С250 608;"
    270 р.

    ";"
    В наличии
    58
    шт.
  ";https://spb.vseinstrumenti.ru/product/gazonnaya-reshetka-gidrolica-70h40h3-2-sm-plastikovaya-chernaya-kletka-s250-608-1385039/
код: 15776896;Лопата-скрепер Inforce Аспен 06-12-15;"
    1 387 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/lopata-skreper-inforce-aspen-06-12-15-899578/
код: 20686581;Пластинчатые веерные грабли с деревянным черенком Gigant 20 зубьев, оцинкованные GFE-01;"
    361 р.

    ";"
    В наличии
    16
    шт.
  ";https://spb.vseinstrumenti.ru/product/plastinchatye-veernye-grabli-s-derevyannym-cherenkom-gigant-20-zubev-otsinkovannye-gfe-01-2470168/
код: 16061749;Топор VIRA RAGE 600г с фибергласовой рукоятью 900211;"
    779 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/topor-vira-rage-600g-s-fiberglasovoj-rukoyatyu-900211-1167655/
код: 13701010;Строительное пластмассовое ведро на 20 л СИБРТЕХ 81435;"
    160 р.

    ";"
    В наличии
    18
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnoe-plastmassovoe-vedro-na-20-l-sibrteh-81435-511728/
код: 16368770;Строительное ведро Мелодия цвета 20л MN-79-203;"
    139 р.

    ";"
    В наличии
    57
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnoe-vedro-melodiya-tsveta-20l-mn-79-203-1421585/
код: 15848432;Секатор с храповым механизмом 205мм SAMURAI IPSRC-55TA;"
    1 356 р.

    ";"
    В наличии
    64
    шт.
  ";https://spb.vseinstrumenti.ru/product/sekator-s-hrapovym-mehanizmom-205mm-samurai-ipsrc-55ta-937694/
код: 15772813;Лента для подвязчика Green Helper 20 рулонов GT-102;"
    956 р.

    ";"
    В наличии
    17
    шт.
  ";https://spb.vseinstrumenti.ru/product/lenta-dlya-podvyazchika-green-helper-20-rulonov-gt-102-881156/
код: 23243667;Строительное круглое пластиковое ведро ЕЗПИ 12 л 4415;"
    93 р.

    ";"
    В наличии
    77
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnoe-krugloe-plastikovoe-vedro-ezpi-12-l-4415-5025342/
код: 16139417;Штыковая лопата СИБРТЕХ с ребрами жесткости, без черенка 61470;"
    309 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/shtykovaya-lopata-sibrteh-s-rebrami-zhestkosti-bez-cherenka-61470-1208322/
код: 25668285;Садово-строительное ведро Gigant 12л IAG-009;"
    123 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/sadovo-stroitelnoe-vedro-gigant-12l-iag-009-7284553/
код: 24919821;Складная автомобильная саперная лопатка Gigant с ребрами жесткости, порошковая окраска, сталь 1.5 мм, усиленный складной механизм GDEV-21;"
    988 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/skladnaya-avtomobilnaya-sapernaya-lopatka-gigant-s-rebrami-zhestkosti-poroshkovaya-okraska-stal-1-5-mm-usilennyj-skladnoj-mehanizm-gdev-21-6535975/
код: 15747100;Топор-колун PATRIOT T21 PA 711 Logger 777001330;"
    3 452 р.

    ";"
    В наличии
    17
    шт.
  ";https://spb.vseinstrumenti.ru/product/topor-kolun-patriot-t21-pa-711-logger-777001330-872826/
код: 20686263;Корнеудалитель с деревянной ручкой Gigant сталь с порошковым покрытием GRR-01;"
    158 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/korneudalitel-s-derevyannoj-ruchkoj-gigant-stal-s-poroshkovym-pokrytiem-grr-01-2470120/
код: 15759393;Универсальный сучкорез 680 мм VERTO 15G252;"
    1 236 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/universalnyj-suchkorez-680-mm-verto-15g252-875175/
код: 13701009;Строительное пластмассовое ведро на 12 л СИБРТЕХ 81434;"
    118 р.

    ";"
    В наличии
    30
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnoe-plastmassovoe-vedro-na-12-l-sibrteh-81434-511722/
код: 20686167;Витые грабли без черенка Gigant 14-ти зубые, нержавеющая сталь GFE-04;"
    479 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/vitye-grabli-bez-cherenka-gigant-14-ti-zubye-nerzhaveyuschaya-stal-gfe-04-2470258/
код: 23849013;Совковая лопата Fiskars Solid 1003457;"
    3 270 р.

    ";"
    В наличии
    8
    шт.
  ";https://spb.vseinstrumenti.ru/product/sovkovaya-lopata-fiskars-solid-1003457-5624533/
код: 15540864;Грабли 14-ти зубые витые Gigant НЕРЖ. с черенком G-01-06-12-0006 (Россия);"
    596 р.

    ";"
    В наличии
    12
    шт.
  ";https://spb.vseinstrumenti.ru/product/grabli-14-ti-zubye-vitye-gigant-nerzh-s-cherenkom-g-01-06-12-0006-rossiya-753002/
код: 20686827;Штыковая лопата с черенком Gigant сталь, с ребрами жесткости GBS-02;"
    459 р.

    ";"
    В наличии
    6
    шт.
  ";https://spb.vseinstrumenti.ru/product/shtykovaya-lopata-s-cherenkom-gigant-stal-s-rebrami-zhestkosti-gbs-02-2470324/
код: 20686695;Проволочные веерные грабли без черенка Gigant 22 зуба, стальные GFE-05;"
    346 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/provolochnye-veernye-grabli-bez-cherenka-gigant-22-zuba-stalnye-gfe-05-2470372/
код: 15540874;Туристическая автомобильная лопата Gigant G-01-06-12-0016 (Россия);"
    272 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/turisticheskaya-avtomobilnaya-lopata-gigant-g-01-06-12-0016-rossiya-751810/
код: 15733240;Садовые универсальные грабли Inforce 06-12-11;"
    879 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/sadovye-universalnye-grabli-inforce-06-12-11-860702/
код: 21929908;Штыковая лопата Plantic Terra Pro 11002-01;"
    1 745 р.

    ";"
    В наличии
    20
    шт.
  ";https://spb.vseinstrumenti.ru/product/shtykovaya-lopata-plantic-terra-pro-11002-01-3571524/
