Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15419374;Инверторный генератор PATRIOT 1000i 474101025;"
    20 591 р.

    ";"
    В наличии
    20
    шт.
  ";https://spb.vseinstrumenti.ru/product/invertornyj-generator-patriot-1000i-474101025-682143/
код: 22178271;Бензиновый инверторный генератор Daewoo GDA 1400i;"
    26 990 р.

    ";"
    В наличии
    8
    шт.
  ";https://spb.vseinstrumenti.ru/product/benzinovyj-invertornyj-generator-daewoo-gda-1400i-3641670/
код: 15524554;Бензиновый генератор инверторного типа DDE DPG1201i;"
    9 999 р.

    ";"
    В наличии
    32
    шт.
  ";https://spb.vseinstrumenti.ru/product/benzinovyj-generator-invertornogo-tipa-dde-dpg1201i-740906/
код: 15419377;Инверторный генератор PATRIOT 3000il 474101046;"
    70 550 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/invertornyj-generator-patriot-3000il-474101046-682155/
код: 18425365;Бензиновый генератор инверторного типа DDE G350i (1ф 3,2/3,5 кВт, бак 5,7 л, двигатель 7 л.с.) 794-968;"
    27 718 р.

    ";"
    В наличии
    9
    шт.
  ";https://spb.vseinstrumenti.ru/product/benzinovyj-generator-invertornogo-tipa-dde-g350i-1f-3-2-3-5-kvt-bak-5-7-l-dvigatel-7-l-s-794-968-1865460/
код: 15626370;Бензиновый генератор CHAMPION IGG950, инверторный;"
    11 990 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/generator-champion-igg950-814906/
код: 21627556;Генератор DDE бензиновый инверторного типа G140i (1ф 1,3/1,4 кВт, бак 4,5 л, дв-ль 3 л.с.) 795-385;"
    19 730 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/generator-dde-benzinovyj-invertornogo-tipa-g140i-1f-1-3-1-4-kvt-bak-4-5-l-dv-l-3-l-s-795-385-3057008/
код: 15419375;Инверторный генератор PATRIOT 2000i 474101035;"
    33 929 р.

    ";"
    В наличии
    6
    шт.
  ";https://spb.vseinstrumenti.ru/product/invertornyj-generator-patriot-2000i-474101035-680808/
код: 22178283;Бензиновый инверторный генератор с электрозапуском Daewoo GDA 9400Ei;"
    109 990 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/benzinovyj-invertornyj-generator-s-elektrozapuskom-daewoo-gda-9400ei-3641652/
код: 16417045;Инверторный генератор Denzel GT-2200iS 2,2 кВт, 230 В, бак 4 л 94702;"
    44 180 р.

    ";"
    В наличии
    6
    шт.
  ";https://spb.vseinstrumenti.ru/product/invertornyj-generator-denzel-gt-2200is-2-2-kvt-230-v-bak-4-l-94702-1462075/
код: 16498236;Инверторный генератор КРАТОН IGG-1000 3 08 04 017;"
    20 252 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/invertornyj-generator-kraton-igg-1000-3-08-04-017-1628693/
код: 19494870;Бензогенератор RATO инверторный R1250iS;"
    27 440 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/benzogenerator-rato-invertornyj-r1250is-1989110/
код: 18828564;Инверторный генератор Inforce IGC 2000 04-03-23;"
    77 904 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/invertornyj-generator-inforce-igc-2000-04-03-23-2318056/
код: 16469146;Инверторный бензогенератор ТСС SGG 2000Si 060030;"
    32 258 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/invertornyj-benzogenerator-tss-sgg-2000si-060030-1562309/
код: 24389703;Инверторный генератор Gigant Professional GPIGL-3800E;"
    78 309 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/professional-invertornyj-generator-gigant-gpigl-3800e-7990868/
код: 24389715;Инверторный генератор Gigant Professional GPIGL-3800EO;"
    47 625 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/professional-invertornyj-generator-gigant-gpigl-3800eo-7990886/
код: 26565224;Инверторный генератор Кедр MultiGen-2000i 8024833;"
    43 190 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/invertornyj-generator-kedr-multigen-2000i-8024833-7666953/
код: 15596892;Инверторный генератор Huter DN1500i 64/10/4;"
    24 490 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/invertornyj-generator-huter-dn1500i-64-10-4-788883/
код: 24389697;Инверторный генератор Gigant Professional GPIGL-2000;"
    32 259 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/professional-invertornyj-generator-gigant-gpigl-2000-7990862/
код: 16469162;Инверторный бензогенератор ТСС SGG 3200i 060031;"
    37 689 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/invertornyj-benzogenerator-tss-sgg-3200i-060031-1562310/
код: 23399481;Инверторный бензогенератор ТСС SGG 2400Si 060028;"
    29 525 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/invertornyj-benzogenerator-tss-sgg-2400si-060028-6057385/
код: 15831559;Инверторный бензиновый генератор Daewoo GDA 2600i;"
    32 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/invertornyj-benzinovyj-generator-daewoo-gda-2600i-907759/
код: 19839820;Инверторный бензиновый генератор с электрозапуском Daewoo GDA 6600Ei;"
    89 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/invertornyj-benzinovyj-generator-s-elektrozapuskom-daewoo-gda-6600ei-2088962/
код: 15843625;Цифровая электростанция FUBAG TI 2300 838980;"
    64 520 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/tsifrovaya-elektrostantsiya-fubag-ti-2300-838980-925057/
код: 24389709;Инверторный генератор Gigant Professional GPIGL-3000O;"
    28 799 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/professional-invertornyj-generator-gigant-gpigl-3000o-7990880/
