Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15560412;Инверторный сварочный полуавтомат Aurora PRO OVERMAN 200 Mosfet 13709;"
    43 900 р.

    ";"
    В наличии
    14
    шт.
  ";https://spb.vseinstrumenti.ru/product/invertornyj-svarochnyj-poluavtomat-aurora-pro-overman-200-mosfet-13709-775119/
код: 15827141;Сварочный инвертор Сварог MIG 200 REAL N24002N Black маска+краги 95883;"
    41 360 р.

    ";"
    В наличии
    11
    шт.
  ";https://spb.vseinstrumenti.ru/product/svarochnyj-invertor-svarog-mig-200-real-n24002n-black-maska-kragi-95883-906329/
код: 16019570;Сварочный полуавтомат START PRO WEGA 200 miniMIG 2W202;"
    31 140 р.

    ";"
    В наличии
    20
    шт.
  ";https://spb.vseinstrumenti.ru/product/svarochnyj-poluavtomat-start-pro-wega-200-minimig-2w202-1117312/
код: 16640198;Сварочный инвертор Сварог MIG 200 REAL SMART N2A5 98556;"
    49 310 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/svarochnyj-invertor-svarog-mig-200-real-smart-n2a5-98556-1652201/
код: 15789011;Сварочный инвертор Сварог MIG 200 REAL N24002N 95727;"
    39 290 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/svarochnyj-invertor-svarog-mig-200-real-n24002n-95727-904127/
код: 24373221;Сварочный инвертор Сварог MIG 200 REAL N2Н3 99749;"
    26 320 р.

    ";"
    В наличии
    8
    шт.
  ";https://spb.vseinstrumenti.ru/product/invertor-svarochnyj-mig-200-real-n2n3-svarog-99749-6760849/
код: 20789853;Сварочный полуавтомат Start MigLine X190 2STX190;"
    25 685 р.

    ";"
    В наличии
    16
    шт.
  ";https://spb.vseinstrumenti.ru/product/svarochnyj-poluavtomat-start-migline-x190-2stx190-2280964/
код: 16488349;Сварочный полуавтомат АВРОРА Динамика 2000;"
    30 900 р.

    ";"
    В наличии
    6
    шт.
  ";https://spb.vseinstrumenti.ru/product/svarochnyj-poluavtomat-avrora-dinamika-2000-1575500/
код: 13909403;Сварочный полуавтомат Ресанта САИПА 165 65/8;"
    21 290 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/poluavtomaticheskij-invertornyj-svarochnyj-apparat-resanta-saipa-165-65-8-136188/
код: 21541900;Сварочный полуавтомат SOLARIS MULTIMIG-227;"
    34 990 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/svarochnyj-poluavtomat-solaris-multimig-227-3040310/
