Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15958900;Рулетка компактная 5Х25 Inforce 06-11-74;"
    385 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-kompaktnaya-5h25-inforce-06-11-74-1081744/
код: 15966862;Рулетка Gigant 5x19мм, обрезиненная с автостопом GWA61123;"
    329 р.

    ";"
    В наличии
    79
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-gigant-5x19mm-obrezinennaya-s-avtostopom-gwa61123-1080864/
код: 15872337;Измерительная рулетка с магнитным крюком, 5x25мм Gigant GWM525;"
    339 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/izmeritelnaya-ruletka-s-magnitnym-kryukom-5x25mm-gigant-gwm525-989585/
код: 15958896;Рулетка с тройным стопом Inforce 5Х19 06-11-70;"
    389 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-s-trojnym-stopom-inforce-5h19-06-11-70-1081746/
код: 15790431;Измерительная рулетка с нейлоновым ярким покрытием и магнитным зацепом 5.5x27мм Inforce 06-11-48;"
    480 р.

    ";"
    В наличии
    30
    шт.
  ";https://spb.vseinstrumenti.ru/product/izmeritelnaya-ruletka-s-nejlonovym-yarkim-pokrytiem-i-magnitnym-zatsepom-5-5x27mm-inforce-06-11-48-976108/
код: 15874256;Рулетка Komfortabel, 5 м х 25 мм обрезиненный корпус GROSS 32562;"
    601 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-komfortabel-5-m-h-25-mm-obrezinennyj-korpus-gross-32562-948028/
код: 13699027;Рулетка GROSS Ergonomisch 5 м x 25 мм, магнитный обрезиненный зацеп 31103;"
    465 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-5-m-x-25-mm-gross-ergonomisch-31103-542926/
код: 15558501;Измерительная рулетка Gigant GMT 1025 10x25 мм с магнитным захватом;"
    309 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/izmeritelnaya-ruletka-gigant-gmt-1025-10x25-mm-s-magnitnym-zahvatom-770710/
код: 15872333;Измерительная рулетка 5x25мм Gigant GW525;"
    180 р.

    ";"
    В наличии
    31
    шт.
  ";https://spb.vseinstrumenti.ru/product/izmeritelnaya-ruletka-5x25mm-gigant-gw525-989574/
код: 15872335;Измерительная рулетка, 10x25мм Gigant GW1025;"
    369 р.

    ";"
    В наличии
    88
    шт.
  ";https://spb.vseinstrumenti.ru/product/izmeritelnaya-ruletka-10x25mm-gigant-gw1025-989579/
код: 15872336;Измерительная рулетка с магнитным крюком, 5x19мм Gigant GW519;"
    161 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/izmeritelnaya-ruletka-s-magnitnym-kryukom-5x19mm-gigant-gw519-989580/
код: 15958897;Рулетка с тройным стопом Inforce 5Х25 06-11-71;"
    282 р.

    ";"
    В наличии
    96
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-s-trojnym-stopom-inforce-5h25-06-11-71-1081740/
код: 15966861;Измерительная рулетка с автостопом Gigant 5м х 19мм GWM61128;"
    329 р.

    ";"
    В наличии
    8
    шт.
  ";https://spb.vseinstrumenti.ru/product/izmeritelnaya-ruletka-s-avtostopom-gigant-5m-h-19mm-gwm61128-1080863/
код: 15603963;Рулетка в корпусе из нержавеющей стали с автостопом 5x19мм Inforce GW 06-11-25;"
    458 р.

    ";"
    В наличии
    50
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-v-korpuse-iz-nerzhaveyuschej-stali-s-avtostopom-5x19mm-inforce-gw-06-11-25-814281/
код: 15966860;Рулетка измерительная Gigant COMPACT 5м х 19мм GW61127;"
    136 р.

    ";"
    В наличии
    11
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-izmeritelnaya-gigant-compact-5m-h-19mm-gw61127-1080862/
код: 15947131;Цельнометаллическая линейка 500 мм Gigant GMR 500;"
    205 р.

    ";"
    В наличии
    31
    шт.
  ";https://spb.vseinstrumenti.ru/product/tselnometallicheskaya-linejka-500-mm-gigant-gmr-500-1139358/
код: 15558500;Измерительная рулетка Gigant GMT 525 5x25 мм с магнитным захватом;"
    339 р.

    ";"
    В наличии
    88
    шт.
  ";https://spb.vseinstrumenti.ru/product/izmeritelnaya-ruletka-gigant-gmt-525-5x25-mm-s-magnitnym-zahvatom-770721/
код: 15958899;Рулетка компактная 5Х19 Inforce 06-11-73;"
    290 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-kompaktnaya-5h19-inforce-06-11-73-1081742/
код: 15383387;Рулетка GROSS Doppelhaken 3м x 16мм, односторонний зацеп, нейлон, двусторонняя шкала 31122;"
    473 р.

    ";"
    В наличии
    63
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-gross-doppelhaken-3m-x-16mm-odnostoronnij-zatsep-nejlon-dvustoronnyaya-shkala-31122-960085/
код: 15790429;Измерительная рулетка с нейлоновой лентой и магнитным зацепом 5.5x27мм Inforce 06-11-46;"
    499 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/izmeritelnaya-ruletka-s-nejlonovoj-lentoj-i-magnitnym-zatsepom-5-5x27mm-inforce-06-11-46-976090/
код: 15604090;Рулетка в корпусе из нержавеющей стали с автостопом 7.5x25мм Inforce GW 06-11-26;"
    520 р.

    ";"
    В наличии
    19
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-v-korpuse-iz-nerzhaveyuschej-stali-s-avtostopom-7-5x25mm-inforce-gw-06-11-26-814282/
код: 15383389;Рулетка Doppelhaken 5мх25мм, двухсторонний зацеп, нейлон, двуст.шкала GROSS 31124;"
    767 р.

    ";"
    В наличии
    98
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-doppelhaken-5mh25mm-dvuhstoronnij-zatsep-nejlon-dvust-shkala-gross-31124-783590/
код: 15947130;Цельнометаллическая линейка 300 мм Gigant GMR 300;"
    97 р.

    ";"
    В наличии
    57
    шт.
  ";https://spb.vseinstrumenti.ru/product/tselnometallicheskaya-linejka-300-mm-gigant-gmr-300-1139362/
код: 13946651;Рулетка GROSS Ergonomisch 5 м, 19 мм, магнитный обрезиненный зацеп 31102;"
    411 р.

    ";"
    В наличии
    18
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-5-m-x-19-mm-gross-ergonomisch-31102-543527/
код: 13946650;Рулетка 3 м x 16 мм GROSS Ergonomisch 31101;"
    326 р.

    ";"
    В наличии
    49
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-3-m-x-16-mm-gross-ergonomisch-31101-543518/
код: 13933841;Рулетка GROSS Ergonomisch 10 м x 25 мм, магнитный обрезиненный зацеп 31105;"
    586 р.

    ";"
    В наличии
    70
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-10-m-x-25-mm-gross-ergonomisch-31105-542932/
код: 15978956;Рулетка GROSS Experte, 5 м x 27 мм, двухкомпонентный корпус, магнит, двухсторонняя разметка, нейлон 32575;"
    1 030 р.

    ";"
    В наличии
    20
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-gross-experte-5-m-x-27-mm-dvuhkomponentnyj-korpus-magnit-dvuhstoronnyaya-razmetka-nejlon-32575-1170235/
код: 15947132;Цельнометаллическая линейка 1000 мм Gigant GMR 1000;"
    269 р.

    ";"
    В наличии
    14
    шт.
  ";https://spb.vseinstrumenti.ru/product/tselnometallicheskaya-linejka-1000-mm-gigant-gmr-1000-1139352/
код: 15986983;Измерительная рулетка Vira RAGE 5 м с магнитным зацепом 100048;"
    563 р.

    ";"
    В наличии
    11
    шт.
  ";https://spb.vseinstrumenti.ru/product/izmeritelnaya-ruletka-vira-rage-5-m-s-magnitnym-zatsepom-100048-1130202/
код: 15958898;Рулетка компактная 3Х16 Inforce 06-11-72;"
    205 р.

    ";"
    В наличии
    66
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-kompaktnaya-3h16-inforce-06-11-72-1081739/
код: 15543274;Рулетка с автоматическим стопором 3мх16мм Vira 100041;"
    292 р.

    ";"
    В наличии
    36
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-s-avtomaticheskim-stoporom-3mh16mm-vira-100041-757528/
код: 15524527;Лазерный дальномер ADA Cosmo MINI А00410;"
    3 490 р.

    ";"
    В наличии
    66
    шт.
  ";https://spb.vseinstrumenti.ru/product/lazernyj-dalnomer-ada-cosmo-mini-a00410-736462/
код: 15494885;Лазерный дальномер ADA Cosmo 70 А00429;"
    4 990 р.

    ";"
    В наличии
    34
    шт.
  ";https://spb.vseinstrumenti.ru/product/lazernyj-dalnomer-ada-cosmo-70-a00429-715055/
код: 15874252;Рулетка Magnetisch, 5 м х 25 мм обрезиненный корпус,автоматическая фиксация GROSS 32572;"
    938 р.

    ";"
    В наличии
    44
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-magnetisch-5-m-h-25-mm-obrezinennyj-korpus-avtomaticheskaya-fiksatsiya-gross-32572-948031/
код: 15986967;Измерительная рулетка Vira RAGE 10 м с магнитным зацепом 100050;"
    908 р.

    ";"
    В наличии
    50
    шт.
  ";https://spb.vseinstrumenti.ru/product/izmeritelnaya-ruletka-vira-rage-10-m-s-magnitnym-zatsepom-100050-1130200/
код: 19784242;Рулетка Inforce с тройным стопом, 10х25 06-11-78;"
    589 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-inforce-s-trojnym-stopom-10h25-06-11-78-3451074/
код: 15874258;Рулетка Komfortabel, 3 м х 19 мм обрезиненный корпус GROSS 32560;"
    407 р.

    ";"
    В наличии
    17
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-komfortabel-3-m-h-19-mm-obrezinennyj-korpus-gross-32560-948026/
код: 15872338;Обрезиненная рулетка с автостопом, 7.5x25мм Gigant GW7525;"
    329 р.

    ";"
    В наличии
    45
    шт.
  ";https://spb.vseinstrumenti.ru/product/obrezinennaya-ruletka-s-avtostopom-7-5x25mm-gigant-gw7525-989588/
код: 13946655;Рулетка 10мx25мм GROSS Schlagfest 31115;"
    1 209 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-10mx25mm-gross-schlagfest-31115-741813/
код: 23280111;Толщиномер лакокрасочных покрытий iCarTool Fe/NFe IC-T150;"
    2 290 р.

    ";"
    В наличии
    6
    шт.
  ";https://spb.vseinstrumenti.ru/product/tolschinomer-lakokrasochnyh-pokrytij-icartool-fe-nfe-ic-t150-5043228/
код: 15611295;Лазерная рулетка ADA COSMO 50 A00491;"
    3 990 р.

    ";"
    В наличии
    15
    шт.
  ";https://spb.vseinstrumenti.ru/product/lazernaya-ruletka-ada-cosmo-50-a00491-797707/
код: 15874254;Рулетка GROSS Magnetisch, 3м х 16мм обрезиненный корпус 32570;"
    552 р.

    ";"
    В наличии
    17
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-magnetisch-3m-h-16mm-obrezinennyj-korpus-gross-32570-948030/
код: 15790430;Измерительная рулетка с нейлоновой лентой и магнитным зацепом 7.5x27мм Inforce 06-11-47;"
    529 р.

    ";"
    В наличии
    17
    шт.
  ";https://spb.vseinstrumenti.ru/product/izmeritelnaya-ruletka-s-nejlonovoj-lentoj-i-magnitnym-zatsepom-7-5x27mm-inforce-06-11-47-976104/
код: 15874259;Рулетка Komfortabel, 10 м х 25 мм обрезиненный корпус GROSS 32564;"
    911 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-komfortabel-10-m-h-25-mm-obrezinennyj-korpus-gross-32564-948025/
код: 15874255;Рулетка Komfortabel, 8 м х 25 мм обрезиненный корпус GROSS 32563;"
    746 р.

    ";"
    В наличии
    14
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-komfortabel-8-m-h-25-mm-obrezinennyj-korpus-gross-32563-948029/
код: 15569403;Рулетка 5мх25мм с автоматическим стопором VIRA 100044;"
    503 р.

    ";"
    В наличии
    71
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-5mh25mm-s-avtomaticheskim-stoporom-vira-100044-780879/
код: 13903038;Рулетка GROSS Schlagfest 5 м x 25 мм, магн. обрезиненный зацеп, двухст. шкала, нейлоновое покр 31113;"
    866 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-5-m-x-25-mm-gross-schlagfest-31113-555821/
код: 15790432;Измерительная рулетка с нейлоновым ярким покрытием и магнитным зацепом 7.5x27мм Inforce 06-11-49;"
    479 р.

    ";"
    В наличии
    31
    шт.
  ";https://spb.vseinstrumenti.ru/product/izmeritelnaya-ruletka-s-nejlonovym-yarkim-pokrytiem-i-magnitnym-zatsepom-7-5x27mm-inforce-06-11-49-976109/
код: 15978957;Рулетка GROSS Experte, 8 м x 27 мм, двухкомпонентный корпус, магнит, двухсторонняя разметка, нейлон 32576;"
    1 414 р.

    ";"
    В наличии
    13
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-gross-experte-8-m-x-27-mm-dvuhkomponentnyj-korpus-magnit-dvuhstoronnyaya-razmetka-nejlon-32576-1170265/
код: 15383390;Рулетка Doppelhaken 8мx25мм, двухсторонний зацеп, нейлон, двуст.шкала GROSS 31125;"
    958 р.

    ";"
    В наличии
    12
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-doppelhaken-8mx25mm-dvuhstoronnij-zatsep-nejlon-dvust-shkala-gross-31125-783591/
код: 13946661;Рулетка 3 м х 16 мм Elastica SPARTA 31311;"
    82 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-3-m-h-16-mm-elastica-sparta-31311-543732/
код: 15559743;Металлическая плоская линейка VIRA 1000 мм 100022;"
    398 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/metallicheskaya-ploskaya-linejka-vira-1000-mm-100022-773253/
код: 15543287;Рулетка с автоматическим стопором 8мх25мм Vira 100045;"
    608 р.

    ";"
    В наличии
    77
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-s-avtomaticheskim-stoporom-8mh25mm-vira-100045-757551/
код: 15383388;Рулетка Doppelhaken 5мх19мм, двухсторонний зацеп, нейлон, двуст.шкала GROSS 31123;"
    644 р.

    ";"
    В наличии
    20
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruletka-doppelhaken-5mh19mm-dvuhstoronnij-zatsep-nejlon-dvust-shkala-gross-31123-783589/
код: 25057911;Дальномер Gigant 40 м GNT-40;"
    2 109 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/dalnomer-40m-gigant-gnt-40-7620981/
