Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15083595;Инфракрасный пирометр ADA TemPro 300 А00222;"
    1 790 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/infrakrasnyj-pirometr-ada-tempro-300-a00222-517837/
код: 15647382;Электронный термометр ADA THERMOTESTER 330 А00513;"
    790 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektronnyj-termometr-ada-thermotester-330-a00513-838122/
код: 15083596;Инфракрасный пирометр ADA TemPro 550 А00223;"
    1 990 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/infrakrasnyj-pirometr-ada-tempro-550-a00223-517823/
код: 15772788;Тепловизор СЕМ DT-870 482513;"
    43 305 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/teplovizor-sem-dt-870-482513-883913/
код: 18586735;Инфракрасный пирометр ADA TemPro 650 Hygro А00658;"
    3 488 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/infrakrasnyj-pirometr-ada-tempro-650-hygro-a00658-1944534/
код: 16535395;Бесконтактный пирометр МЕГЕОН 16401 к0000031910;"
    2 190 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/beskontaktnyj-pirometr-megeon-16401-k0000031910-1608130/
код: 15618480;ИК измеритель температуры МЕГЕОН 16400 к0000011113;"
    1 535 р.

    ";"
    В наличии
    10
    шт.
  ";https://spb.vseinstrumenti.ru/product/infrakrasnyj-izmeritel-temperatury-megeon-16400-803448/
код: 15083597;Инфракрасный пирометр ADA TemPro 700 А00224;"
    3 414 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/infrakrasnyj-pirometr-ada-tempro-700-a00224-517848/
код: 15083598;Инфракрасный пирометр ADA TemPro 900 А00225;"
    4 490 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/infrakrasnyj-pirometr-ada-tempro-900-a00225-517851/
код: 18586627;Инфракрасный пирометр ADA BodyTEST с функцией измерения температуры тела А00659;"
    1 639 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/infrakrasnyj-pirometr-ada-bodytest-s-funktsiej-izmereniya-temperatury-tela-a00659-1944533/
код: 16068111;Пирометр RGK PL-6;"
    966 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/pirometr-rgk-pl-6-1171382/
код: 15858608;Лазерный измеритель температуры МЕГЕОН 16550 00000002235;"
    4 057 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/lazernyj-izmeritel-temperatury-megeon-16550-00000002235-945197/
код: 17566614;Термометр МЕГЕОН 26100 к0000032558;"
    578 р.

    ";"
    В наличии
    6
    шт.
  ";https://spb.vseinstrumenti.ru/product/termometr-megeon-26100-k0000032558-1783584/
код: 16239785;Инфракрасный пирометр KRAFTOOL Professional TRM-1000 -50С +950С 45703-950;"
    6 500 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/infrakrasnyj-pirometr-kraftool-trm-1000-45703-950-1395280/
код: 20894169;Уличный термометр РемоКолор ТСН-13/1 60-0-300;"
    50 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/ulichnyj-termometr-remokolor-tsn-13-1-60-0-300-2515532/
код: 17583730;Тестер воды МЕГЕОН 3 в 1 солемер, кондуктометр, термометр 17004 к0000034741;"
    770 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/tester-vody-megeon-3-v-1-solemer-konduktometr-termometr-17004-k0000034741-1783586/
код: 15920589;Термометр СЕМ DT-133A 482575;"
    2 512 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/termometr-sem-dt-133a-482575-991270/
код: 15486240;Оконный термометр РОС Липучка Т-5 67916;"
    68 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/okonnyj-termometr-ros-lipuchka-t-5-67916-922085/
код: 22875237;Наружный оконный термометр на клейкой ленте PROCONNECT 70-0581;"
    118 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/naruzhnyj-okonnyj-termometr-na-klejkoj-lente-proconnect-70-0581-4826755/
код: 15906387;Пирометр MASTECH MS6522B 13-1231;"
    2 345 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/pirometr-mastech-ms6522b-13-1231-968485/
код: 15693306;Пирометр RGK PL-8 с поверкой;"
    4 430 р.

    ";"
    В наличии
    12
    шт.
  ";https://spb.vseinstrumenti.ru/product/pirometr-rgk-pl-8-s-poverkoj-843552/
код: 23223872;Тепловизор DALI Technology T1-M DLT1M;"
    43 260 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/teplovizor-dali-technology-t1-m-dlt1m-4961142/
код: 15503476;Пирометр RGK PL-12;"
    4 990 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/pirometr-rgk-pl-12-722471/
код: 15920320;Инфракрасный пирометр ЗУБР Профессионал ТермПро-400, от -50 до 380с 45725-380;"
    1 670 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/infrakrasnyj-pirometr-zubr-termpro-400-professional-45725-380-1062321/
код: 19507752;Ручная тепловизионная камера Hikmicro B1L;"
    59 990 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruchnaya-teplovizionnaya-kamera-hikmicro-b1l-1990592/
код: 15546574;Тепловизор СЕМ DT-9868 482087;"
    38 918 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/teplovizor-sem-dt-9868-482087-757962/
код: 17837380;Оконный термометр ООО Первый термометровый завод Божья Коровка ТБ-301;"
    228 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/okonnyj-termometr-ooo-pervyj-termometrovyj-zavod-bozhya-korovka-tb-301-1800620/
код: 15696269;Инфракрасный термометр СЕМ DT-820 482391;"
    3 304 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/infrakrasnyj-termometr-sem-dt-820-482391-845619/
код: 15486238;Наружный сувенирный термометр РОС ТБ-202 67918;"
    63 р.

    ";"
    В наличии
    10
    шт.
  ";https://spb.vseinstrumenti.ru/product/naruzhnyj-suvenirnyj-termometr-ros-tb-202-67918-924440/
код: 16380490;Термометр с наружним датчиком La Crosse Technology WS6811;"
    1 590 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/termometr-s-naruzhnim-datchikom-la-crosse-technology-ws6811-1431674/
код: 16176369;Бесконтактный инфракрасный термометр КОМБАТ IT Scilla БИГ-TOP01;"
    3 243 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/beskontaktnyj-infrakrasnyj-termometr-kombat-it-scilla-big-top01-1298430/
