Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 16595774;"Электрический клупп TOR SQ30 до 1.25"" 1002700";"
    59 621 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-klupp-tor-sq30-do-1-25-1002700-1626129/
код: 15601066;"Ручной электрический резьбонарезной клупп 1/2""-1 1/4"", 1700 Вт, 220В REKON 026114";"
    59 500 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/ruchnoj-elektricheskij-rezbonareznoj-klupp-1-2-1-1-4-1700-vt-220v-rekon-026114-812182/
код: 15601671;"Ручной электрический резьбонарезной клупп REKON 1/2""-2"", 1700 Вт, 220В 026002";"
    84 850 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/ruchnoj-elektricheskij-rezbonareznoj-klupp-rekon-1-2-2-1700-vt-220v-026002-812183/
код: 15529162;Электрический клупп в кейсе с головками 1/2”-2” SUPER-EGO supertronic 2000 864220200;"
    162 310 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/elektricheskij-klupp-v-kejse-s-golovkami-1-2-2-super-ego-supertronic-2000-864220200-742069/
код: 15489864;Ручной электрический клупп Rothenberger SUPERTRONIC 2000 BSPT R1/2-2 71256;"
    167 670 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/ruchnoj-elektricheskij-klupp-rothenberger-supertronic-2000-bspt-r1-2-2-71256-712371/
код: 17483034;Резьбонарезной электрический клупп HONGLI SQ30-2с 1/2-2 HSS 306306;"
    60 245 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/rezbonareznoj-elektricheskij-klupp-hongli-sq30-2s-1-2-2-hss-306306-1765779/
код: 26805758;"Электрический клупп TOR SQ30-2C до 2"" 1029741";"
    91 791 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/elektricheskij-klupp-tor-sq30-2c-do-2-1029741-8539833/
код: 15489865;"Ручной электроклупп Rothenberger СУПЕРТРОНИК 1250 d= 1/2"", 3/4"", 1"", 1 1/4"" 71450";"
    109 890 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/ruchnoj-elektroklupp-rothenberger-supertronik-1250-d-1-2-3-4-1-1-1-4-71450-1260509/
код: 26805836;"Электрический клупп TOR SQ30A до 1,25"" 1029740";"
    59 540 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/klupp-elektricheskij-sq30a-do-1-25-tor-1029740-8539845/
код: 16392672;"Электрический клупп VOLL V-Matic B1 набор 1/2""-1.1/4"" 2.10040";"
    46 234 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/elektricheskij-klupp-voll-v-matic-b1-nabor-1-2-1-1-4-2-10040-1457769/
