Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15614504;Комплект транспортировочный GPL-500 для генераторов GP 5510, GP 6510 PATRIOT 474001030;"
    3 490 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/komplekt-transportirovochnyj-gpl-500-dlya-generatorov-gp-5510-gp-6510-patriot-474001030-801787/
код: 15597132;Комплект колес и ручек для электростанций Fubag 838765;"
    5 870 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/komplekt-koles-i-ruchek-dlya-elektrostantsij-fubag-838765-789374/
код: 16178169;Комплект колёс и ручек для бензогенераторов DY8000LX/DY9500L/LX/LX-3 Huter 64/1/34;"
    2 670 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/komplekt-koles-i-ruchek-dlya-benzogeneratorov-dy8000lx-dy9500l-lx-lx-3-huter-64-1-34-1544117/
код: 15897072;Транспортировочное устройство для генераторов G550/650/750/GW200 DDE 917-842;"
    2 890 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/transportirovochnoe-ustrojstvo-dlya-generatorov-g550-650-750-gw200-dde-917-842-972933/
код: 15506636;Транспортировочный комплект DAEWOO DAWK30;"
    2 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/transportirovochnyj-komplekt-daewoo-dawk30-848228/
код: 16183086;Транспортировочный комплект L A-iPower 29201;"
    4 759 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/transportirovochnyj-komplekt-l-a-ipower-29201-1287608/
код: 26660708;Транспортировочный комплект A A-iPower 29204;"
    4 190 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/transportirovochnyj-komplekt-a-a-ipower-29204-7818386/
код: 20421982;"Колесный комплект 8"" для R3000-L2, R3000E-L2 RATO WH_R3000";"
    2 347 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kolesnyj-komplekt-8-dlya-r3000-l2-r3000e-l2-rato-wh-r3000-2143080/
код: 15614528;Комплект транспортировочный GPL-300 для генераторов GP 2510, GP 3510, GP 3510E PATRIOT 474001020;"
    2 840 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/komplekt-transportirovochnyj-gpl-300-dlya-generatorov-gp-2510-gp-3510-gp-3510e-patriot-474001020-801786/
код: 15935464;Комплект транспортировочный колеса и ручки для генераторов PS DENZEL 946725;"
    2 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/komplekt-transportirovochnyj-kolesa-i-ruchki-dlya-generatorov-ps-denzel-946725-1103651/
код: 16541111;Комплект транспортировочный для генераторов VARTEG 6110;"
    3 400 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/komplekt-transportirovochnyj-dlya-generatorov-varteg-6110-1612258/
код: 20862075;"Колесный комплект для R6000-L2, R6000E-L2 (8"") RATO WH_R6000";"
    2 560 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kolesnyj-komplekt-dlya-r6000-l2-r6000e-l2-8-rato-wh-r6000-2387296/
код: 16445359;Набор для перемещения бензогенераторов мощностью свыше 4000 Вт ЗУБР НКР-2;"
    3 072 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nabor-dlya-peremescheniya-benzogeneratorov-moschnostyu-svyshe-4000-vt-zubr-nkr-2-1530411/
код: 21169852;Комплект ручек и колес для генераторов KGWHS 8 Kolner кн8гвс;"
    3 450 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/komplekt-ruchek-i-koles-dlya-generatorov-kgwhs-8-kolner-kn8gvs-3447972/
код: 16946425;Комплект колес 200х40 мм для бензиновых генераторов SGG 2800 ТСС 029623;"
    2 510 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/komplekt-koles-200h40-mm-dlya-benzinovyh-generatorov-sgg-2800-tss-029623-1731539/
код: 15976571;Комплект ручек и колес для бензиновых генераторов от 5 до 7 кВт ТСС 023123;"
    3 376 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/komplekt-ruchek-i-koles-dlya-benzinovyh-generatorov-ot-5-do-7-kvt-tss-023123-1091813/
код: 20135992;Комплект транспортировочный для моделей PS-25/PS-28/PS-33/PS-33E Denzel 94669;"
    2 884 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/komplekt-transportirovochnyj-dlya-modelej-ps-25-ps-28-ps-33-ps-33e-denzel-94669-2110898/
код: 16445356;Набор для перемещения бензогенераторов мощностью до 3500 Вт ЗУБР НКР-1;"
    2 749 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nabor-dlya-peremescheniya-benzogeneratorov-moschnostyu-do-3500-vt-zubr-nkr-1-1530412/
код: 15901989;Транспортировочный комплект HOME Serie 3020 HYUNDAI Wheel kit 3020;"
    2 739 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/transportirovochnyj-komplekt-home-serie-3020-hyundai-wheel-kit-3020-1334162/
код: 19203366;Комплект транспортировочный A-iPower S 29203;"
    3 790 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/komplekt-transportirovochnyj-a-ipower-s-29203-3668130/
код: 15901988;Транспортировочный комплект HOME Serie HYUNDAI 10000/32/;"
    4 939 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/transportirovochnyj-komplekt-home-serie-hyundai-10000-32-1335505/
