Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15926636;Компрессор Inforce CX-50L 04-06-21;"
    17 409 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/kompressor-inforce-cx-50l-04-06-21-1068228/
код: 16087645;Ременной компрессор Gigant BCL-50;"
    32 699 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/remennoj-kompressor-gigant-bcl-50-1314879/
код: 16087646;Ременной компрессор Gigant BCL-100;"
    37 979 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/remennoj-kompressor-gigant-bcl-100-1314882/
код: 15604092;Поршневой масляный компрессор Gigant LAS 24/1500;"
    9 029 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/porshnevoj-maslyanyj-kompressor-gigant-las-24-1500-810008/
код: 15399977;Компрессор PATRIOT EURO 50/260 525306367;"
    14 290 р.

    ";"
    В наличии
    24
    шт.
  ";https://spb.vseinstrumenti.ru/product/kompressor-patriot-euro-50-260-525306367-679915/
код: 15604093;Поршневой масляный компрессор Gigant LAS 50/1800;"
    11 409 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/porshnevoj-maslyanyj-kompressor-gigant-las-50-1800-809991/
код: 15557292;Компрессор PATRIOT EURO 24-240K 525306366;"
    12 930 р.

    ";"
    В наличии
    10
    шт.
  ";https://spb.vseinstrumenti.ru/product/kompressor-patriot-euro-24-240k-525306366-773544/
код: 15926635;Компрессор Inforce CX-24L 04-06-20;"
    14 748 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/kompressor-inforce-cx-24l-04-06-20-1068227/
код: 21542002;Компрессор DGM AC-254;"
    22 410 р.

    ";"
    В наличии
    10
    шт.
  ";https://spb.vseinstrumenti.ru/product/kompressor-dgm-ac-254-3520356/
код: 15935452;Воздушный безмасляный компрессор DENZEL РС 1 6-180, 1,1 кВт, 180 л мин, 6 л 58057;"
    12 810 р.

    ";"
    В наличии
    7
    шт.
  ";https://spb.vseinstrumenti.ru/product/vozdushnyj-bezmaslyanyj-kompressor-denzel-rs-1-6-180-1-1-kvt-180-l-min-6-l-58057-1062771/
код: 15604777;Компрессор с прямой передачей Кратон AC-350-50-DDV 3 01 01 036;"
    21 840 р.

    ";"
    В наличии
    8
    шт.
  ";https://spb.vseinstrumenti.ru/product/kompressor-s-pryamoj-peredachej-kraton-ac-350-50-ddv-3-01-01-036-796926/
код: 15926637;Компрессор Inforce CXV-50L 04-06-22;"
    25 209 р.

    ";"
    В наличии
    41
    шт.
  ";https://spb.vseinstrumenti.ru/product/kompressor-inforce-cxv-50l-04-06-22-1068230/
код: 15399976;Компрессор PATRIOT EURO 24/240 525306365;"
    10 990 р.

    ";"
    В наличии
    18
    шт.
  ";https://spb.vseinstrumenti.ru/product/kompressor-patriot-euro-24-240-525306365-679905/
код: 15554240;Компрессор FUBAG FС 230/50 CM2;"
    22 070 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/kompressor-fubag-fs-230-50-cm2-764260/
код: 21492970;Компрессор ECO AE-50-OF1;"
    22 860 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/kompressor-eco-ae-50-of1-3301286/
код: 15905071;Безмасляный компрессор DENZEL DLS650/10 650 Вт, 120 л/мин, ресивер 10 л 58021;"
    11 950 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/bezmaslyanyj-kompressor-denzel-dls650-10-650-vt-120-l-min-resiver-10-l-58021-1062751/
код: 15555595;Компрессор FUBAG Easy Air + набор из 5 предметов;"
    10 470 р.

    ";"
    В наличии
    9
    шт.
  ";https://spb.vseinstrumenti.ru/product/kompressor-fubag-easy-air-nabor-iz-5-predmetov-768537/
код: 15975703;Поршневой безмасляный компрессор PATRIOT WO 50-300 525301925;"
    27 090 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/porshnevoj-bezmaslyanyj-kompressor-patriot-wo-50-300-525301925-1097923/
код: 16711651;Малошумный безмасляный компрессор Pegas pneumatic PG-602 профессиональная серия 6619;"
    11 356 р.

    ";"
    В наличии
    17
    шт.
  ";https://spb.vseinstrumenti.ru/product/maloshumnyj-bezmaslyanyj-kompressor-pegas-pneumatic-pg-602-professionalnaya-seriya-6619-1634027/
код: 16467229;Компрессор FUBAG DC 320/50 CM2.5, 614319547;"
    24 310 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/kompressor-fubag-dc-320-50-cm2-5-614319547-1580777/
код: 15734267;Безмасляный компрессор с прямой передачей Кратон AC-180-24-OFS 3 01 01 052;"
    11 571 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/bezmaslyanyj-kompressor-s-pryamoj-peredachej-kraton-ac-180-24-ofs-3-01-01-052-860876/
код: 15564646;Компрессор PATRIOT WO 24-160, безмасляный, поршневой 525306375;"
    14 150 р.

    ";"
    В наличии
    36
    шт.
  ";https://spb.vseinstrumenti.ru/product/kompressor-patriot-wo-24-160-525306375-781104/
код: 22823673;Компрессор ECO AE-1005-3;"
    31 180 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/kompressor-eco-ae-1005-3-4752930/
код: 15549202;Компрессор FUBAG AIR MASTER KIT + 6 предметов 61431380;"
    21 790 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/kompressor-fubag-air-master-kit-6-predmetov-61431380-766159/
код: 16475754;Компрессор FUBAG DC 320/24 CM2.5, 614319530;"
    20 570 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/kompressor-fubag-dc-320-24-cm2-5-614319530-1580762/
код: 20420554;Компрессор Вихрь КМП-24/230АМ 74/3/11;"
    9 022 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/kompressor-vihr-kmp-24-230am-74-3-11-2168129/
код: 16012984;Поршневой безмасляный компрессор PATRIOT WO 180K 525301905;"
    8 450 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/porshnevoj-bezmaslyanyj-kompressor-patriot-wo-180k-525301905-1136864/
код: 16012983;Поршневой безмасляный компрессор PATRIOT WO 6-180, 180 л/мин, 1.1 кВт, 525301910;"
    11 940 р.

    ";"
    В наличии
    24
    шт.
  ";https://spb.vseinstrumenti.ru/product/porshnevoj-bezmaslyanyj-kompressor-patriot-wo-6-180-525301910-1136857/
код: 15174638;Воздушный компрессор PATRIOT VX50/402 525306315;"
    24 210 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/vozdushnyj-kompressor-patriot-vx50-402-525306315-544769/
код: 20238022;Поршневой компрессор Fini ENERGY 6 100566927;"
    9 961 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/porshnevoj-kompressor-fini-energy-6-100566927-2114906/
код: 20420080;Компрессор Вихрь КМП-50/300АМ 74/3/12;"
    13 268 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/kompressor-vihr-kmp-50-300am-74-3-12-2168121/
