Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 17865637;Цифровой мультиметр WHDZ DT832;"
    369 р.

    ";"
    В наличии
    21
    шт.
  ";https://spb.vseinstrumenti.ru/product/tsifrovoj-multimetr-whdz-dt832-1804194/
код: 15133719;Мультиметр ТЕК DT 838 61/10/513;"
    459 р.

    ";"
    В наличии
    56
    шт.
  ";https://spb.vseinstrumenti.ru/product/multimetr-tek-dt-838-61-10-513-533392/
код: 17865433;Цифровой мультиметр WHDZ DT838;"
    411 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/tsifrovoj-multimetr-whdz-dt838-1804243/
код: 16432307;Токоизмерительные цифровые клещи с автодиапазоном UNI-T UT201+ ACA, 00-00004254;"
    2 325 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/tokoizmeritelnye-tsifrovye-kleschi-s-avtodiapazonom-uni-t-ut201-aca-00-00004254-1497992/
код: 15532158;Мультиметр МЕГЕОН 12700 00000003058;"
    3 520 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/multimetr-megeon-12700-751487/
код: 16562300;Цифровой автоматический мультиметр MASTECH MY68 00-00000273;"
    2 624 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/tsifrovoj-avtomaticheskij-multimetr-mastech-my68-00-00000273-1635934/
код: 15852751;Мультиметр Ресанта TEK DT 830B 61/10/218;"
    265 р.

    ";"
    В наличии
    34
    шт.
  ";https://spb.vseinstrumenti.ru/product/multimetr-resanta-tek-dt-830b-61-10-218-945776/
код: 15852725;Цифровой мультиметр duwi M830L PROFI с противоударным чехлом, 26044 8;"
    952 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/tsifrovoj-multimetr-s-protivoudarnym-chehlom-duwi-m830l-profi-26044-8-961158/
код: 15956819;Цифровой мультиметр КВТ KT 830L PROLINE 79127;"
    1 291 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/tsifrovoj-multimetr-kvt-kt-830l-proline-79127-1076122/
код: 15960014;Цифровой мультиметр IEK Master MAS830L TMD-3L-830 3669447;"
    990 р.

    ";"
    В наличии
    8
    шт.
  ";https://spb.vseinstrumenti.ru/product/tsifrovoj-multimetr-iek-master-mas830l-3669447-tmd-3l-830-1076381/
код: 15491994;Цифровой мультиметр Mastech MY64 13-2005;"
    2 445 р.

    ";"
    В наличии
    20
    шт.
  ";https://spb.vseinstrumenti.ru/product/tsifrovoj-multimetr-mastech-my64-58957-712466/
