Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15536116;Металлический цифровой манометр с подсветкой Airline 7 атм APR-MD-06;"
    694 р.

    ";"
    В наличии
    40
    шт.
  ";https://spb.vseinstrumenti.ru/product/metallicheskij-tsifrovoj-manometr-s-podsvetkoj-7-atm-airline-apr-md-06-755098/
код: 15525293;Дозиметр / Индикатор радиоактивности Radex RD1503+;"
    7 458 р.

    ";"
    В наличии
    22
    шт.
  ";https://spb.vseinstrumenti.ru/product/dozimetr-indikator-radioaktivnosti-radex-rd1503-741519/
код: 22902321;Цифровой газоанализатор iCarTool IC-M101B;"
    8 650 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/tsifrovoj-gazoanalizator-icartool-ic-m101b-4684986/
код: 15636422;Манометр Вымпел МН-01 5085;"
    349 р.

    ";"
    В наличии
    9
    шт.
  ";https://spb.vseinstrumenti.ru/product/manometr-vympel-mn-01-5085-825235/
код: 16479056;Манометр с пистолетом и шлангом ДАЛИ-авто DA-01223;"
    1 210 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/manometr-s-pistoletom-i-shlangom-dali-avto-da-01223-1555463/
код: 17720934;Механический манометр A2DM кейс, набор золотников с колпачками, экстрактор 121002;"
    248 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/mehanicheskij-manometr-a2dm-kejs-nabor-zolotnikov-s-kolpachkami-ekstraktor-121002-1931885/
код: 13939224;Манометр для шин Jonnesway AG010042;"
    1 575 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/manometr-dlya-shin-jonnesway-ag010042-223695/
код: 15532192;Измеритель МЕГЕОН PH 17206 00000003942;"
    5 380 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/tsifrovoj-ph-metr-megeon-ph-17206-754471/
код: 15773389;Цифровой pH-метр МЕГЕОН 17001 к0000013370;"
    990 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/tsifrovoj-ph-metr-megeon-17001-881929/
код: 15525294;Дозиметр / Индикатор радиоактивности Radex RD1706;"
    13 900 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/dozimetr-indikator-radioaktivnosti-radex-rd1706-741184/
