Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15529203;Аккумуляторный шуруповерт Makita LXT DFR550Z;"
    47 256 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-shurupovert-makita-lxt-dfr550z-741656/
код: 15879612;Бесщёточный ленточный шуруповерт DEWALT 18.0 В XR DCF620D2K-QW;"
    33 830 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/besschetochnyj-lentochnyj-shurupovert-dewalt-18-0-v-xr-dcf620d2k-qw-952564/
код: 26892914;Аккумуляторная дрель-шуруповерт DEKO DKCD20 Impact SET 3 в кейсе + набор 63 инструмента, 20 В, 2х2.0 Ач 063-4415;"
    7 540 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/deko-drel-shurupovert-akkumulyatornaya-dkcd20-impact-set-3-v-kejse-nabor-63-instrumenta-20v-2-2-0ach-deko-3638-063-4415-7968116/
код: 15949088;Аккумуляторный шуруповерт для гипсокартона FLEX DW 45 18.0-EC M/2.5 Set 466824;"
    73 800 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-shurupovert-dlya-gipsokartona-flex-dw-45-18-0-ec-m-2-5-set-466824-1121680/
код: 27850430;Аккумуляторная дрель-шуруповерт Accesstyle в кейсе, с набором ручных инструментов home master ECD-A/12-25/HMS;"
    4 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/drel-shurupovert-akkumulyatornaya-v-kejse-s-naborom-ruchnyh-instrumentov-home-master-accesstyle-ecd-a-12-25-hms-8782034/
код: 15905102;Шуруповерт Makita FS4000JX2;"
    12 025 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/shurupovert-makita-fs4000jx2-974382/
код: 17565678;Сетевой шуруповерт для гипсокартона BOSCH GTB 650 06014A2000;"
    10 847 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/setevoj-shurupovert-dlya-gipsokartona-bosch-gtb-650-06014a2000-1782654/
код: 15422058;Аккумуляторная дрель-шуруповерт Bosch GSR 18 V-EC TE с насадкой 0.601.9С8.000;Нет информации;Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-drel-shurupovert-bosch-gsr-18-v-ec-te-s-nasadkoj-0-601-9s8-000-683362/
код: 15546416;Аккумуляторный шуруповерт Makita DFR750RFE;"
    45 290 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-shurupovert-makita-dfr750rfe-757660/
код: 15546431;Аккумуляторный шуруповерт Makita DFR550RFE;"
    43 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-shurupovert-makita-dfr550rfe-757658/
код: 15529521;Аккумуляторный шуруповерт Makita LXT DFR750Z;"
    24 090 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-shurupovert-makita-lxt-dfr750z-741658/
код: 15734974;Бесщеточный шуруповерт для гипсокартона AEG BTS18BL-0KIT1 4935459621;"
    15 319 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/besschetochnyj-shurupovert-dlya-gipsokartona-aeg-bts18bl-0kit1-4935459621-862782/
код: 16468128;Аккумуляторный шуруповерт для гипсокартона FLEX DW 45 18.0-EC C 491276;"
    36 700 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-shurupovert-dlya-gipsokartona-flex-dw-45-18-0-ec-c-491276-1554856/
код: 15511769;Магазинный винтоверт Fein, комплект Sct 5-40M 72130650018;"
    53 974 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/magazinnyj-vintovert-fein-komplekt-sct-5-40m-72130650018-1662613/
код: 16311171;Аккумуляторный винтоверт Fein для отделочных работ ASCT 18 M Select 71131664000;"
    55 806 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-vintovert-fein-dlya-otdelochnyh-rabot-asct-18-m-select-71131664000-1389562/
код: 16215765;Аккумуляторный винтоверт для отделочных работ Fein ASCT 18 Select 71131665000;"
    41 150 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-vintovert-dlya-otdelochnyh-rabot-fein-asct-18-select-71131665000-1303745/
код: 15623331;Аккумуляторный шуруповерт для гипсокартонных плит Festool DWC 18-4500 Li Basic 574747;"
    45 505 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-shurupovert-dlya-gipsokartonnyh-plit-festool-dwc-18-4500-li-basic-574747-810925/
