Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 25058433;Тонометр АРМЕД YE8600A 1977901;"
    1 430 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/tonometr-armed-ye8600a-1977901-6568267/
код: 16329869;Микроскоп iCarTool USB, 2Мп, 1000X, 1920x1080, 1.5м, USB/Micro USB/TypeC IC-V317;"
    3 350 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/wifi-usb-mikroskop-icartool-ic-v317-1395174/
код: 15083595;Инфракрасный пирометр ADA TemPro 300 А00222;"
    1 790 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/infrakrasnyj-pirometr-ada-tempro-300-a00222-517837/
код: 20922261;Карманный микроскоп Mayuan 9882 771512;"
    348 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/karmannyj-mikroskop-mayuan-9882-771512-2460112/
код: 15778622;Микроскоп Levenhuk Rainbow D2L Moonstone/Лунный камень 69040;"
    14 990 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/mikroskop-levenhuk-rainbow-d2l-moonstone-lunnyj-kamen-69040-926427/
код: 15083596;Инфракрасный пирометр ADA TemPro 550 А00223;"
    1 990 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/infrakrasnyj-pirometr-ada-tempro-550-a00223-517823/
код: 20667676;Микроскоп Discovery Centi 01 с книгой 78238;"
    2 530 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/mikroskop-discovery-centi-01-s-knigoj-78238-2209123/
код: 18586735;Инфракрасный пирометр ADA TemPro 650 Hygro А00658;"
    3 488 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/infrakrasnyj-pirometr-ada-tempro-650-hygro-a00658-1944534/
код: 16535395;Бесконтактный пирометр МЕГЕОН 16401 к0000031910;"
    2 190 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/beskontaktnyj-pirometr-megeon-16401-k0000031910-1608130/
код: 15618480;ИК измеритель температуры МЕГЕОН 16400 к0000011113;"
    1 535 р.

    ";"
    В наличии
    10
    шт.
  ";https://spb.vseinstrumenti.ru/product/infrakrasnyj-izmeritel-temperatury-megeon-16400-803448/
код: 15083597;Инфракрасный пирометр ADA TemPro 700 А00224;"
    3 414 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/infrakrasnyj-pirometr-ada-tempro-700-a00224-517848/
код: 15083598;Инфракрасный пирометр ADA TemPro 900 А00225;"
    4 490 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/infrakrasnyj-pirometr-ada-tempro-900-a00225-517851/
