Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 24686529;Калибратор инфракрасных пирометров СЕМ BX-500 481288;"
    151 128 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kalibrator-infrakrasnyh-pirometrov-sem-bx-500-481288-6551125/
код: 16041318;Магазин сопротивлений МЕГЕОН 05350 к0000020459;"
    16 830 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/magazin-soprotivlenij-megeon-05350-1150984/
код: 15547011;Калибратор процессов FLUKE 709H;"
    191 125 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kalibrator-protsessov-fluke-709h-761344/
код: 15882621;Модуль давления Fluke 750P31;"
    286 127 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/modul-davleniya-fluke-750p31-1151307/
код: 15882628;Модуль давления Fluke 750R30;"
    311 839 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/modul-davleniya-fluke-750r30-1151411/
код: 15882642;Модуль давления Fluke 750P30;"
    286 127 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/modul-davleniya-fluke-750p30-1151410/
код: 15879627;Гидравлический комплект Fluke 700HTPK2;"
    227 668 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/gidravlicheskij-komplekt-fluke-700htpk2-1279372/
код: 15882647;Модуль давления Fluke 750PD2;"
    207 514 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/modul-davleniya-fluke-750pd2-1151260/
код: 15882644;Модуль давления Fluke 750P27;"
    179 784 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/modul-davleniya-fluke-750p27-1151305/
код: 15882630;Модуль давления Fluke 750PD4;"
    207 514 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/modul-davleniya-fluke-750pd4-1151279/
код: 15882632;Модуль давления Fluke 750R08;"
    207 514 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/modul-davleniya-fluke-750r08-1151426/
код: 15882640;Модуль давления Fluke 750P09;"
    179 784 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/modul-davleniya-fluke-750p09-958937/
