Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 16190314;Электрический гравер ЗУБР 41 предмет, кейс ЗГ-160 КН41;"
    4 130 р.

    ";"
    В наличии
    66
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-graver-zubr-41-predmet-kejs-zg-160-kn41-1288847/
код: 15016610;Гравировальная машинка Ryobi EHT150V 5133000754;"
    5 367 р.

    ";"
    В наличии
    10
    шт.
  ";https://spb.vseinstrumenti.ru/product/gravirovalnaya-mashinka-ryobi-eht150v-5133000754-228201/
код: 16435936;Прямая шлифовальная машина MESSER M3338 10-33-338;"
    13 149 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/pryamaya-shlifovalnaya-mashina-messer-m3338-10-33-338-1502669/
код: 16188997;Гравировальная машина Kolner KGM 180V кн180вмг;"
    1 880 р.

    ";"
    В наличии
    6
    шт.
  ";https://spb.vseinstrumenti.ru/product/gravirovalnaya-mashina-kolner-kgm-180v-kn180vmg-1287847/
код: 15910695;Электрический гравер Вихрь Г-160ГВ 72/4/2;"
    2 890 р.

    ";"
    В наличии
    12
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-graver-vihr-g-160gv-72-4-2-976284/
код: 15929433;Гравер Ryobi ONE+ R18RT-0 5133004366;"
    10 067 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/graver-ryobi-one-r18rt-0-5133004366-1061676/
код: 15303932;Электрический гравер ЗУБР с набором мини-насадок, 242 предмета ЗГ-130ЭК H242;"
    7 720 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/graver-zubr-zg-130ek-242-predmeta-h242-680451/
код: 16532864;Гравировальная машина с гибким валом Ставр Машина МГ-220ВГ ст220вгмг;"
    3 730 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/gravirovalnaya-mashina-s-gibkim-valom-stavr-mashina-mg-220vg-st220vgmg-1605578/
код: 15424168;Электрический гравер ВИХРЬ Г-150 72/4/1;"
    2 190 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-graver-vihr-g-150-72-4-1-685378/
код: 26225837;Дрель Hammer (13180) (мини) 200 вт, 3.2 мм, 8000-35000 об/мин, в коробке MD190A;"
    1 763 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/hammer-drel-mini-200vt-3-2mm-8000-35000-ob-min-v-korobke-hammer-13180-md190a-7521415/
код: 16504388;Электрический гравер в наборе DEKO DKRT200E 43 tools, case 063-1411;"
    1 899 р.

    ";"
    В наличии
    15
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-graver-v-nabore-deko-dkrt200e-43-tools-case-063-1411-1735650/
код: 16845331;Электрический гравер с регулировкой скорости DEKO DKRT200E + набор аксессуаров 175 шт. 063-1416;"
    2 499 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-graver-s-regulirovkoj-skorosti-deko-dkrt200e-nabor-aksessuarov-175-sht-063-1416-1663079/
код: 16314882;Бормашина для тяжелых работ Proxxon IBS/E PR-28481;"
    11 050 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/bormashina-dlya-tyazhelyh-rabot-proxxon-ibs-e-pr-28481-1407017/
код: 16845931;Электрический гравер DEKO DKRT200E 063-1415;"
    3 440 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-graver-deko-dkrt200e-063-1415-1663082/
код: 13537450;Прямошлифовальная машина Makita GD 0602;"
    7 399 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/pryamoshlifovalnaya-mashina-makita-gd-0602-51597/
код: 16287033;Электрогравёр CROWN CT13428 BMC;"
    5 290 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektrograver-crown-ct13428-bmc-1359051/
код: 16844095;Аккумуляторная прямая шлифмашина Интерскол ПШМ-8/18ВЭ 641.1.0.70;"
    6 525 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornaya-pryamaya-shlifmashina-interskol-pshm-8-18ve-641-1-0-70-1714579/
код: 16034056;Гравировальная машина FIT 80591;"
    2 447 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/gravirovalnaya-mashina-fit-80591-1134793/
код: 15832317;Машинка для гравировки и шлифовки ProsKit PT-5501I 00323091;"
    4 277 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/mashinka-dlya-gravirovki-i-shlifovki-proskit-pt-5501i-00323091-909460/
код: 16504747;Аккумуляторный гравер DEKO DKRT3.6-Li SET 063-1400;"
    1 778 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornyj-graver-deko-dkrt3-6-li-set-063-1400-1772535/
код: 19700236;Прямошлифмашина Ryobi ONE+ RRT18-0 5133004939;"
    5 653 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pryamoshlifmashina-ryobi-one-rrt18-0-5133004939-2075699/
код: 15974642;Прямая шлифовальная машина MESSER M3333 10-33-333;"
    7 340 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pryamaya-shlifovalnaya-mashina-messer-m3333-10-33-333-1089419/
код: 22606821;Прямая шлифмашина TOTAL TG504062;"
    3 558 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pryamaya-shlifmashina-total-tg504062-4669470/
