Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15493833;Мультишлифмашина Bosch PSM 200 AES 0.603.3B6.020;"
    8 057 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/multishlifmashina-bosch-psm-200-aes-0-603-3b6-020-716396/
код: 16209980;Плоскошлифовальная вибрационная машина DENZEL VDS-2 27614;"
    3 050 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/ploskoshlifovalnaya-vibratsionnaya-mashina-denzel-vds-2-27614-1303727/
код: 21542152;Плоская шлифмашина WORTEX SS 1920 SS19200019;"
    4 900 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/ploskaya-shlifmashina-wortex-ss-1920-ss19200019-3205598/
код: 16413168;Электрическая мультифункциональная шлифовальная машина WORX WX648;"
    4 254 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/elektricheskaya-multifunktsionalnaya-shlifovalnaya-mashina-worx-wx648-1463980/
код: 15493834;Мультишлифмашина Bosch PSM Primo 0.603.3B8.020;"
    5 638 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/multishlifmashina-bosch-psm-primo-0-603-3b8-020-714549/
код: 13647345;Пневматическая мультишлифмашина Bosch PSM 1400 VENTARO 0.603.341.000;"
    10 424 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pnevmaticheskaya-multishlifmashina-bosch-psm-1400-ventaro-0-603-341-000-70274/
код: 13537916;Многофункциональная шлифмашина Bosch PSM 160 A 0.603.377.020;"
    8 488 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/mnogofunktsionalnaya-shlifmashina-bosch-psm-160-a-0-603-377-020-54850/
код: 13673585;Мультишлифовальная машина Bosch PSM 160 A 0.603.377.021;"
    3 784 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/multishlifovalnaya-mashina-bosch-psm-160-a-0-603-377-021-70287/
код: 15532778;Многоцелевая универсальная шлифмашина Black+Decker Autoselect Cyclonic KA280K;"
    5 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/mnogotselevaya-universalnaya-shlifmashina-black-decker-autoselect-cyclonic-ka280k-746395/
код: 3223;Многофункциональная шлифмашина Skil 7208 AC;Нет информации;Нет в наличии;https://spb.vseinstrumenti.ru/product/mnogofunktsionalnaya-shlifmashina-skil-7208-ac-3223/
код: 13537905;Многофункциональная шлифовальная машина Bosch PSM 1400 VENT 0.603.341.020;Нет информации;Нет в наличии;https://spb.vseinstrumenti.ru/product/mnogofunktsionalnaya-shlifovalnaya-mashina-bosch-psm-1400-vent-0-603-341-020-54864/
код: 15521937;Шабер SKIL 7720NA F0157720NA;Нет информации;Нет в наличии;https://spb.vseinstrumenti.ru/product/shaber-skil-7720na-f0157720na-739907/
код: 15521087;Многофункциональная шлифовальная машина SKIL 7220LC FOX 3-в-1 F0157220LC;Нет информации;Нет в наличии;https://spb.vseinstrumenti.ru/product/mnogofunktsionalnaya-shlifovalnaya-mashina-skil-7220lc-fox-3-v-1-f0157220lc-740215/
код: 15521088;Многофункциональная шлифовальная машина SKIL 7226LC FOX 6-в-1 F0157226LC;Нет информации;Нет в наличии;https://spb.vseinstrumenti.ru/product/mnogofunktsionalnaya-shlifovalnaya-mashina-skil-7226lc-fox-6-v-1-f0157226lc-740221/
