Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 18758868;Набор инструментов Makita CXT: дрель-шуруповерт DF333DZ + пылесос CL106FDZ + 2 аккумулятора BL1016 + з/у DC10WD CLX226X1;"
    13 644 р.

    ";"
    В наличии
    39
    шт.
  ";https://spb.vseinstrumenti.ru/product/nabor-instrumentov-makita-cxt-drel-shurupovert-df333dz-pylesos-cl106fdz-2-akkumulyatora-bl1016-z-u-dc10wd-clx226x1-1907488/
код: 15843932;Набор инструментов Milwaukee M18 CBLPP2A-402C 4933464536;"
    44 990 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/nabor-instrumentov-milwaukee-m18-cblpp2a-402c-4933464536-935887/
код: 26350789;Набор аккумуляторного инструмента Zitrek GreenCut 20 ZKBL20, GreenSaw 20 Extra Power 3в1, 1x2.0 Ач, 1x4.0 Ач 082-2022;"
    10 130 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nabor-akkumulyatornogo-instrumenta-zitrek-greencut-20-zkbl20-greensaw-20-extra-power-3v1-1x2-0-ach-1x4-0-ach-082-2022-8033066/
код: 15857302;Набор аккумуляторных инструментов GRAPHITE Energy+ 58g016;"
    13 359 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nabor-akkumulyatornyh-instrumentov-graphite-energy-58g016-931231/
код: 26760266;Набор аккумуляторного инструмента Zitrek (zkrw12, zkcd12) 2 в 1, 2x2.0ач 063-4404;"
    5 800 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nabor-akkumulyatornogo-instrumenta-zkrw12-zkcd12-2-v-1-2x2-0ach-zitrek-063-4404-7800770/
код: 15843824;Набор инструментов Milwaukee M12 FPP2A-402X 4933459808;"
    40 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nabor-instrumentov-milwaukee-m12-fpp2a-402x-4933459808-926109/
код: 26350799;Набор аккумуляторного инструмента Zitrek GreenCut 20, ZKBL20 2 в 1, 1x2.0 Ач, 1x4.0 Ач 082-2021;"
    8 740 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nabor-akkumulyatornogo-instrumenta-zitrek-greencut-20-zkbl20-2-v-1-1x2-0-ach-1x4-0-ach-082-2021-8033054/
код: 16030016;Набор аккумуляторного инструмента DAEWOO DGA 1220Li SET;"
    9 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nabor-akkumulyatornogo-instrumenta-daewoo-dga-1220li-set-1126392/
код: 16504704;Набор аккумуляторного инструмента DEKO 2 in 1 063-4107;"
    6 540 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nabor-akkumulyatornogo-instrumenta-deko-2-in-1-063-4107-1772533/
код: 16926295;Набор инструментов STATUS 07125601: дрель-шуруповерт CT12-2Li + сабельная пила RS 500;"
    9 929 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nabor-instrumentov-status-07125601-drel-shurupovert-ct12-2li-sabelnaya-pila-rs-500-1709766/
код: 25125993;Дрель-шуруповерт CBL 12 Li и углошлифовальная машина SH 115 E STATUS 07126201;"
    11 550 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/drel-shurupovert-mini-ushm-cbl-12-li-status-07126201-6634687/
код: 20616124;Набор для полировки и чистки 513547 PXE 80+DD 2G/Brush Set FLEX 518654;"
    71 450 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nabor-dlya-polirovki-i-chistki-513547-pxe-80-dd-2g-brush-set-flex-518654-2194674/
код: 15647973;Набор аккумуляторных инструментов Ryobi ONE+ R18CK4A-252S 5133003579;"
    30 406 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nabor-akkumulyatornyh-instrumentov-ryobi-one-r18ck4a-252s-5133003579-837737/
код: 15706343;Набор инструмента Ryobi ONE+ R18CK9-252S 5133003576;"
    49 655 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nabor-instrumenta-ryobi-one-r18ck9-252s-5133003576-853386/
код: 15737477;Набор инструментов Ryobi ONE+ R18CK4B-252S 5133003620;"
    27 202 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nabor-instrumentov-ryobi-one-r18ck4b-252s-5133003620-863603/
код: 19396566;Stanley Набор Дрель-шуруповерт SCD20S2K + Перфоратор SDS-plus SBR20-RU;Нет информации;Нет в наличии;https://spb.vseinstrumenti.ru/product/stanley-nabor-drel-shurupovert-scd20s2k-perforator-sds-plus-sbr20-ru-1960362/
код: 19396572;Stanley Набор Дрель-шуруповерт SCD20S2K + Сабельная пила STSC1820-RU;Нет информации;Нет в наличии;https://spb.vseinstrumenti.ru/product/stanley-nabor-drel-shurupovert-scd20s2k-sabelnaya-pila-stsc1820-ru-1960361/
код: 15600912;Набор аккумуляторного инструмента Ryobi ONE+: ударная дрель-шуруповерт  R18PD + угловая шлифмашина R18AG R18PDAG-LL13T 5133002739;"
    16 113 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nabor-akkumulyatornogo-instrumenta-ryobi-one-udarnaya-drel-shurupovert-r18pd-uglovaya-shlifmashina-r18ag-r18pdag-ll13t-5133002739-792212/
код: 19396578;Stanley Набор Дрель-шуруповерт SCD20S2K + Лобзик STSC1860-RU;Нет информации;Нет в наличии;https://spb.vseinstrumenti.ru/product/stanley-nabor-drel-shurupovert-scd20s2k-lobzik-stsc1860-ru-1960359/
код: 15737473;Набор инструментов Ryobi ONE+ R18DDJSSDS-220S 5133003688;"
    41 294 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nabor-instrumentov-ryobi-one-r18ddjssds-220s-5133003688-862513/
код: 26350794;Набор аккумуляторного инструмента Zitrek GreenCut 20, GreenSaw 20 Extra Power 2в1, 2x2.0 Ач 082-2020;"
    7 400 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nabor-akkumulyatornogo-instrumenta-zitrek-greencut-20-greensaw-20-extra-power-2v1-2x2-0-ach-082-2020-8033036/
код: 15625446;Набор Ryobi ONE+: аккумуляторный триммер OLT1831S + кусторез 55 см OHT1855R RLT1831HT55 5133002591;"
    15 594 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nabor-ryobi-one-akkumulyatornyj-trimmer-olt1831s-kustorez-55-sm-oht1855r-rlt1831ht55-5133002591-813916/
код: 15737474;Набор инструментов Ryobi ONE+ R18DDJSPS-220S 5133003812;"
    20 369 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nabor-instrumentov-ryobi-one-r18ddjsps-220s-5133003812-862431/
код: 15737471;Набор инструментов Ryobi ONE+ R18DDAG-252S 5133003819;"
    28 555 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nabor-instrumentov-ryobi-one-r18ddag-252s-5133003819-862272/
код: 23558523;Аккумуляторный мультитул Sturm 1BatterySystem CMT1802;"
    13 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-instrument-sturm-cmt1802-5399965/
код: 16233840;Набор инструмента AEG JP18U5-402B 4935472205;"
    50 355 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nabor-instrumenta-aeg-jp18u5-402b-4935472205-1336150/
код: 15737470;Набор инструментов Ryobi ONE+ RCD18-252VT 5133003622;"
    17 090 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nabor-instrumentov-ryobi-one-rcd18-252vt-5133003622-862842/
код: 15737476;Набор инструментов Ryobi ONE+ R18CK4-252S 5133003578;"
    24 321 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nabor-instrumentov-ryobi-one-r18ck4-252s-5133003578-863601/
код: 15737475;Набор инструментов Ryobi ONE+ R18CK3C-252S 5133003598;"
    25 100 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nabor-instrumentov-ryobi-one-r18ck3c-252s-5133003598-862356/
код: 15505393;Набор Ryobi ONE+ R18CK2E-LL15S 5133002196;"
    29 596 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nabor-ryobi-one-r18ck2e-ll15s-5133002196-727814/
код: 16520459;Комплект гидравлического инструмента на электроаккумуляторе REHAU RAUTOOL A-light2 12035971001;"
    390 428 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/komplekt-gidravlicheskogo-instrumenta-na-elektroakkumulyatore-rehau-rautool-a-light2-12035971001-1835365/
код: 15706338;Набор инструмента Ryobi ONE+ R18DDID-220S 5133003577;"
    17 954 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nabor-instrumenta-ryobi-one-r18ddid-220s-5133003577-853387/
