Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15933629;"Набор усиленных буров (8 шт; 5-12 мм; SDS-plus) Gigant G-11011";"
    661 р.

    ";"
    В наличии
    25
    шт.
  ";https://spb.vseinstrumenti.ru/product/nabor-usilennyh-burov-8-sht-5-12-mm-sds-plus-gigant-g-11011-1102148/
код: 22606911;Набор буров по бетону 4 шт TOTAL TACSD1945;"
    403 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/nabor-burov-po-betonu-4-sht-total-tacsd1945-4719678/
код: 13700030;Набор буров и зубил по бетону Matrix 71098;"
    2 188 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/nabor-burov-i-zubil-po-betonu-matrix-71098-1252970/
код: 50735;Набор буров SDS-plus 5 шт. Makita D-00795;"
    443 р.

    ";"
    В наличии
    18
    шт.
  ";https://spb.vseinstrumenti.ru/product/nabor-burov-sds-plus-5-sht-makita-d-00795-50735/
код: 16421455;"Набор буров по железобетону (5 шт; 6-10 мм; SDS-plus) Inforce 11-01-641";"
    2 249 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/nabor-burov-po-zhelezobetonu-5-sht-6-10-mm-sds-plus-inforce-11-01-641-1531636/
код: 13654645;Набор буров SDS-plus 5 шт. (5х 50х110, 6х 50х110, 6х100х160, 8х100х160 и 10х100х160 мм) Энкор 10995;"
    574 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/nabor-burov-sds-plus-5-sht-5h-50h110-6h-50h110-6h100h160-8h100h160-i-10h100h160-mm-enkor-10995-61322/
код: 15703646;Набор буров SDS+ 5 шт. Milwaukee 4932352338;"
    1 350 р.

    ";"
    В наличии
    23
    шт.
  ";https://spb.vseinstrumenti.ru/product/nabor-burov-sds-5-sht-milwaukee-4932352338-866253/
код: 15950297;Набор буров и зубил SDS Plus Bosch 2608578765;"
    2 691 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/nabor-burov-i-zubil-sds-plus-bosch-2608578765-1088025/
код: 15974319;"Набор SDS plus-1 (5/6x110 мм; 6/8/10x160 мм, 5 шт.) Bosch 2608579119";"
    456 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/nabor-sds-plus-1-5-6x110-mm-6-8-10x160-mm-5-sht-bosch-2608579119-1091571/
код: 15910496;"Набор буров RAK08SDS2 (8 шт; 5-12 мм) Ryobi 5132004209";"
    1 880 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/nabor-burov-rak08sds2-8-sht-5-12-mm-ryobi-5132004209-977200/
код: 15594036;Набор буров по бетону SDS-plus-5X (5-10 мм) 5 шт. Bosch 2608833910;"
    1 099 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/nabor-burov-po-betonu-sds-plus-5x-5-10-mm-5-sht-bosch-2608833910-788505/
код: 15950103;Буры SDS plus-5X 6/8/10 мм Bosch 2608833912;"
    764 р.

    ";"
    В наличии
    6
    шт.
  ";https://spb.vseinstrumenti.ru/product/bury-sds-plus-5x-6-8-10-mm-bosch-2608833912-1083332/
код: 27118730;"Набор буров 4Cutter (4 шт.; 5, 6, 8, 10 мм; SDS-plus) Makita E-14249";"
    1 292 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/nabor-burov-4cutter-4-sht-5-6-8-10-mm-sds-plus-makita-e-14249-8310921/
