Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15904509;Ножовка по дереву Inforce 450 мм 06-08-17;"
    1 179 р.

    ";"
    В наличии
    35
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-po-derevu-inforce-450-mm-06-08-17-1077772/
код: 13698909;Ножовка по дереву GROSS PIRANHA 450 мм,11-12 TPI,зуб-3D,кал.зуб,тефл.покр.полотна,2-х комп.рук-ка 24106;"
    1 255 р.

    ";"
    В наличии
    74
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-po-derevu-450-mm-gross-piranha-24106-537586/
код: 15904508;Ножовка по металлу Inforce 300 мм 06-08-16;"
    1 259 р.

    ";"
    В наличии
    31
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-po-metallu-inforce-300-mm-06-08-16-1077777/
код: 13698913;Ножовка по дереву 400 мм GROSS PIRANHA 24111;"
    1 224 р.

    ";"
    В наличии
    37
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-po-derevu-400-mm-gross-piranha-24111-533291/
код: 15543213;Ножовка по металлу 300 мм Vira 801010;"
    428 р.

    ";"
    В наличии
    58
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-po-metallu-300-mm-vira-801010-756158/
код: 13698912;Ножовка по дереву GROSS PIRANHA 400 мм, 7-8 TPI, зуб - 3D, каленый зуб, 2-х комп. рук-ка 24109;"
    1 124 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-po-derevu-400-mm-gross-piranha-24109-537569/
код: 13700763;Ножовка по металлу 300 мм GROSS PIRANHA 77604;"
    1 860 р.

    ";"
    В наличии
    6
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-po-metallu-300-mm-gross-piranha-77604-533516/
код: 15904511;Ножовка по дереву Inforce 550 мм 06-08-19;"
    1 276 р.

    ";"
    В наличии
    8
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-po-derevu-inforce-550-mm-06-08-19-1077776/
код: 15904510;Ножовка по дереву Inforce 500 мм 06-08-18;"
    866 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-po-derevu-inforce-500-mm-06-08-18-1077774/
код: 15904512;Многофункциональная ножовка по металлу Inforce 300 мм 06-08-20;"
    1 349 р.

    ";"
    В наличии
    8
    шт.
  ";https://spb.vseinstrumenti.ru/product/mnogofunktsionalnaya-nozhovka-po-metallu-inforce-300-mm-06-08-20-1077780/
код: 16008971;"Ножовка по дереву пила Stayer ""Cobra 5"" 400 мм, 5 TPI, прямой крупный зуб, быстрый рез поперек волокон, для крупных и средних заготовок, 1506-40_z02";"
    446 р.

    ";"
    В наличии
    64
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-po-derevu-pila-stayer-cobra-5-400-mm-5-tpi-pryamoj-krupnyj-zub-bystryj-rez-poperek-volokon-dlya-krupnyh-i-srednih-zagotovok-1506-40-z02-1171653/
код: 15457185;Прецизионное стусло, пила - 550мм, 2 прижимные струбцины GROSS 22757;"
    4 270 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/pretsizionnoe-stuslo-pila-550mm-2-prizhimnye-strubtsiny-gross-22757-783576/
код: 13650118;Ножовка с закаленным зубом Энкор Бобер 9852;"
    439 р.

    ";"
    В наличии
    22
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-s-zakalennym-zubom-enkor-bober-9852-57872/
код: 13946614;Ножовка по дереву 450 мм GROSS PIRANHA 24100;"
    1 170 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-po-derevu-450-mm-gross-piranha-24100-534266/
код: 16487659;Ножовка по дереву Gigant 500мм GHW500;"
    469 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-po-derevu-gigant-500mm-ghw500-1613970/
код: 15544882;Складная ножовка - походная пила 160мм STAYER МАХСut 15085;"
    296 р.

    ";"
    В наличии
    19
    шт.
  ";https://spb.vseinstrumenti.ru/product/skladnaya-nozhovka-pohodnaya-pila-160mm-stayer-mahsut-15085-786277/
код: 15100314;Пластмассовое стусло 300 мм FIT Профи 41256;"
    342 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/plastmassovoe-stuslo-300-mm-fit-profi-41256-532345/
код: 13916018;Пила по пенобетону Бетонорез Зубр ЭКСПЕРТ 15157-70;"
    1 061 р.

    ";"
    В наличии
    12
    шт.
  ";https://spb.vseinstrumenti.ru/product/pila-po-penobetonu-betonorez-zubr-ekspert-15157-70-713128/
код: 15735259;Ножовка по металлу со сменными лезвиями 250-300 мм Энкор 20983;"
    470 р.

    ";"
    В наличии
    33
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-po-metallu-so-smennymi-lezviyami-250-300-mm-enkor-20983-861440/
код: 16700356;Ножовка для быстрого реза сырой древесины ЗУБР Походная 7, 270 мм 15166-35;"
    531 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-dlya-bystrogo-reza-syroj-drevesiny-zubr-pohodnaya-7-270-mm-15166-35-1648767/
код: 15737925;Ножовка по дереву средний зуб 400мм Biber Стандарт 85651 тов-080812;"
    238 р.

    ";"
    В наличии
    28
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-po-derevu-srednij-zub-400mm-biber-standart-85651-tov-080812-863534/
код: 13946586;Ножовка по пенобетону 700 мм MATRIX 23382;"
    1 069 р.

    ";"
    В наличии
    9
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-po-penobetonu-700-mm-matrix-23382-664371/
код: 16700586;Ножовка для быстрого реза сырой древесины ЗУБР Походная 9 205 мм 15169-18;"
    456 р.

    ";"
    В наличии
    7
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-dlya-bystrogo-reza-syroj-drevesiny-zubr-pohodnaya-9-205-mm-15169-18-1648771/
код: 13946615;Ножовка по дереву 400 мм GROSS PIRANHA 24110;"
    1 154 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-po-derevu-400-mm-gross-piranha-24110-534256/
код: 16008984;"Ножовка ударопрочная пила Stayer ""TopCut"" 400 мм, 5 TPI, быстрый рез поперек волокон, для крупных и средних заготовок, 15061-40_z02";"
    294 р.

    ";"
    В наличии
    8
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-udaroprochnaya-pila-stayer-topcut-400-mm-5-tpi-bystryj-rez-poperek-volokon-dlya-krupnyh-i-srednih-zagotovok-15061-40-z02-1153178/
код: 15848371;Пила с изогнутом полотном, деревянной ручкой SAMURAI D-540-LH;"
    2 278 р.

    ";"
    В наличии
    8
    шт.
  ";https://spb.vseinstrumenti.ru/product/pila-s-izognutom-polotnom-derevyannoj-ruchkoj-samurai-d-540-lh-937740/
код: 16167777;Стусло USP с ножовкой, 300мм*65мм фигурное, черное 41241;"
    274 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/stuslo-usp-s-nozhovkoj-300mm-65mm-figurnoe-chernoe-41241-1251788/
код: 13912538;Ножовка по металлу 300 мм MATRIX 77593;"
    530 р.

    ";"
    В наличии
    36
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-po-metallu-300-mm-matrix-77593-551290/
код: 15931682;Ножовка для точных работ Stayer 15088;"
    585 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-dlya-tochnyh-rabot-stayer-15088-1093067/
код: 15098718;Ножовка по металлу 300 мм FIT 40065;"
    382 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-po-metallu-300-mm-fit-40065-532203/
код: 16008967;"Ножовка по дереву пила Зубр ""МОЛНИЯ-5"" 400 мм, 5 TPI, прямой крупный зуб, быстрый рез поперек волокон, для крупных и средних заготовок, 15075-40_z02";"
    581 р.

    ";"
    В наличии
    10
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-po-derevu-pila-zubr-molniya-5-400-mm-5-tpi-pryamoj-krupnyj-zub-bystryj-rez-poperek-volokon-dlya-krupnyh-i-srednih-zagotovok-15075-40-z02-1151007/
код: 16487658;Ножовка по дереву Gigant 400мм GHW400;"
    379 р.

    ";"
    В наличии
    7
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-po-derevu-gigant-400mm-ghw400-1613974/
код: 15834225;Ножовка-ручка, укрепленное полотно, 250 мм Hobbi 42-1-020;"
    79 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-ruchka-ukreplennoe-polotno-250-mm-hobbi-42-1-020-925933/
код: 16167770;Стусло USP пластик, 295*100 мм, желтое 41257;"
    239 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/stuslo-usp-plastik-295-100-mm-zheltoe-41257-1251776/
код: 15282125;Японская ножовка Bahco PC-9-9/17-PS;"
    4 245 р.

    ";"
    В наличии
    26
    шт.
  ";https://spb.vseinstrumenti.ru/product/yaponskaya-nozhovka-bahco-pc-9-9-17-ps-668741/
код: 15701816;Ножовка по дереву 450 мм, шаг 3,5 мм/7 TPI, закаленный зуб, 3D-заточка КОБАЛЬТ 248-825;"
    798 р.

    ";"
    В наличии
    8
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-po-derevu-450-mm-shag-3-5-mm-7-tpi-zakalennyj-zub-3d-zatochka-kobalt-248-825-850762/
код: 13650116;Ножовка Энкор Бобер 9854;"
    396 р.

    ";"
    В наличии
    14
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-enkor-bober-9854-57868/
код: 15100315;Пластмассовое стусло с двумя эксцентриками 310х120 мм FIT Профи 41255;"
    431 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/plastmassovoe-stuslo-s-dvumya-ekstsentrikami-310h120-mm-fit-profi-41255-532346/
код: 13644967;Ножовка с закаленным зубом Энкор Бобер 9850;"
    387 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-s-zakalennym-zubom-enkor-bober-9850-505595/
код: 16462755;Выкружная мини-ножовка по гипсокартону STAYER Cobra Double-8 150 мм 2-15170_z01;"
    569 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/vykruzhnaya-mini-nozhovka-po-gipsokartonu-stayer-cobra-double-8-150-mm-2-15170-z01-2420824/
код: 15876737;Ножовка по дереву для точных пильных работ, 350 ммкал, зуб 2D, 14 СИБРТЕХ Зубец 23826;"
    485 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-po-derevu-dlya-tochnyh-pilnyh-rabot-350-mmkal-zub-2d-14-sibrteh-zubets-23826-972242/
код: 13650473;Ножовка 450 мм Энкор Лисица 19182;"
    548 р.

    ";"
    В наличии
    18
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-450-mm-enkor-lisitsa-19182-532791/
код: 15848451;Складная пила с прямым полотном SAMURAI 2 угла фиксации, в футляре MP-240-MH;"
    2 113 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/skladnaya-pila-s-pryamym-polotnom-samurai-2-ugla-fiksatsii-v-futlyare-mp-240-mh-937699/
код: 15900846;Японская ножовка с 2-х сторонней режущей частью, чистовой рез, 240 мм KEIL 100112440;"
    2 488 р.

    ";"
    В наличии
    8
    шт.
  ";https://spb.vseinstrumenti.ru/product/yaponskaya-nozhovka-s-2-h-storonnej-rezhuschej-chastyu-chistovoj-rez-240-mm-keil-100112440-1092201/
код: 16008997;"Ножовка многоцелевая пила Stayer ""Cobra TOOLBOX"" 350 мм, 11 TPI, мелкий прямой закаленный зуб, точный рез, 2-15091-45_z01";"
    384 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-mnogotselevaya-pila-stayer-cobra-toolbox-350-mm-11-tpi-melkij-pryamoj-zakalennyj-zub-tochnyj-rez-2-15091-45-z01-1567833/
код: 15890111;Ножовка-ручка по металлу STAYER 15715;"
    292 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-ruchka-po-metallu-stayer-15715-975193/
код: 13665028;Ножовка по дереву KRAFTOOL Alligator Japan 22 185 мм 1-15194-18-22;"
    1 118 р.

    ";"
    В наличии
    28
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-po-derevu-kraftool-alligator-japan-22-185-mm-1-15194-18-22-522589/
код: 15592360;Складная пила Silky Bigboy 360мм 7зуб/30мм Si KSI635436;"
    9 540 р.

    ";"
    В наличии
    9
    шт.
  ";https://spb.vseinstrumenti.ru/product/skladnaya-pila-silky-bigboy-360mm-7zub-30mm-si-ksi635436-785626/
код: 13644968;Ножовка с закаленным зубом Энкор Бобер 9851;"
    420 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-s-zakalennym-zubom-enkor-bober-9851-505971/
код: 21540424;Ножовка по газобетону STARTUL 700 мм 34 зуба с напайками Profi ST4088-34;"
    1 580 р.

    ";"
    В наличии
    19
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-po-gazobetonu-startul-700-mm-34-zuba-s-napajkami-profi-st4088-34-3089978/
код: 16043608;Ножовка по металлу Stayer COBRA 100 кгс, 2-15791_z02;"
    512 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-po-metallu-stayer-cobra-100-kgs-2-15791-z02-1236519/
код: 13947495;Ножовка по металлу MATRIX 775605;"
    275 р.

    ";"
    В наличии
    8
    шт.
  ";https://spb.vseinstrumenti.ru/product/nozhovka-po-metallu-matrix-775605-519311/
