Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 13641892;Отбойный молоток Makita HM 1203 C;"
    45 190 р.

    ";"
    В наличии
    14
    шт.
  ";https://spb.vseinstrumenti.ru/product/otbojnyj-molotok-makita-hm-1203-c-53089/
код: 15457736;Отбойный молоток DEWALT D 25902 K;"
    69 341 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/otbojnyj-molotok-dewalt-d-25902-k-698452/
код: 22062832;Отбойный молоток Felisatti М-20/1500ЭВ 712.5.1.00;"
    23 850 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/otbojnyj-molotok-felisatti-m-20-1500ev-712-5-1-00-3602376/
код: 15278989;Отбойный молоток Bosch GSH 11 VC 0.611.336.000;"
    91 500 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/otbojnyj-molotok-bosch-gsh-11-vc-0-611-336-000-667122/
код: 16831147;Отбойный молоток HiKOKI H41ME H41MENSZ;"
    31 000 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/otbojnyj-molotok-hikoki-h41me-h41mensz-1649738/
код: 15695286;Отбойный молоток ИНТЕРСКОЛ М-20/1500ЭВ 441.0.0.00;"
    24 003 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/otbojnyj-molotok-interskol-m-20-1500ev-441-0-0-00-844464/
код: 16463505;Отбойный молоток ПКБ АРМА Мо1-Т1800-25 А512-4001;"
    23 800 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/otbojnyj-molotok-pkb-arma-mo1-t1800-25-a512-4001-1528714/
код: 676;Отбойный молоток Bosch GSH 11 E 0611316708;"
    62 602 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/otbojnyj-molotok-bosch-gsh-11-e-0-611-316-708-676/
код: 15392394;Отбойный молоток Bosch GSH 7 VC 0.611.322.000;"
    73 994 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/otbojnyj-molotok-bosch-gsh-7-vc-0-611-322-000-698981/
код: 16353768;Отбойный молоток Bosch GSH 500 Professional SDS MAX 0611338720;"
    26 336 р.

    ";"
    В наличии
    10
    шт.
  ";https://spb.vseinstrumenti.ru/product/otbojnyj-molotok-bosch-gsh-500-professional-sds-max-0611338720-1403633/
