Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 16711386;Отбойный молоток Вихрь ОМ-1750Э 72/23/1;"
    19 890 р.

    ";"
    В наличии
    8
    шт.
  ";https://spb.vseinstrumenti.ru/product/otbojnyj-molotok-vihr-om-1750e-72-23-1-1708239/
код: 15631058;Отбойный молоток 6 гр 30 мм Энкор МЭ-1700/30М 50139;"
    22 800 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/otbojnyj-molotok-6-gr-30-mm-enkor-me-1700-30m-50139-819372/
код: 15422248;Отбойный молоток ЗУБР ЗМ-35-1600 ВК;"
    33 540 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/otbojnyj-molotok-zubr-zm-35-1600-vk-683157/
код: 15706163;Отбойный молоток PATRIOT DB 460 140301375;"
    24 990 р.

    ";"
    В наличии
    9
    шт.
  ";https://spb.vseinstrumenti.ru/product/otbojnyj-molotok-patriot-db-460-140301375-851355/
код: 15706164;Отбойный молоток PATRIOT DB 560 140301385;"
    26 990 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/otbojnyj-molotok-patriot-db-560-140301385-851353/
код: 20398576;Отбойный молоток Булат БОМ 65/2200;"
    19 288 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/otbojnyj-molotok-bulat-bom-65-2200-2153168/
код: 15557057;Отбойный молоток PATRIOT DB 550 140301380;"
    37 990 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/otbojnyj-molotok-patriot-db-550-140301380-768369/
код: 16456352;Бетонолом Hanskonner HRH2150VC;"
    41 990 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/betonolom-hanskonner-hrh2150vc-1523218/
код: 16162550;Отбойный молоток SLOGGER DH1535;"
    18 760 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/otbojnyj-molotok-slogger-dh1535-1239216/
код: 24381879;Отбойный молоток Пульсар МО 60-1700 HEX30 900-904;"
    19 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/otbojnyj-molotok-pulsar-mo-60-1700-hex30-900-904-5913631/
