Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15016601;Отрезная пила Ryobi ECO2335HG 5133000704;"
    17 503 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/otreznaya-pila-ryobi-eco2335hg-5133000704-227988/
код: 21617074;Монтажная пила Спец ПМ-2000 2000Вт, диск 355-325, 4мм, стальная станина 3448 СПЕЦ-3448;"
    9 260 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/montazhnaya-pila-spets-pm-2000-spets-3448-3057746/
код: 16016177;Монтажная пила ПУЛЬСАР ПО 355-2500 791-264;"
    14 190 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/montazhnaya-pila-pulsar-po-355-2500-791-264-1114217/
код: 25639653;Монтажная пила Metabo CS 22-355, 2300 Вт 601786000;"
    22 399 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/montazhnaya-pila-metabo-cs-22-355-2300-vt-601786000-7106276/
код: 15695394;Отрезная пила Inforce CS355 01-12-004;"
    20 959 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/otreznaya-pila-inforce-cs355-01-12-004-945131/
код: 15563778;Монтажная отрезная пила Makita LW1401;"
    21 689 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/montazhnaya-pila-makita-lw1401-777575/
код: 13535749;Монтажная пила AEG SMT 355 4935411770;"
    14 413 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/montazhnaya-pila-aeg-smt-355-4935411770-130575/
код: 15483577;Отрезная пила Вихрь ОП-355/2500 72/15/1;"
    14 490 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/otreznaya-pila-vihr-op-355-2500-72-15-1-709740/
код: 15702668;Отрезная монтажная машина PATRIOT FM 380 110303380;"
    19 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/otreznaya-montazhnaya-mashina-patriot-fm-380-110303380-850419/
код: 16831687;Монтажная пила Hikoki CC14ST CC14STNTZ;"
    18 499 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/montazhnaya-pila-hikoki-cc14st-cc14stntz-1649810/
код: 22823799;Отрезной станок по металлу EUROBOOR EDC.355;"
    61 930 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/otreznoj-stanok-po-metallu-euroboor-edc-355-4435536/
код: 1069;Монтажная пила DEWALT DW 872;"
    77 968 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/montazhnaya-pila-dewalt-dw-872-1069/
код: 24440391;Торцовочная пила по металлу Fein MKAS 355 72365460000;"
    89 206 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/tortsovochnaya-pila-po-metallu-fein-72365460000-5999869/
код: 16293378;Пила для резки камня EIBENSTOCK EST 350.2 06637000;"
    91 400 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pila-dlya-rezki-kamnya-eibenstock-est-350-2-06637000-1372079/
код: 18318499;Отрезная пила по металлу Sturm CF7325S;"
    18 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/otreznaya-pila-po-metallu-sturm-cf7325s-1854776/
