Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 16449761;"Переходник 1/2""-3/8"" INFORCE 11-01-621";"
    176 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/perehodnik-1-2-3-8-inforce-11-01-621-1629879/
код: 16449759;"Переходник 3/8""-1/4"" INFORCE 11-01-619";"
    102 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/perehodnik-3-8-1-4-inforce-11-01-619-1629883/
код: 13916155;"Набор адаптеров для торцевых головок ""ЭКСПЕРТ"" (3 шт.) Зубр 26756-H3";"
    342 р.

    ";"
    В наличии
    66
    шт.
  ";https://spb.vseinstrumenti.ru/product/nabor-adapterov-dlya-tortsevyh-golovok-ekspert-3-sht-zubr-26756-h3-773024/
код: 17374704;Держатель IMPACT TORSION 1/4'' для бит Dewalt DT7522-QZ;"
    1 170 р.

    ";"
    В наличии
    14
    шт.
  ";https://spb.vseinstrumenti.ru/product/derzhatel-impact-torsion-1-4-dlya-bit-dewalt-dt7522-qz-1921181/
код: 15523319;"Карданный шаровый ударный переходник ключа 1/2"" JTC-5827";"
    1 113 р.

    ";"
    В наличии
    74
    шт.
  ";https://spb.vseinstrumenti.ru/product/kardannyj-sharovyj-udarnyj-perehodnik-klyucha-1-2-jtc-5827-766768/
код: 15897663;"Магнитный удлинитель бит 175 мм, 1/4"" FORCE 812175";"
    378 р.

    ";"
    В наличии
    63
    шт.
  ";https://spb.vseinstrumenti.ru/product/magnitnyj-udlinitel-bit-175-mm-1-4-force-812175-976749/
код: 15897670;"Держатель биты 1/4""х1/4"", L=25 мм FORCE 81022";"
    90 р.

    ";"
    В наличии
    10
    шт.
  ";https://spb.vseinstrumenti.ru/product/derzhatel-bity-1-4-h1-4-l-25-mm-force-81022-976516/
код: 15985125;Удлинитель для бит магнитный 1/4'', 100 мм REDVERG 6623521;"
    206 р.

    ";"
    В наличии
    14
    шт.
  ";https://spb.vseinstrumenti.ru/product/udlinitel-dlya-bit-magnitnyj-1-4-100-mm-redverg-6623521-1122720/
код: 15738800;Адаптер магнитный 60 мм цельнометаллический для бит Biber 84950 тов-166216;"
    81 р.

    ";"
    В наличии
    229
    шт.
  ";https://spb.vseinstrumenti.ru/product/adapter-magnitnyj-60-mm-tselnometallicheskij-dlya-bit-biber-84950-tov-166216-866823/
код: 13938399;"Адаптер 1/4""(F)-1/4""(F) для вставок Jonnesway S44H2206";"
    131 р.

    ";"
    В наличии
    18
    шт.
  ";https://spb.vseinstrumenti.ru/product/adapter-1-4-f-1-4-f-dlya-vstavok-jonnesway-s44h2206-222134/
код: 14949291;"Набор адаптеров для торцевых головок KRAFTOOL Expert 65 мм, 3 предмета, 1/4"", 1/2"", 3/8"" 26775-H3";"
    603 р.

    ";"
    В наличии
    7
    шт.
  ";https://spb.vseinstrumenti.ru/product/nabor-adapterov-dlya-tortsevyh-golovok-kraftool-expert-65-mm-3-predmeta-26775-h3-1253120/
код: 13938393;"Переходник 3/8""(F)-1/2""(M) для вставок Jonnesway S16H3812";"
    158 р.

    ";"
    В наличии
    20
    шт.
  ";https://spb.vseinstrumenti.ru/product/perehodnik-3-8-f-1-2-m-dlya-vstavok-jonnesway-s16h3812-222220/
код: 15847802;"Кардан ударный 1/2"", 75 мм FORCE 80541MPB";"
    636 р.

    ";"
    В наличии
    25
    шт.
  ";https://spb.vseinstrumenti.ru/product/kardan-udarnyj-1-2-75-mm-force-80541mpb-965323/
код: 15917968;"Держатель бит 1/2""(F)x1/4""(F) FORCE 81042";"
    208 р.

    ";"
    В наличии
    20
    шт.
  ";https://spb.vseinstrumenti.ru/product/derzhatel-bit-1-2-f-x1-4-f-force-81042-991912/
код: 13657355;Адаптер магнитный для бит 60 мм Stayer 2673-60;"
    129 р.

    ";"
    В наличии
    36
    шт.
  ";https://spb.vseinstrumenti.ru/product/adapter-magnitnyj-dlya-bit-60-mm-stayer-2673-60-215720/
код: 13938394;"Переходник с F 1/2"" DR на M 3/8"" DR для торцевых головок Jonnesway S16H1238";"
    178 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/perehodnik-s-f-1-2-dr-na-m-3-8-dr-dlya-tortsevyh-golovok-jonnesway-s16h1238-533486/
код: 16284699;Держатель магнитный для бит 150 мм Quadro Torsion 480150;"
    283 р.

    ";"
    В наличии
    27
    шт.
  ";https://spb.vseinstrumenti.ru/product/derzhatel-magnitnyj-dlya-bit-150-mm-quadro-torsion-480150-1359636/
код: 13916149;"Адаптер ""ЭКСПЕРТ"" магнитный для бит, фиксатор, держатель для направления биты, 60мм Зубр 26715-60";"
    374 р.

    ";"
    В наличии
    32
    шт.
  ";https://spb.vseinstrumenti.ru/product/adapter-ekspert-magnitnyj-dlya-bit-fiksator-derzhatel-dlya-napravleniya-bity-60mm-zubr-26715-60-740505/
код: 15945868;Кардан ударный FORCE 80521MPB;"
    279 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/kardan-udarnyj-force-80521mpb-1141612/
код: 15535232;"Держатель вставок бит магнитный 1/4"" KING TONY 751-60";"
    431 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/derzhatel-vstavok-bit-magnitnyj-1-4-king-tony-751-60-1085874/
код: 15966423;"Держатель вставок 1/4""F Dr - 1/4""F HEX с магнитом KRAFT KT 700634";"
    141 р.

    ";"
    В наличии
    11
    шт.
  ";https://spb.vseinstrumenti.ru/product/derzhatel-vstavok-1-4-f-dr-1-4-f-hex-s-magnitom-kraft-kt-700634-1098025/
код: 13938392;"Переходник с F 3/8"" DR на M 1/4"" DR для торцевых головок Jonnesway S16H3814";"
    142 р.

    ";"
    В наличии
    11
    шт.
  ";https://spb.vseinstrumenti.ru/product/perehodnik-s-f-3-8-dr-na-m-1-4-dr-dlya-tortsevyh-golovok-jonnesway-s16h3814-222533/
код: 15897667;"Держатель биты 1/2""х10 мм FORCE 81047";"
    178 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/derzhatel-bity-1-2-h10-mm-force-81047-976515/
код: 15825560;Держатель магнитный 60 мм для бит в блистере GRAFF GBH60;"
    272 р.

    ";"
    В наличии
    24
    шт.
  ";https://spb.vseinstrumenti.ru/product/derzhatel-magnitnyj-60-mm-dlya-bit-v-blistere-graff-gbh60-900745/
код: 16151659;Держатель 60 мм с усиленным магнитом и дополнительной фиксацией для бит RITTER PS20110660;"
    249 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/derzhatel-60-mm-s-usilennym-magnitom-i-dopolnitelnoj-fiksatsiej-dlya-bit-ritter-ps20110660-1276696/
код: 15608556;"Переходник ударный (3/4"" х 1/2"") Hans 86804B";"
    850 р.

    ";"
    В наличии
    10
    шт.
  ";https://spb.vseinstrumenti.ru/product/perehodnik-udarnyj-3-4-h-1-2-hans-86804b-800396/
код: 15967877;"Адаптер с отверстием под вороток 3/8 х 1/2"" FORCE 80634";"
    160 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/adapter-s-otverstiem-pod-vorotok-3-8-h-1-2-force-80634-1141500/
код: 15982528;"Шарнир карданный ударный 1/2"" DR Airline AT-IS12-45";"
    689 р.

    ";"
    В наличии
    14
    шт.
  ";https://spb.vseinstrumenti.ru/product/sharnir-kardannyj-udarnyj-1-2-dr-airline-at-is12-45-1095330/
код: 16057849;"Адаптер для торцевых головок 1/2""x50мм JTC 12G5004";"
    231 р.

    ";"
    В наличии
    32
    шт.
  ";https://spb.vseinstrumenti.ru/product/adapter-dlya-tortsevyh-golovok-1-2-x50mm-jtc-12g5004-1160029/
код: 15506629;"Карданный ударный переходник 1/2"" JTC 3703";"
    972 р.

    ";"
    В наличии
    38
    шт.
  ";https://spb.vseinstrumenti.ru/product/kardannyj-udarnyj-perehodnik-1-2-jtc-3703-726015/
код: 15844179;"Набор адаптеров 1/2""х73, 3/8""x65, 1/4""х65 JTC 7670";"
    620 р.

    ";"
    В наличии
    12
    шт.
  ";https://spb.vseinstrumenti.ru/product/nabor-adapterov-1-2-h73-3-8-x65-1-4-h65-jtc-7670-918762/
код: 25907957;Удлинитель гибкий 175 мм для бит vertextools 1610-175;"
    122 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/udlinitel-gibkij-dlya-bit-175-mm-vertextools-1610-175-7196678/
код: 15966308;"Кардан шарнирный 1/2"" Dr KRAFT KT 700391";"
    489 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/kardan-sharnirnyj-1-2-dr-kraft-kt-700391-1098024/
код: 16143200;"Держатель магнитный (2 шт; 1/4;  60 мм) Энкор 19735";"
    124 р.

    ";"
    В наличии
    19
    шт.
  ";https://spb.vseinstrumenti.ru/product/derzhatel-magnitnyj-2-sht-1-4-60-mm-enkor-19735-1224865/
код: 15520932;Адаптер ударный 1/2” F х 3/4” М JTC 440406;"
    717 р.

    ";"
    В наличии
    24
    шт.
  ";https://spb.vseinstrumenti.ru/product/adapter-udarnyj-1-2-f-h-3-4-m-jtc-440406-737641/
код: 15985123;Удлинитель для бит магнитный 1/4'', 75 мм REDVERG 6623520;"
    206 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/udlinitel-dlya-bit-magnitnyj-1-4-75-mm-redverg-6623520-1122731/
код: 15290642;"Держатель для бит 1/4"" ДТ/500 Дело Техники 609501";"
    28 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/derzhatel-dlya-bit-1-4-dt-500-delo-tehniki-609501-672139/
код: 15501184;Держатель магнитный составной (60 мм) ПРАКТИКА 036-599;"
    147 р.

    ";"
    В наличии
    19
    шт.
  ";https://spb.vseinstrumenti.ru/product/derzhatel-magnitnyj-sostavnoj-60-mm-praktika-036-599-720195/
