Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15692824;Полуоткрытый пистолет для герметика Inforce 01-13-02;"
    661 р.

    ";"
    В наличии
    27
    шт.
  ";https://spb.vseinstrumenti.ru/product/poluotkrytyj-pistolet-dlya-germetika-inforce-01-13-02-880161/
код: 15852829;Профессиональный пистолет для герметика Inforce 01-13-04;"
    699 р.

    ";"
    В наличии
    44
    шт.
  ";https://spb.vseinstrumenti.ru/product/professionalnyj-pistolet-dlya-germetika-inforce-01-13-04-1060557/
код: 15692823;Профессиональный пистолет для герметика Inforce 01-13-01;"
    423 р.

    ";"
    В наличии
    11
    шт.
  ";https://spb.vseinstrumenti.ru/product/professionalnyj-pistolet-dlya-germetika-inforce-01-13-01-880163/
код: 15888343;Полукорпусный пистолет для герметика Inforce 01-13-05;"
    996 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/polukorpusnyj-pistolet-dlya-germetika-inforce-01-13-05-1059801/
код: 15888342;Универсальный пистолет для герметика и силикона Inforce 01-13-08;"
    1 856 р.

    ";"
    В наличии
    9
    шт.
  ";https://spb.vseinstrumenti.ru/product/universalnyj-pistolet-dlya-germetika-i-silikona-inforce-01-13-08-1059802/
код: 15838223;Скелетный пистолет для герметика Вихрь 73/3/6/1;"
    221 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/skeletnyj-pistolet-dlya-germetika-vihr-73-3-6-1-912667/
код: 16491061;Универсальный пистолет Ultima для фолиевых туб 600 мл и герметиков 310 мл ULTMG17007;"
    864 р.

    ";"
    В наличии
    32
    шт.
  ";https://spb.vseinstrumenti.ru/product/universalnyj-pistolet-ultima-dlya-folievyh-tub-600-ml-i-germetikov-310-ml-ultmg17007-1567096/
код: 15829106;Аккумуляторный дозатор TOUA DCG72-600;"
    10 400 р.

    ";"
    В наличии
    9
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornyj-dozator-toua-dcg72-600-926291/
код: 15738229;Пистолет для туб Biber 60109 тов-146896;"
    883 р.

    ";"
    В наличии
    29
    шт.
  ";https://spb.vseinstrumenti.ru/product/pistolet-dlya-tub-biber-60109-tov-146896-870588/
код: 13666246;Пистолет STAYER ПРОФИ 0671;"
    554 р.

    ";"
    В наличии
    18
    шт.
  ";https://spb.vseinstrumenti.ru/product/pistolet-stayer-profi-0671-1104566/
код: 16473931;Пистолет для герметиков ZOLDER ПРОФИ закрытый, 600 мл, 1/12 С841/861;"
    1 010 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/pistolet-dlya-germetikov-zolder-profi-zakrytyj-600-ml-1-12-s841-861-1549451/
код: 15621415;Скелетный пистолет для герметика Blast Basic 591000;"
    234 р.

    ";"
    В наличии
    72
    шт.
  ";https://spb.vseinstrumenti.ru/product/skeletnyj-pistolet-dlya-germetika-blast-basic-591000-822924/
код: 15254760;Полуоткрытый пистолет для герметиков KRAFTOOL Professional Buldog поворотный, 320 мл 06673_z01;"
    1 365 р.

    ";"
    В наличии
    25
    шт.
  ";https://spb.vseinstrumenti.ru/product/poluotkrytyj-pistolet-dlya-germetikov-kraftool-professional-buldog-povorotnyj-320-ml-06673-z01-741398/
код: 15548840;Усиленный полукорпусный пистолет для герметика Blast Pressor 591004;"
    433 р.

    ";"
    В наличии
    10
    шт.
  ";https://spb.vseinstrumenti.ru/product/usilennyj-polukorpusnyj-pistolet-dlya-germetika-blast-pressor-591004-762503/
код: 16490967;Универсальный усиленный пистолет Ultima для фолиевых туб 600 мл и герметиков 310 мл ULTMG17009;"
    1 406 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/universalnyj-usilennyj-pistolet-ultima-dlya-folievyh-tub-600-ml-i-germetikov-310-ml-ultmg17009-1567085/
код: 15701956;Скелетный пистолет для герметика КОБАЛЬТ 310мл 243-998;"
    362 р.

    ";"
    В наличии
    17
    шт.
  ";https://spb.vseinstrumenti.ru/product/skeletnyj-pistolet-dlya-germetika-kobalt-310ml-243-998-851481/
код: 13666243;Пистолет для герметика STAYER ПРОФИ 0673-60;"
    690 р.

    ";"
    В наличии
    32
    шт.
  ";https://spb.vseinstrumenti.ru/product/pistolet-dlya-germetika-stayer-profi-0673-60-220028/
код: 16298190;Скелетный пистолет для герметика KRAFTOOL Grand 2-in-1 310 мл 06674;"
    794 р.

    ";"
    В наличии
    6
    шт.
  ";https://spb.vseinstrumenti.ru/product/skeletnyj-pistolet-dlya-germetika-kraftool-grand-2-in-1-310-ml-06674-1457815/
код: 16435634;Пистолет-шприц для жидких смесей Armero A250/011;"
    3 799 р.

    ";"
    В наличии
    19
    шт.
  ";https://spb.vseinstrumenti.ru/product/pistolet-shprits-dlya-zhidkih-smesej-armero-a250-011-1502674/
