Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 16474106;Пистолет для химических анкеров ZOLDER 1/12 С1360A;"
    2 145 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pistolet-dlya-himicheskih-ankerov-zolder-1-12-s1360a-1549854/
код: 16021369;Пистолет для картриджа HIMTEX 300 мл MET300;"
    2 856 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pistolet-dlya-kartridzha-himtex-300-ml-met300-1124938/
код: 16525461;Пистолет для химического анкера Партнер BCR 400 826013;"
    3 298 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pistolet-dlya-inzhektsionnoj-massy-partner-boss-400-for-bcr-826013-1597162/
код: 16258194;Пистолет для химического анкера Партнер BCR 470 826014;"
    8 727 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pistolet-dlya-inzhektsionnoj-massy-partner-boss-470-for-bcr-826014-1347515/
код: 16021759;Коаксиальный пистолет для картриджа HIMTEX 400 мл MET410;"
    6 283 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/koaksialnyj-pistolet-dlya-kartridzha-himtex-400-ml-met410-1124929/
код: 26020631;Усиленный пистолет для двухкомпонентных материалов Isoseal BCX-585 7300025;"
    7 649 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/usilennyj-pistolet-dlya-dvuhkomponentnyh-materialov-isoseal-bcx-585-7300025-7298017/
код: 16660682;Пистолет для химического анкера Tulips tools IM11-106;"
    2 153 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pistolet-dlya-himicheskogo-ankera-tulips-tools-im11-106-1653554/
код: 27084932;Пистолет для профессионального химического анкера TORGWIN 380 мл и 410 мл T228223;"
    1 560 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pistolet-dlya-himicheskogo-ankera-prof-380-ml-i-410-ml-torgwin-t228223-8125340/
код: 23037807;Профессиональный универсальный дозатор для химических анкеров в картриджах RAWLPLUG R-GUN-MULTI;"
    10 801 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/professionalnyj-universalnyj-dozator-dlya-himicheskih-ankerov-v-kartridzhah-rawlplug-r-gun-multi-4748226/
код: 16525143;Пистолет для химического анкера Партнер BCR 300 826012;"
    2 823 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pistolet-dlya-inzhektsionnoj-massy-partner-boss-300-for-bcr-826012-1597160/
код: 26906960;Дозатор vm-p 585 для vme MKT 28353585;"
    11 033 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/dozator-vm-p-585-dlya-vme-mkt-28353585-8001992/
код: 16021763;Пистолет для картриджа HIMTEX 585 мл MET585;"
    8 833 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pistolet-dlya-kartridzha-himtex-585-ml-met585-1124937/
