Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 22952961;Плазморез SOLARIS AirCut PC-400;"
    35 990 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/plazmorez-solaris-aircut-pc-400-4860973/
код: 16037696;Аппарат плазменной резки Aurora AIRHOLD 45 26928;"
    28 500 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/apparat-plazmennoj-rezki-aurora-airhold-45-26928-1143588/
код: 15133711;Инверторный плазменный резак Ресанта ИПР 40 65/32;"
    49 290 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/invertornyj-plazmennyj-rezak-resanta-ipr-40-65-32-542678/
код: 16339523;Инверторный плазменный резак Ресанта ИПР-100 65/68;"
    106 590 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/invertornyj-plazmennyj-rezak-resanta-ipr-100-65-68-1432701/
код: 16026168;Аппарат плазменной резки Aurora AIRFORCE 60M 26929;"
    53 700 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/apparat-plazmennoj-rezki-aurora-airforce-60m-26929-1136872/
код: 20261542;Аппарат воздушно-плазменной резки ТСС NEO CUT-50K 033316;"
    52 808 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/apparat-vozdushno-plazmennoj-rezki-tss-neo-cut-50k-033316-2128179/
код: 22822953;Плазморез SOLARIS EasyCut PC-41;"
    21 670 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/plazmorez-solaris-easycut-pc-41-4752918/
код: 15967711;Установка воздушно-плазменной резки КЕДР MultiCUT-400C 220В 8012507;"
    91 661 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/ustanovka-vozdushno-plazmennoj-rezki-kedr-multicut-400c-220v-8012507-1088732/
код: 16068364;Аппарат плазменной резки АВРОРА Джет 40 26658;"
    19 500 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/apparat-plazmennoj-rezki-avrora-dzhet-40-26658-1172479/
код: 16447670;Инвертор плазменной резки Inforce CUT-40 04-08-05;"
    18 009 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/invertor-plazmennoj-rezki-inforce-cut-40-04-08-05-1801939/
