Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 19404408;Пневматический пробойник-кромкогиб JTC для металла, пробойник 8 мм 7961;"
    10 950 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pnevmaticheskij-probojnik-kromkogib-jtc-dlya-metalla-probojnik-8-mm-7961-2027776/
код: 25572981;Пневматический дырокол SUMAKE ST-6652D 8901100;"
    8 224 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pnevmaticheskij-dyrokol-sumake-st-6652d-8901100-6921199/
код: 15700364;Пневматический дырокол и обжимные клещи RedHotDot 052543;"
    13 757 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pnevmaticheskij-dyrokol-i-obzhimnye-kleschi-redhotdot-052543-850351/
код: 16347091;Пневматический дырокол-кромкогиб Русский Мастер для отверстий 8 мм РМ-78231;"
    11 687 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pnevmaticheskij-dyrokol-kromkogib-russkij-master-dlya-otverstij-8-mm-rm-78231-1414455/
код: 16347092;Пневматический дырокол-кромкогиб Русский Мастер для отверстий 5 мм РМ-78224;"
    9 177 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pnevmaticheskij-dyrokol-kromkogib-russkij-master-dlya-otverstij-5-mm-rm-78224-1414456/
код: 15523516;Пневматический пробойник-кромкогиб для металла JTC 5837;"
    7 650 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pnevmaticheskij-probojnik-kromkogib-dlya-metalla-jtc-5837-746911/
код: 15565780;Пневматический дырокол кромкогиб MIGHTY SEVEN PN-150;"
    8 260 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pnevmaticheskij-dyrokol-kromkogib-mighty-seven-pn-150-779453/
код: 13938909;Пневматический отбортовочный пробивной инструмент Jonnesway JAT-6943;"
    11 590 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pnevmaticheskij-otbortovochnyj-probivnoj-instrument-jonnesway-jat-6943-217054/
код: 15102156;Пневмодырокол SUMAKE ST-6653A 35153;"
    8 161 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pnevmodyrokol-sumake-st-6653a-35153-534112/
код: 13938908;Пневматический отбортовочный пробивной инструмент Jonnesway JAT-6943A;Нет информации;Нет в наличии;https://spb.vseinstrumenti.ru/product/pnevmaticheskij-otbortovochnyj-probivnoj-instrument-jonnesway-jat-6943a-217056/
код: 15951980;Пневмодырокол ROCKFORCE RF-6652;"
    8 310 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pnevmodyrokol-rockforce-rf-6652-1146485/
код: 15102155;Пневмодырокол SUMAKE ST-6652 35152;"
    8 224 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pnevmodyrokol-sumake-st-6652-35152-533827/
код: 25048233;Пневмодырокол Rossvik RT-4101;"
    2 390 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pnevmodyrokol-rossvik-rt-4101-6673861/
код: 15690439;Пневмодырокол Forsage F-ST-6652;Нет информации;Нет в наличии;https://spb.vseinstrumenti.ru/product/pnevmodyrokol-forsage-f-st-6652-840311/
