Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15888196;Пневматический заклепочник Gigant P70;"
    5 389 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/pnevmaticheskij-zaklepochnik-gigant-p70-982632/
код: 15537218;Пневмогидравлический заклепочник FUBAG HR2448 100160;"
    5 380 р.

    ";"
    В наличии
    8
    шт.
  ";https://spb.vseinstrumenti.ru/product/pnevmogidravlicheskij-zaklepochnik-fubag-hr2448-100160-755096/
код: 16355937;Пневматический заклепочник KRAFTOOL 2.4-6.4 мм, композитный корпус 31185_z02;"
    10 328 р.

    ";"
    В наличии
    12
    шт.
  ";https://spb.vseinstrumenti.ru/product/pnevmaticheskij-zaklepochnik-kraftool-2-4-6-4-mm-kompozitnyj-korpus-31185-z02-1457816/
код: 23497449;Пневматический заклепочник MESSER RL-5312K 05-30-001;"
    52 803 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/pnevmaticheskij-zaklepochnik-messer-rl-5312k-05-30-001-5229421/
код: 16440155;Пневматический заклепочник KRAFTOOL AR-48 2.4-4.8 мм 31184;"
    8 313 р.

    ";"
    В наличии
    9
    шт.
  ";https://spb.vseinstrumenti.ru/product/pnevmaticheskij-zaklepochnik-kraftool-ar-48-2-4-4-8-mm-31184-1597164/
код: 15693949;Пневматический резьбовой заклепочник MESSER TP6300А;"
    38 977 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/pnevmaticheskij-rezbovoj-zaklepochnik-messer-tp6300a-843858/
код: 16143277;Пневматический заклепочник KRAFTOOL ARC-48 Vacuum-Lock, для заклепок, 2.4-3.2-4-4.8мм 31188;"
    25 505 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/pnevmaticheskij-zaklepochnik-kraftool-pro-dlya-zaklepok-31188-1239906/
код: 15565804;Пневмогидравлический заклепочник MIGHTY SEVEN PA-301;"
    13 700 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/pnevmogidravlicheskij-zaklepochnik-mighty-seven-pa-301-779589/
код: 21695470;Пневматический заклепочник ЗУБР ПЗ-48 2.4-4.8 мм 31283;"
    4 699 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/pnevmaticheskij-zaklepochnik-zubr-pz-48-2-4-4-8-mm-31283-3672738/
код: 15761128;Пневматический резьбовой заклепочник JTC 5235;"
    36 600 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pnevmaticheskij-rezbovoj-zaklepochnik-jtc-5235-878912/
код: 15548982;Пневматический вытяжной заклепочник MESSER AHR-300;"
    45 028 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pnevmaticheskij-vytyazhnoj-zaklepochnik-messer-ahr-300-763758/
код: 16314712;Пневмо-гидравлический заклепочник для заклепок-гаек ПНЕВМО-ТРЕЙД PT-ARN0410;"
    12 920 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pnevmo-gidravlicheskij-zaklepochnik-dlya-zaklepok-gaek-pnevmo-trejd-pt-arn0410-1395267/
