Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15982118;Полировальная машина Hanskonner HAG918CP;"
    10 990 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/polirovalnaya-mashina-hanskonner-hag918cp-1111106/
код: 15748822;Полировальная машина Энкор МПЭ-1200/180Э 50191;"
    6 660 р.

    ";"
    В наличии
    6
    шт.
  ";https://spb.vseinstrumenti.ru/product/polirovalnaya-mashina-enkor-mpe-1200-180e-50191-875967/
код: 15851807;Угловая полировальная машина Kolner KPM 180/1400V;"
    3 564 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/uglovaya-polirovalnaya-mashina-kolner-kpm-180-1400v-925248/
код: 15025656;Угловая полировальная машина Интерскол УПМ-180/1300ЭМ 180.1.1.00;"
    7 308 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/uglovaya-polirovalnaya-mashina-interskol-upm-180-1300em-180-1-1-00-226011/
код: 16504723;Полировальная сетевая шлифмашинка DEKO DKP1500 063-4184;"
    3 313 р.

    ";"
    В наличии
    12
    шт.
  ";https://spb.vseinstrumenti.ru/product/polirovalnaya-setevaya-shlifmashinka-deko-dkp1500-063-4184-1772530/
код: 16071416;Электрическая полировальная машина WIEDERKRAFT ротор-орбитальная WDK-Stinger15;"
    17 595 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskaya-polirovalnaya-mashina-wiederkraft-rotor-orbitalnaya-wdk-stinger15-1171771/
код: 15740886;Полировальная машинка FLEX PE 14-2 150 373680;"
    62 378 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/polirovalnaya-mashinka-flex-pe-14-2-150-373680-868966/
код: 15088572;Полировальная машина ЗУБР ЗПМ-240;"
    3 630 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/polirovalnaya-mashina-zubr-zpm-240-533622/
код: 17834848;Полировальная электрическая машина ROCKFORCE RF-F-03060;"
    7 009 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/polirovalnaya-elektricheskaya-mashina-rockforce-rf-f-03060-1970290/
код: 15780656;Полировальная машина FLEX POLISHFLEX PE 14-2 150 Set 376175;"
    67 080 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/polirovalnaya-mashina-flex-polish-pe-14-2-150-376175-895486/
код: 16252508;Полировальная угловая машина RUPES DUETTO LHR 12E;"
    30 620 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/polirovalnaya-uglovaya-mashina-rupes-duetto-lhr-12e-1333896/
код: 15917081;Полировальная машина Einhell CC-PO 1100/2E 2093265;"
    6 080 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/polirovalnaya-mashina-einhell-cc-po-1100-2e-2093265-986408/
код: 16252487;Полировальная машина RUPES LH 18ENS;"
    31 481 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/polirovalnaya-mashina-rupes-lh-18ens-1333264/
код: 16603538;Полировальная машина Ryobi ONE+ R18P-0 5133004845;"
    10 384 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/polirovalnaya-mashina-ryobi-one-r18p-0-5133004845-1630914/
код: 15515591;Полировщик Ryobi ONE+ R18B-0 5133002465;"
    5 614 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/polirovschik-ryobi-one-r18b-0-5133002465-734937/
код: 1283;Полировальная шлифмашина Makita SA 7000 C;"
    14 490 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/polirovalnaya-shlifmashina-makita-sa-7000-c-1283/
код: 17976649;Полировальная шлифмашина Пульсар ПМ 180-1500С 793-541;"
    5 183 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/polirovalnaya-shlifmashina-pulsar-pm-180-1500s-793-541-1829426/
код: 23040807;Полировальная сетевая шлифмашина DEKO DKP1000, 125 мм, 1000 Вт, аксессуаров 5 шт 063-4293;"
    2 149 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/polirovalnaya-setevaya-shlifmashina-deko-dkp1000-125-mm-1000-vt-aksessuarov-5-sht-063-4293-4810477/
код: 21784018;Полировальная машина ELTI УПМ-180/1800Е;"
    4 500 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/polirovalnaya-mashina-elti-upm-180-1800e-3188666/
код: 15546487;Полировальная машина Sturm AG919CP;"
    6 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/polirovalnaya-mashina-sturm-ag919cp-759349/
код: 20656666;Полировальная машина Hanskonner HAG918CPE;"
    10 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/polirovalnaya-mashina-hanskonner-hag918cpe-2199209/
код: 15600348;Профессиональная полировальная машинка WIEDERKRAFT WDK-PM800;"
    13 685 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/professionalnaya-polirovalnaya-mashinka-wiederkraft-wdk-pm800-793963/
код: 15016593;Полировальная машина DEWALT DWP 849 X;"
    21 090 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/polirovalnaya-mashina-dewalt-dwp-849-x-224722/
код: 13903540;Полировальная шлифмашина AEG PE 150 4935412266;"
    22 559 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/polirovalnaya-shlifmashina-aeg-pe-150-4935412266-200359/
код: 22066474;Полировальная углошлифовальная машина Ресанта УШМ-180/1500П 75/12/12;"
    7 290 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/polirovalnaya-ugloshlifovalnaya-mashina-resanta-ushm-180-1500p-75-12-12-3673500/
код: 17775634;Полировальная машина STATUS PA 150 CE 03390601;"
    11 308 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/polirovalnaya-mashina-status-pa-150-ce-03390601-1801540/
код: 15825614;Полировальная машина с эксцентриком WIEDERKRAFT WDK-Stinger21;"
    17 595 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/polirovalnaya-mashina-s-ekstsentrikom-wiederkraft-wdk-stinger21-902361/
код: 16203777;Эксцентриковая полировальная машина STATUS XPA9-125CE 03390301;"
    8 580 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/ekstsentrikovaya-polirovalnaya-mashina-status-xpa9-125ce-03390301-1300811/
код: 15984836;Полировальная машина REDVERG RD-PM130 5022687;"
    4 792 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/polirovalnaya-mashina-redverg-rd-pm130-5022687-1103841/
код: 24439149;Полировальная машина STATUS PA180CE 03390901;"
    9 950 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/polirovalnaya-mashina-status-pa180ce-03390901-5994451/
код: 15702261;Угловая полировальная машина PATRIOT AG180 110300180;"
    6 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/uglovaya-polirovalnaya-mashina-patriot-ag180-110300180-850418/
код: 17775352;Полировальная машина STATUS PA 125 CE 03390701;"
    8 387 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/polirovalnaya-mashina-status-pa-125-ce-03390701-1801530/
код: 25233531;Угловая полировальная машинка RUPES LHR21 MARKIII BIG FOOT LHR21III#230/H5/DE/STD;"
    69 215 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/polirovalnaya-uglovaya-mashinka-rupes-lhr21-markiii-big-foot-lhr21iii-230-h5-de-std-6921013/
код: 16831639;Полировальная машина Hikoki SP18VA SP18VANSZ;"
    16 716 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/polirovalnaya-mashina-hikoki-sp18va-sp18vansz-1649872/
код: 16180345;Полировальная машина Alteco AP 1600-180.1 20601;"
    5 510 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/polirovalnaya-mashina-alteco-ap-1600-180-1-20601-1279671/
код: 16346934;Угловая полировальная электрическая машинка Русский Мастер РМ-71997;"
    15 225 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/uglovaya-polirovalnaya-elektricheskaya-mashinka-russkij-master-rm-71997-1416390/
код: 13643592;Полировальная машина Калибр УПМ-180Е 00000023967;"
    3 929 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/polirovalnaya-mashina-kalibr-upm-180e-00000023967-53756/
код: 23237055;Полировальная машина FAVOURITE 1700Вт, 180 мм, 600-3000 об/мин, М14 PM 1700;"
    5 703 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/polirovalnaya-mashina-favourite-1700vt-180-mm-600-3000-ob-min-m14-pm-1700-5189473/
код: 20394178;Полировальная машинка NORDBERG NE413;"
    7 827 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/polirovalnaya-mashinka-nordberg-ne413-2131644/
код: 20680551;Полировальная роторная машинка MaxShine M550 016782;"
    18 346 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/polirovalnaya-rotornaya-mashinka-maxshine-m550-016782-2199864/
код: 15783136;Полировальная машина FLEX L 1503 VR 250280;"
    53 900 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/polirovalnaya-mashina-flex-l-1503-vr-250280-893959/
код: 15965332;Электрическая полировальная машинка Huberth RP207171-15;"
    14 356 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/elektricheskaya-polirovalnaya-mashinka-huberth-rp207171-15-1082546/
код: 21379354;Электрическая полировальная угловая машинка с вращательно-орбитальным типом Hanko PL-21AL;"
    12 355 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/elektricheskaya-polirovalnaya-uglovaya-mashinka-s-vraschatelno-orbitalnym-tipom-hanko-pl-21al-2976590/
код: 19679218;Эксцентриковая полировальная машина STATUS XPA21-150CE 03390801;"
    15 565 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/ekstsentrikovaya-polirovalnaya-mashina-status-xpa21-150ce-03390801-2053994/
код: 15746899;Полировальная машинка с набором принадлежностей RUPES LH19E/STN;"
    40 984 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/polirovalnaya-mashinka-s-naborom-prinadlezhnostej-rupes-lh19e-stn-871289/
код: 16252507;Полировальная угловая машина RUPES LHR 21ES;"
    35 978 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/polirovalnaya-uglovaya-mashina-rupes-lhr-21es-1333262/
код: 15734484;Полировальная электрическая машинка HUBERTH RP207183-R;"
    10 767 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/polirovalnaya-elektricheskaya-mashinka-huberth-rp207183-r-863285/
код: 15942197;Угловая шлифмашина ДИОЛД МШУ-1.3П-01 10042040;"
    5 268 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/uglovaya-shlifmashina-diold-mshu-1-3p-01-10042040-1069943/
код: 22224075;Полировальная машина WORTEX PM1810SE0019;"
    9 300 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/polirovalnaya-mashina-wortex-pm1810se0019-3898356/
код: 15882561;Шлифовальная машина FLEX SE 14-2 125 Set 391174;"
    98 700 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/shlifovalnaya-mashina-flex-se-14-2-125-set-391174-1663130/
код: 15780654;Полировальная машина с высоким крутящим моментом для обработки больших поверхностей FLEX PE 14-1 180 395749;"
    71 100 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/polirovalnaya-mashina-flex-pe-14-1-18-395749-895485/
