Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 23280111;Толщиномер лакокрасочных покрытий iCarTool Fe/NFe IC-T150;"
    2 263 р.

    ";"
    В наличии
    6
    шт.
  ";https://spb.vseinstrumenti.ru/product/tolschinomer-lakokrasochnyh-pokrytij-icartool-fe-nfe-ic-t150-5043228/
код: 16083173;Толщиномер ADA ЛКП PaintMeter 1500 А00581;"
    10 990 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/tolschinomer-ada-lkp-paintmeter-1500-a00581-1179979/
код: 18328585;Толщиномер лакокрасочных покрытий iCartool, Fe+Zn-nFe-Fe, 3%, IC-T400;"
    6 790 р.

    ";"
    В наличии
    6
    шт.
  ";https://spb.vseinstrumenti.ru/product/tolschinomer-lakokrasochnyh-pokrytij-icartool-fe-zn-nfe-fe-3-ic-t400-1839991/
код: 15514224;Влагомер KWB 0121-00;"
    2 890 р.

    ";"
    В наличии
    12
    шт.
  ";https://spb.vseinstrumenti.ru/product/vlagomer-kwb-0121-00-754920/
код: 23653425;Цифровой игольчатый влагомер WOODWORK MT-01;"
    1 672 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/tsifrovoj-igolchatyj-vlagomer-woodwork-mt-01-5351719/
код: 15592112;Термогигрометр настольный МЕГЕОН 20207 00000006427;"
    880 р.

    ";"
    В наличии
    10
    шт.
  ";https://spb.vseinstrumenti.ru/product/nastolnyj-termogigrometr-megeon-20207-784535/
код: 20225236;Толщиномер лакокрасочного покрытия ADA PaintMeter 1800 А00656;"
    6 990 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/tolschinomer-lakokrasochnogo-pokrytiya-ada-paintmeter-1800-a00656-2109611/
код: 15546516;Измеритель влажности древесины МЕГЕОН 20610 00000005952;"
    3 616 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/izmeritel-vlazhnosti-drevesiny-megeon-20610-762967/
код: 15909411;Толщиномер RGK TM-17 775304;"
    8 601 р.

    ";"
    В наличии
    6
    шт.
  ";https://spb.vseinstrumenti.ru/product/tolschinomer-rgk-tm-17-775304-974305/
код: 16218274;Термогигрометр RGK TH-14 776202;"
    2 990 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/termogigrometr-rgk-th-14-776202-1310859/
