Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 16329882;WIFI-видеоэндоскоп iCartool с телескопическим держателем IC-V140;"
    4 150 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/wifi-videoendoskop-icartool-s-teleskopicheskim-derzhatelem-ic-v140-1395180/
код: 16329884;Видеоэндоскоп iCarTool USB, 1Мп, 1600x1200, 3,5м, 8мм зонд IC-V101;"
    2 290 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/usb-videoendoskop-icartool-ic-v101-1395178/
код: 18547423;Видеоскоп МЕГЕОН 33104 к0000032650;"
    2 960 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/videoskop-megeon-33104-k0000032650-1885942/
код: 18548119;Видеоскоп МЕГЕОН 33103 к0000032645;"
    2 420 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/videoskop-megeon-33103-k0000032645-1885961/
код: 21202306;Видеоскоп МЕГЕОН 333201 к0000035914;"
    4 130 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/videoskop-megeon-333201-k0000035914-2796056/
код: 15546649;Видеоскоп-Эндоскоп МЕГЕОН USB 33021 00000006372;"
    1 540 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/videoskop-endoskop-megeon-usb-33021-762122/
код: 16329886;Видеоэндоскоп USB iCartool 0.3Мп, 640x480, 2м, 5.5мм зонд IC-V99;"
    980 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/videoendoskop-usb-icartool-0-3mp-640x480-2m-5-5mm-zond-ic-v99-1395176/
код: 15925617;Видеоэндоскоп JProbe ST270 1-85-48 HMF JST2701RG8548HMF;"
    29 250 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/videoendoskop-jprobe-st270-1-85-48-hmf-jst2701rg8548hmf-1061133/
код: 20241928;Ушной эндоскоп МЕГЕОН 33036 к0000035621;"
    1 430 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/ushnoj-endoskop-megeon-33036-k0000035621-2147796/
код: 15903145;Светодиодный фонарь jProbe NT/LS 1-85-65 без артикуляции JNTLSSP8565;"
    9 000 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/svetodiodnyj-fonar-jprobe-nt-ls-1-85-65-bez-artikulyatsii-jntlssp8565-966298/
код: 16329869;Микроскоп iCarTool USB, 2Мп, 1000X, 1920x1080, 1.5м, USB/Micro USB/TypeC IC-V317;"
    3 350 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/wifi-usb-mikroskop-icartool-ic-v317-1395174/
код: 20922261;Карманный микроскоп Mayuan 9882 771512;"
    348 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/karmannyj-mikroskop-mayuan-9882-771512-2460112/
код: 15778622;Микроскоп Levenhuk Rainbow D2L Moonstone/Лунный камень 69040;"
    14 990 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/mikroskop-levenhuk-rainbow-d2l-moonstone-lunnyj-kamen-69040-926427/
код: 20667676;Микроскоп Discovery Centi 01 с книгой 78238;"
    2 530 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/mikroskop-discovery-centi-01-s-knigoj-78238-2209123/
код: 16467202;"Промышленный видеоэндоскоп iCartool 4.3"", 1Мп, 2 камеры, 1280х720, 1 м, 8 мм сменный зонд IC-V112A";"
    11 490 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/promyshlennyj-videoendoskop-icartool-ic-v112a-1537683/
код: 16467204;Wi-Fi-видеоэндоскоп iCartool IC-V100A;"
    6 190 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/wi-fi-videoendoskop-icartool-ic-v100a-1537692/
код: 25024611;"Промышленный видеоэндоскоп iCarTool 4.3"", 1 Мп, 1280x720, 1 м, 5.5 мм, сменный зонд IC-V112B";"
    11 390 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/videoendoskop-promyshlennyj-4-3-1mp-1280x720-1m-5-5-mm-smennyj-zond-icartool-ic-v112b-6634039/
код: 16329885;USB-видеоэндоскоп iCartool, 1Мп, 1280x720, 3,5м, 3.9мм зонд, IC-V107;"
    4 050 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/usb-videoendoskop-icartool-1mp-1280x720-3-5m-3-9mm-zond-ic-v107-1395177/
код: 16375028;Управляемый видеоэндоскоп iCartool USB, 1Мп, 1280x720, 0.8м, 8.5мм, 180° IC-V8051W;"
    21 750 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/upravlyaemyj-videoendoskop-icartool-usb-ic-v8051w-1422939/
код: 23822535;"Управляемый видеоэндоскоп iCarTool экран 4.5"", 1Мп, 1280x720, 1 м, 4 мм зонд, 360° IC-VC1042W";"
    88 900 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/upravlyaemyj-videoendoskop-icartool-4-5-1mp-1280x720-1-m-4-mm-zond-360-ic-vc1042w-5487571/
код: 16467203;"Промышленный защищенный видеоэндоскоп iCartool, 4.3"", 2Мп, 2 камеры, 1920х1080, 3м, 8 мм, IC-V117";"
    11 390 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/promyshlennyj-zaschischennyj-videoendoskop-icartool-4-3-1mp-dual-lens-1280h720-3m-8-mm-ic-v117-1537700/
код: 25024587;"Промышленный видеоэндоскоп iCarTool экран 5"", 1 камера, 2Мп, 1920x1080, 1 м, 3.9 мм, сменный зонд IC-V116C";"
    21 750 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/videoendoskop-promyshlennyj-ekran-5-1-kamera-2mp-1920x1080-1m-3-9-mm-smennyj-zond-icartool-ic-v116c-6633961/
код: 20783883;"Управляемый видеоэндоскоп iCartool 3.5"", 1Мп, 1280X720, 1м, 6мм, 360° IC-V202";"
    69 900 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/upravlyaemyj-videoendoskop-icartool-3-5-1mp-1280x720-1m-6mm-ic-v202-2392528/
код: 19991074;Управляемый видеоэндоскоп iCarTool WIFI/USB, 1Мп, 1168х720, 1м, 4мм зонд, 360° IC-V1042W;"
    49 900 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/videoendoskop-icartool-ic-v1042w-2087016/
код: 23115591;Водонепроницаемый эндоскоп DEKO WEC-1 1м, Micro USB, USB, Type-C 065-0153;"
    840 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/vodonepronitsaemyj-endoskop-deko-wec-1-1m-micro-usb-usb-type-c-065-0153-4830853/
код: 25024593;"Промышленный видеоэндоскоп iCarTool 4.3"", 1 Мп, 1280x720, 1 м, 3.9 мм, сменный зонд IC-V112C";"
    11 390 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/videoendoskop-promyshlennyj-4-3-1mp-1280x720-1m-3-9-mm-smennyj-zond-icartool-ic-v112c-6634033/
код: 25024605;"Промышленный видеоэндоскоп iCarTool экран 5"", 3 камеры, 2 Мп, 1920x1080, 1 м, 8 мм сменный зонд IC-V116A";"
    22 890 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/promyshlennyj-videoendoskop-icartool-ekran-5-3-kamery-2-mp-1920x1080-1-m-8-mm-smennyj-zond-ic-v116a-6488695/
код: 16329883;Видеоэндоскоп iCartool WIFI IC-VY99;"
    2 490 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/videoendoskop-icartool-wifi-ic-vy99-1395179/
код: 16375033;"Управляемый видеоэндоскоп iCartool 5"", 2Мп, 1920x1080, 1м, 6.2мм, 360° IC-VC8052W";"
    36 900 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/upravlyaemyj-videoendoskop-icartool-4-3-1mp-1280x720-0-8m-8-5mm-ic-vc8052w-1422935/
код: 25453995;Управляемый видеоэндоскоп iCarTool USB, 2 Мп, 1920x1080, 1 м, 6 мм, 360 IC-V200;"
    29 900 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/upravlyaemyj-videoendoskop-icartool-usb-2-mp-1920x1080-1-m-6-mm-360-ic-v200-6769993/
код: 16329881;Видеоэндоскоп iCartool WIFI IC-V109;"
    6 900 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/videoendoskop-icartool-wifi-ic-v109-1395181/
код: 18449281;Эндоскоп без монитора ТЕМП TVE-100;"
    8 660 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/endoskop-bez-monitora-temp-tve-100-1873561/
код: 15958436;Видеоэндоскоп Launch VSP-800 N37744;"
    8 200 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/videoendoskop-launch-vsp-800-n37744-1077084/
код: 15569322;Видеоэндоскоп МЕГЕОН USB 33251 к0000005065;"
    1 710 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/videoendoskop-megeon-usb-33251-780592/
код: 25024599;"Промышленный видеоэндоскоп iCarTool экран 5"", 2 камеры, 2Мп, 1920x1080, 1 м, 5.5 мм, сменный зонд IC-V116B";"
    22 450 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/videoendoskop-promyshlennyj-ekran-5-2-kamery-2mp-1920x1080-1m-5-5-mm-smennyj-zond-icartool-ic-v116b-6633979/
код: 16467206;Видеоэндоскоп iCartool WIFI, 2Мп, 1600x1200, 3.5м, 8мм зонд IC-V110A;"
    4 150 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/videoendoskop-icartool-wifi-ic-v110a-1537684/
код: 25453989;"Управляемый видеоэндоскоп iCarTool экран 5"", 2 Мп, 1920x1080, 1 м, 6 мм, 360 IC-V200C";"
    41 900 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/upravlyaemyj-videoendoskop-icartool-ekran-5-2-mp-1920x1080-1-m-6-mm-360-ic-v200c-6769975/
