Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 16435936;Прямая шлифовальная машина MESSER M3338 10-33-338;"
    13 149 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/pryamaya-shlifovalnaya-mashina-messer-m3338-10-33-338-1502669/
код: 13504294;Прямошлифовальная машина Makita GD 0600;"
    6 649 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/pryamoshlifovalnaya-mashina-makita-gd-0600-44084/
код: 13537450;Прямошлифовальная машина Makita GD 0602;"
    7 349 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/pryamoshlifovalnaya-mashina-makita-gd-0602-51597/
код: 15506736;Пневматическая шлифовальная машинка JTC 3822;"
    4 075 р.

    ";"
    В наличии
    9
    шт.
  ";https://spb.vseinstrumenti.ru/product/pnevmaticheskaya-shlifovalnaya-mashinka-jtc-3822-726488/
код: 15947738;Пневматическая прямая мини-шлифмашина Jeta PRO J-1010;"
    1 252 р.

    ";"
    В наличии
    59
    шт.
  ";https://spb.vseinstrumenti.ru/product/pnevmaticheskaya-pryamaya-mini-shlifmashina-jeta-pro-j-1010-1069587/
код: 16642184;Пневматическая бормашинка WIEDERKRAFT WDK-23122;"
    6 194 р.

    ";"
    В наличии
    18
    шт.
  ";https://spb.vseinstrumenti.ru/product/pnevmaticheskaya-bormashinka-wiederkraft-wdk-23122-1620168/
код: 15781308;Удлиненная шлифмашина NORGAU NEDG121-6 094706011;"
    16 961 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/udlinennaya-shlifmashina-norgau-nedg121-6-094706011-889570/
код: 15596719;Пневматический гравёр Калибр ПНГ-2/57ГВ+ 00000061519;"
    2 598 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/pnevmaticheskij-graver-kalibr-png-2-57gv-00000061519-789090/
код: 16644926;Пневмобормашинка NORDBERG NP3022;"
    2 216 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/pnevmobormashinka-nordberg-np3022-1640378/
код: 15601942;Зачистная пневмошлифмашина FUBAG GSC 4000 100430;"
    5 670 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/zachistnaya-pnevmoshlifmashina-fubag-gsc-4000-100430-793437/
код: 19676074;Пневматическая прямая шлифмашина TNT-AIR АТ-7033LM;"
    7 839 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/pnevmaticheskaya-pryamaya-shlifmashina-tnt-air-at-7033lm-2028640/
код: 22819785;Шлифовальная прямая пневматическая машинка Airline МИНИ ATBR003;"
    1 425 р.

    ";"
    В наличии
    17
    шт.
  ";https://spb.vseinstrumenti.ru/product/shlifovalnaya-pryamaya-pnevmaticheskaya-mashinka-airline-mini-atbr003-4423722/
код: 18450169;Пневматическая зачистная машинка ТЕМП RT-5225;"
    3 900 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/pnevmaticheskaya-zachistnaya-mashinka-temp-rt-5225-1881683/
код: 16272733;Шлифовальная машинка ATA SPM80R;"
    36 329 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/shlifovalnaya-mashinka-ata-spm80r-1351123/
код: 16504601;Пневматическая шлифмашина DEKO DKPT02 SET 3 с набором 15 предметов 018-1102;"
    1 299 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/pnevmaticheskaya-shlifmashina-deko-dkpt02-set-3-s-naborom-15-predmetov-018-1102-1577114/
код: 15974642;Прямая шлифовальная машина MESSER M3333 10-33-333;"
    8 282 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pryamaya-shlifovalnaya-mashina-messer-m3333-10-33-333-1089419/
код: 25675251;Прямошлифовальная машина WORX Professional 450 Вт, 6 мм WU774;"
    5 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pryamoshlifovalnaya-mashina-worx-professional-450-vt-6-mm-wu774-7355701/
код: 15844856;Прямая шлифмашина DWT GS06-27 LV 5.1.74;"
    4 826 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pryamaya-shlifmashina-dwt-gs06-27-lv-5-1-74-917189/
код: 15702807;Прямая шлифовальная машина (Гравер) GRAPHITE 710Вт, 12000-28000 об/мин 59G071;"
    7 919 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pryamaya-shlifovalnaya-mashina-graver-graphite-710vt-12000-28000-ob-min-59g071-850703/
код: 21369898;Аккумуляторная прямая шлифовальная машина Felisatti ПША-6/18Л3 5702.5.0.00;"
    5 943 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-pryamaya-shlifovalnaya-mashina-felisatti-psha-6-18l3-5702-5-0-00-2922140/
код: 15844855;Прямая шлифмашина DWT GS06-27 V 5.1.56;"
    4 237 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pryamaya-shlifmashina-dwt-gs06-27-v-5-1-56-917188/
код: 16044015;Электрическая прямо-шлифовальная машинка с вариатором скорости Euroboor EDG.600;"
    11 983 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/elektricheskaya-pryamo-shlifovalnaya-mashinka-s-variatorom-skorosti-euroboor-edg-600-1148561/
код: 15845639;Прямая шлифмашина CROWN CT13308;"
    4 690 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pryamaya-shlifmashina-crown-ct13308-947243/
код: 15491712;Прямая шлифмашина Elitech ПШ 650Э;"
    6 690 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pryamaya-shlifmashina-elitech-psh-650e-712945/
код: 26613146;"Шлифовальная машина по гипсокартону ""Жираф"" R7233B-E AktiTool 106101";"
    21 400 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/shlifovalnaya-mashina-zhiraf-r7233b-e-aktitool-106101-7709518/
код: 15740890;Прямая низкооборотистая шлифовальная машинка FLEX H 1105 VE 269956;"
    83 300 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pryamaya-nizkooborotistaya-shlifovalnaya-mashinka-flex-h-1105-ve-269956-868362/
код: 24456549;Аккумуляторная прямошлифовальная машина с регулировкой оборотов FLEX 18.0 В DGE 25 18.0-EC C 518867;"
    45 200 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-pryamoshlifovalnaya-mashina-s-regulirovkoj-oborotov-flex-18-0-v-dge-25-18-0-ec-c-518867-5999569/
код: 26952092;Прямошлифовальная машина FLEX DGE 8-32 522279;"
    58 900 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pryamoshlifovalnaya-mashina-dge-8-32-flex-522279-8003210/
код: 25098165;Прямая шлифовальная машина Манкупер K36-2;"
    13 000 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pryamaya-shlifovalnaya-mashina-mankuper-k36-2-6637111/
код: 15607339;Прямая шлифмашина Rebir ТSM 1-150 07.001.00048;"
    10 781 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pryamaya-shlifmashina-rebir-tsm-1-150-07-001-00048-801708/
код: 1197;Прямая шлифмашина Makita GD 0810 C;"
    27 374 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pryamaya-shlifmashina-makita-gd-0810-c-1197/
код: 15888178;Прямая пневмошлифмашина с набором оснастки Gigant DG27000;"
    1 849 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pryamaya-pnevmoshlifmashina-s-naborom-osnastki-gigant-dg27000-982215/
код: 15506683;Шлифовальная пневматическая машина JTC 3101;"
    4 000 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/shlifovalnaya-pnevmaticheskaya-mashina-jtc-3101-726342/
код: 15508388;Прямая пневмошлифмашина FUBAG GL25000 + набор оснастки 100101;"
    2 740 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pryamaya-pnevmoshlifmashina-fubag-gl25000-nabor-osnastki-100101-739857/
код: 15543661;Пневматическая шлифовальная машина JTC 5645A;"
    7 750 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pnevmaticheskaya-shlifovalnaya-mashina-jtc-5645a-758407/
код: 15847863;Пневмошлифмашина PATRIOT PG 160 16 предметов 830902047;"
    1 840 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pnevmoshlifmashina-patriot-pg-160-16-predmetov-830902047-924009/
код: 16304843;Пневматическая прямая композитная удлиненная бормашина Byemax BM-5E-5227;"
    6 675 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pnevmaticheskaya-pryamaya-kompozitnaya-udlinennaya-bormashina-byemax-bm-5e-5227-1372579/
код: 15775780;Пневмогравер FUBAG G 54000 100450;"
    2 640 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pnevmograver-fubag-g-54000-100450-885528/
код: 16304845;Пневматическая прямая бормашина Byemax BM-5E-5200;"
    13 476 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pnevmaticheskaya-pryamaya-bormashina-byemax-bm-5e-5200-1372572/
код: 13938893;Пневматическая бормашинка Jonnesway 47773;"
    7 487 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pnevmaticheskaya-bormashinka-jonnesway-47773-215066/
код: 16304878;Пневматическая прямая карандашная бормашина Byemax BM-516;"
    5 843 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pnevmaticheskaya-pryamaya-karandashnaya-bormashina-byemax-bm-516-1372560/
код: 16304869;Пневматическая прямая композитная бормашина Byemax BM-53-5227;"
    5 293 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pnevmaticheskaya-pryamaya-kompozitnaya-bormashina-byemax-bm-53-5227-1372562/
