Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 16275784;Аккумуляторная ленточная пила Hilti SB 4-A22 коробка 2202361;"
    34 548 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-lentochnaya-pila-hilti-sb-4-a22-korobka-2202361-1343784/
код: 16073503;Портативная ленточная пила FEMI 780 XL 8.48.43.21;"
    57 600 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/portativnaya-lentochnaya-pila-femi-780-xl-8-48-43-21-1171838/
код: 15703524;Ленточная пила Milwaukee BS 125 4933448245;"
    52 490 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/lentochnaya-pila-milwaukee-bs-125-4933448245-906306/
код: 13373751;Ленточная пила Makita 2107 FK;"
    39 390 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/lentochnaya-pila-makita-2107-fk-43038/
код: 23279139;Ленточная аккумуляторная пила Makita 18В, Li-ion DPB184Z;"
    30 526 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/lentochnaya-akkumulyatornaya-pila-makita-18v-li-ion-dpb184z-5008932/
код: 15701194;Аккумуляторная ленточная пила Milwaukee M18 CBS125-502C FUEL 4933448195;"
    90 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-lentochnaya-pila-milwaukee-m18-cbs125-502c-fuel-4933448195-906398/
код: 16520756;Аккумуляторная ленточная пила Bosch GCB 18V-63 СОЛО 06012A0400;"
    26 678 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-lentochnaya-pila-bosch-gcb-18v-63-solo-06012a0400-1596168/
код: 15703472;Аккумуляторная ленточная пила Milwaukee M18 CBS125-0 FUEL 4933447150;"
    55 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-lentochnaya-pila-milwaukee-m18-cbs125-0-fuel-4933447150-1346755/
код: 15468249;Аккумуляторная ленточная пила Milwaukee HD18 BS-402С 4933441415;"
    50 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-lentochnaya-pila-milwaukee-hd18-bs-402s-4933441415-1258659/
код: 15703418;Аккумуляторная ленточная пила Milwaukee M12 BS-402C 4933441805;"
    45 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-lentochnaya-pila-milwaukee-m12-bs-402c-4933441805-1346764/
код: 18584773;Аккумуляторная ленточная пила Milwaukee M12FBS64-402C FUEL 4933478441;"
    59 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-lentochnaya-pila-milwaukee-m12fbs64-402c-fuel-4933478441-1908179/
код: 18585115;Аккумуляторная ленточная пила Milwaukee M12FBS64-0C FUEL 4933478440;"
    40 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-lentochnaya-pila-milwaukee-m12fbs64-0c-fuel-4933478440-1908180/
код: 15468248;Аккумуляторная ленточная пила Milwaukee HD18 BS-0 4933419122;"
    28 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-lentochnaya-pila-milwaukee-hd18-bs-0-4933419122-1258660/
код: 15853000;Ручная ленточная пила DEWALT 18.0 В XR DCS371N;"
    34 080 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/ruchnaya-lentochnaya-pila-dewalt-18-0-v-xr-dcs371n-932519/
код: 15561864;Аккумуляторная ленточная пила Metabo MBS 18 LTX 2.5 613022850;Нет информации;Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-lentochnaya-pila-metabo-mbs-18-ltx-2-5-613022850-775737/
код: 15468250;Аккумуляторная ленточная пила Milwaukee M12 BS-0 4933431310;"
    24 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-lentochnaya-pila-milwaukee-m12-bs-0-4933431310-1346765/
код: 19551258;Ручная ленточная пила по металлу Dewalt 18 В XR DCS377NT-XJ;"
    30 600 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/ruchnaya-lentochnaya-pila-po-metallu-dewalt-18-v-xr-dcs377nt-xj-2062892/
код: 14990348;Аккумуляторная ленточная пила Bosch GCB 18 V-LI Solo 0.601.2A0.300;Нет информации;Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-lentochnaya-pila-bosch-gcb-18-v-li-solo-0-601-2a0-300-515299/
код: 13504220;Аккумуляторная ленточная пила Makita LXT BPB180 RFE;Нет информации;Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-lentochnaya-pila-makita-lxt-bpb180-rfe-44083/
код: 15261117;Ленточная пила Makita LXT BPB180Z;Нет информации;Нет в наличии;https://spb.vseinstrumenti.ru/product/lentochnaya-pila-makita-lxt-bpb180z-548524/
код: 15563775;Ленточная пила Makita LXT DPB181Z;Нет информации;Нет в наличии;https://spb.vseinstrumenti.ru/product/lentochnaya-pila-makita-lxt-dpb181z-777091/
