Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 16013656;Двуручный заклепочник для резьбовых заклепок Gigant М3-М12 GHR-12;"
    2 619 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/dvuruchnyj-zaklepochnik-dlya-rezbovyh-zaklepok-gigant-m3-m12-ghr-12-1302486/
код: 16014008;Ручной заклепочник Gigant 2.4-4.8 GHR-48;"
    997 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruchnoj-zaklepochnik-gigant-2-4-4-8-ghr-48-1302478/
код: 20035756;Заклепочник для резьбовых заклепок Gigant двуручный M3-M10 GHR-10;"
    2 549 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/zaklepochnik-dlya-rezbovyh-zaklepok-gigant-dvuruchnyj-m3-m10-ghr-10-2998286/
код: 13699141;Литой усиленный заклёпочник GROSS 40403;"
    2 388 р.

    ";"
    В наличии
    31
    шт.
  ";https://spb.vseinstrumenti.ru/product/litoj-usilennyj-zaklepochnik-gross-40403-227342/
код: 16061714;Ручной заклепочник VIRA RAGE 810207;"
    1 249 р.

    ";"
    В наличии
    24
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruchnoj-zaklepochnik-vira-rage-810207-1264332/
код: 19772500;Литой ручной заклепочник Inforce 2.4-4.8 мм 06-14-10;"
    1 859 р.

    ";"
    В наличии
    7
    шт.
  ";https://spb.vseinstrumenti.ru/product/litoj-ruchnoj-zaklepochnik-inforce-2-4-4-8-mm-06-14-10-3697176/
код: 16009118;Литой заклепочник в кейсе KRAFTOOL X-3 2.4 - 4.8 мм 31170-H6_z01;"
    1 910 р.

    ";"
    В наличии
    30
    шт.
  ";https://spb.vseinstrumenti.ru/product/litoj-zaklepochnik-v-kejse-kraftool-x-3-2-4-4-8-mm-31170-h6-z01-1263457/
код: 20035750;Заклепочник для резьбовых заклепок M3-M6 Gigant GHR-6;"
    1 709 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/zaklepochnik-dlya-rezbovyh-zaklepok-m3-m6-gigant-ghr-6-2998130/
код: 16129310;Резьбовой двуручный заклепочник в кейсе ЗУБР Профессионал Р-М10 М3 - М10 31056;"
    3 580 р.

    ";"
    В наличии
    31
    шт.
  ";https://spb.vseinstrumenti.ru/product/rezbovoj-dvuruchnyj-zaklepochnik-v-kejse-zubr-professional-r-m10-m3-m10-31056-1310986/
код: 19772506;Литой ручной заклепочник Inforce поворотный 360 град., 2.4-4.8 мм 06-14-11;"
    2 929 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/litoj-ruchnoj-zaklepochnik-inforce-povorotnyj-360-grad-2-4-4-8-mm-06-14-11-3697194/
код: 15506368;Ручной заклепочник, резьбовой, 325мм JTC-5218N;"
    4 701 р.

    ";"
    В наличии
    16
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruchnoj-zaklepochnik-rezbovoj-325mm-jtc-5218n-725231/
код: 13699142;Литой усиленный поворотный заклёпочник 2,4-4,8 мм GROSS 40405;"
    3 660 р.

    ";"
    В наличии
    11
    шт.
  ";https://spb.vseinstrumenti.ru/product/litoj-usilennyj-povorotnyj-zaklepochnik-2-4-4-8-mm-gross-40405-537451/
код: 19472700;Пистолет для дюбелей и анкеров Молли RAGE VIRA 810208;"
    895 р.

    ";"
    В наличии
    13
    шт.
  ";https://spb.vseinstrumenti.ru/product/pistolet-dlya-dyubelej-i-ankerov-molli-rage-vira-810208-2014145/
код: 16008996;Литой заклепочник KRAFTOOL X-3 2.4 - 4.8 мм 31170_z01;"
    1 450 р.

    ";"
    В наличии
    6
    шт.
  ";https://spb.vseinstrumenti.ru/product/litoj-zaklepochnik-kraftool-x-3-2-4-4-8-mm-31170-z01-1175212/
код: 16009059;Литой поворотный заклепочник KRAFTOOL RX-7 360° в кейсе, 2.4 - 4.8 мм 31176-H6_z01;"
    3 090 р.

    ";"
    В наличии
    14
    шт.
  ";https://spb.vseinstrumenti.ru/product/litoj-povorotnyj-zaklepochnik-kraftool-rx-7-360-v-kejse-2-4-4-8-mm-31176-h6-z01-1245751/
код: 16086539;Резьбовой двуручный заклепочник KRAFTOOL Nut-12 М3-М12, в кейсе 31183;"
    9 940 р.

    ";"
    В наличии
    10
    шт.
  ";https://spb.vseinstrumenti.ru/product/rezbovoj-dvuruchnyj-zaklepochnik-v-kejse-kraftool-nut-12-m3-m12-31183-1348078/
код: 15912911;Заклепочник литой, 200 мм, заклепки 2,4-3,2-4,0-4,8 мм, PRO MATRIX 40546;"
    890 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/zaklepochnik-litoj-200-mm-zaklepki-2-4-3-2-4-0-4-8-mm-pro-matrix-40546-1077644/
код: 16298192;Усиленный двуручный заклепочник KRAFTOOL Grand-64 520 мм, 3.2 - 6.4 мм, 311791;"
    4 370 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/usilennyj-dvuruchnyj-zaklepochnik-kraftool-grand-64-520-mm-3-2-6-4-mm-311791-1502269/
код: 16009093;Переставной заклепочник ЗУБР M-180 90-180°, 270 мм, 2.4 - 4.8 мм 31199_z01;"
    655 р.

    ";"
    В наличии
    6
    шт.
  ";https://spb.vseinstrumenti.ru/product/perestavnoj-zaklepochnik-zubr-m-180-90-180-270-mm-2-4-4-8-mm-31199-z01-1148168/
код: 15522493;Заклепочник JTC 3437;"
    2 202 р.

    ";"
    В наличии
    6
    шт.
  ";https://spb.vseinstrumenti.ru/product/zaklepochnik-jtc-3437-738384/
код: 16504286;Ручной усиленный заклепочник DEKO HR01 для заклепок 2,4-4,8мм 065-0587;"
    386 р.

    ";"
    В наличии
    9
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruchnoj-usilennyj-zaklepochnik-deko-hr01-dlya-zaklepok-2-4-4-8mm-065-0587-1580856/
код: 13938832;Усиленный заклепочник 2.4-4.8 мм Jonnesway V1001;"
    1 938 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/usilennyj-zaklepochnik-2-4-4-8-mm-jonnesway-v1001-537109/
код: 15592640;Ручной заклепочник ABSOLUT (SKytools) SK5000;"
    2 716 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/ruchnoj-zaklepochnik-absolut-skytools-sk5000-786741/
код: 15844120;Заклепочник для резьбовой заклепки Absolut SKytools SK5002;"
    12 000 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/zaklepochnik-dlya-rezbovoj-zaklepki-absolut-skytools-sk5002-943925/
код: 16009101;Литой заклепочник KRAFTOOL X-5F удержание заклепки, 2.4 - 4.8 мм 31173_z01;"
    1 850 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/litoj-zaklepochnik-kraftool-x-5f-uderzhanie-zaklepki-2-4-4-8-mm-31173-z01-1175214/
