Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 16012276;Сетевая дрель-шуруповерт ЗУБР 400 Вт ДШ-М1-400-2;"
    3 520 р.

    ";"
    В наличии
    12
    шт.
  ";https://spb.vseinstrumenti.ru/product/setevaya-drel-shurupovert-zubr-400-vt-dsh-m1-400-2-1107745/
код: 16194753;Сетевая дрель-шуруповерт ЗУБР ДШ-М3-500-2 К;"
    5 070 р.

    ";"
    В наличии
    7
    шт.
  ";https://spb.vseinstrumenti.ru/product/setevaya-drel-shurupovert-zubr-dsh-m3-500-2-k-1282827/
код: 16144982;Дрель-шуруповерт Hanskonner HID2145PC HID2145PС;"
    4 453 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/drel-shurupovert-hanskonner-hid2145pc-hid2145ps-1233740/
код: 15959615;Дрель Makita DF0300;"
    5 190 р.

    ";"
    В наличии
    46
    шт.
  ";https://spb.vseinstrumenti.ru/product/drel-makita-df0300-1079280/
код: 15838238;Сетевой шуруповерт Вихрь СШ-550/2 72/16/1;"
    2 790 р.

    ";"
    В наличии
    10
    шт.
  ";https://spb.vseinstrumenti.ru/product/setevoj-shurupovert-vihr-ssh-550-2-72-16-1-912661/
код: 16062615;Сетевая дрель-шуруповерт Ресанта СШ-550-2 75/16/1;"
    4 090 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/setevaya-drel-shurupovert-resanta-ssh-550-2-75-16-1-1168240/
код: 15044121;Электрическая дрель-шуруповерт Энкор ДШЭ-2 350ЭР/10 1/8 50064;"
    3 070 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskaya-drel-shurupovert-enkor-dshe-2-350er-10-1-8-50064-233013/
код: 15559380;Сетевая дрель-шуруповерт Kolner KED 240 V;"
    1 680 р.

    ";"
    В наличии
    9
    шт.
  ";https://spb.vseinstrumenti.ru/product/setevaya-drel-shurupovert-kolner-ked-240-v-771859/
код: 16042348;Сетевая дрель-шуруповерт ЗУБР 400 Вт ДШ-М1-400;"
    2 960 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/setevaya-drel-shurupovert-zubr-400-vt-dsh-m1-400-1147073/
код: 15702814;Электрическая дрель-шуруповерт GRAPHITE 58G792;"
    9 889 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskaya-drel-shurupovert-graphite-58g792-850676/
код: 16194755;Сетевая дрель-шуруповерт ЗУБР ДШ-М1-400-2 К;"
    4 590 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/setevaya-drel-shurupovert-zubr-dsh-m1-400-2-k-1282828/
код: 15405376;Дрель-шуруповерт Sturm SOFT TOUCH ID2145P;"
    2 747 р.

    ";"
    В наличии
    9
    шт.
  ";https://spb.vseinstrumenti.ru/product/drel-shurupovert-sturm-soft-touch-id2145p-709859/
код: 16451763;Электрическая дрель-шуруповерт WORX WX318;"
    7 590 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskaya-drel-shurupovert-worx-wx318-1521961/
код: 15590600;Сетевая дрель-шуруповерт Patriot FS 306 120301402;"
    3 690 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/setevaya-drel-shurupovert-patriot-fs-306-120301402-781387/
код: 13933703;Ударный шуруповерт Makita TD0101;"
    5 991 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/udarnyj-shurupovert-makita-td0101-200663/
