Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15557925;Полирователь по бетону Фиолент МШУ8-14-125 М Мастер Ф0063 ИДФР298135006-07К1;"
    8 620 р.

    ";"
    В наличии
    6
    шт.
  ";https://spb.vseinstrumenti.ru/product/polirovatel-po-betonu-fiolent-mshu8-14-125-m-master-f0063-idfr298135006-07k1-773601/
код: 15825539;Шлифовальная машинка ASpro C6 для потолков и стен, 3646;"
    20 900 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/shlifovalnaya-mashinka-dlya-potolkov-i-sten-aspro-c6-3646-901163/
код: 16127074;Эксцентриковая шлифмашина для стен и потолка Einhell TE-DW 225 X, 750 Вт, 4259960;"
    21 815 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/ekstsentrikovaya-shlifmashina-dlya-sten-i-potolka-einhell-te-dw-225-x-4259960-1203032/
код: 15784296;Машина для снятия штукатурки, краски EIBENSTOCK EPF 1503 0651I000;"
    97 600 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/mashina-dlya-snyatiya-shtukaturki-kraski-eibenstock-epf-1503-0651i000-900196/
код: 19727980;Шлифовальная машина АЯ-ТЕХ ATS180L 4603809587022;"
    8 780 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/shlifovalnaya-mashina-aya-teh-ats180l-4603809587022-2041744/
код: 23679225;Шлифовальная машина АЯ-ТЕХ ATO-225FV, 750 W 4673729815116;"
    15 850 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/shlifovalnaya-mashina-aya-teh-ato-225fv-750-w-4673729815116-5347831/
код: 15702823;Шлифовальная машина для гипса GRAPHITE 59G262;"
    15 769 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/shlifovalnaya-mashina-dlya-gipsa-graphite-59g262-850720/
код: 16503582;Машина для шлифования стен Sturm DWS6010;"
    8 945 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/mashina-dlya-shlifovaniya-sten-sturm-dws6010-1596055/
код: 15784299;Шлифовальная машина для бетона EIBENSTOCK EBS 120.1 0630F000;"
    65 300 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/shlifovalnaya-mashina-dlya-betona-eibenstock-ebs-120-1-0630f000-895601/
код: 18527659;Шлифовальная машина АЯ-ТЕХ ATB-225FV 4603809587008;"
    19 260 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/shlifovalnaya-mashina-aya-teh-atb-225fv-4603809587008-1873821/
