Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 21029866;Тензиометр STANIX TEN-200;"
    550 000 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/tenziometr-stanix-ten-200-2647442/
код: 20338858;Прибор для контроля биения в центрах TLX ПБ-300/100 3010 65199;"
    131 581 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pribor-dlya-kontrolya-bieniya-v-tsentrah-tlx-pb-300-100-3010-65199-2199961/
код: 20338732;Прибор для контроля биения в центрах TLX ПБ- 300/250 3025 65201;"
    112 462 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pribor-dlya-kontrolya-bieniya-v-tsentrah-tlx-pb-300-250-3025-65201-2199960/
код: 20478856;Блескомер GM 55 PCE P40872;"
    59 150 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/bleskomer-gm-55-pce-p40872-2182323/
код: 21002493;Высокочастотный искровой тестер STANIX PST-100 Buckleys PST-100;"
    205 000 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/vysokochastotnyj-iskrovoj-tester-stanix-pst-100-buckleys-pst-100-2592308/
код: 27133580;Набор для оценки запыленности ООО ТИТАН Самара М000104;"
    12 058 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nabor-dlya-otsenki-zapylennosti-ooo-titan-samara-m000104-8221881/
код: 24712065;Набор для оценки запыленности поверхности по ISO ООО ТЕХИНТЕСТ 8502-3 ОСЗ-8502;"
    14 500 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/nabor-dlya-otsenki-zapylennosti-poverhnosti-po-iso-ooo-tehintest-8502-3-osz-8502-6246571/
код: 15869507;Вакуумная рамка плоская - нахлест 602x62x6мм НТЦ Эксперт ntc-000038;"
    15 947 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/vakuumnaya-ramka-ploskaya-nahlest-602x62x6mm-ntts-ekspert-ntc-000038-970631/
код: 15869506;Вакуумная плоская рамка 620x80мм НТЦ Эксперт ntc-000037;"
    24 779 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/vakuumnaya-ploskaya-ramka-620x80mm-ntts-ekspert-ntc-000037-970639/
код: 15514769;Лазерный инструмент для центрирования вала Fluke 830;"
    674 316 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/lazernyj-instrument-dlya-tsentrirovaniya-vala-fluke-830-736663/
код: 20339104;Прибор для контроля биения в центрах TLX ПБ-300/170 3017 65200;"
    115 909 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pribor-dlya-kontrolya-bieniya-v-tsentrah-tlx-pb-300-170-3017-65200-2199963/
код: 27954272;Универсальный диссольвер Biuged(BGD) BGD 750/5 00-00008466;"
    675 400 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/universalnyj-dissolver-biuged-bgd-bgd-750-5-00-00008466-8793692/
код: 27954302;Универсальный диссольвер Biuged(BGD) BGD 750/3 00-00012967;"
    501 600 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/universalnyj-dissolver-biuged-bgd-bgd-750-3-00-00012967-8793866/
код: 27954320;Универсальный диссольвер Biuged(BGD) BGD 750/4 00-00011547;"
    570 240 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/universalnyj-dissolver-biuged-bgd-bgd-750-4-00-00011547-8794010/
код: 15879675;Комплект прокладок Fluke 830/SHIMS;"
    126 020 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/komplekt-prokladok-fluke-830-shims-1527278/
код: 27954290;Высоко-скоростной диссольвер Biuged(BGD) BGD 745 00-00011930;"
    470 800 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/vysoko-skorostnoj-dissolver-biuged-bgd-bgd-745-00-00011930-8793842/
код: 27954242;Универсальный диссольвер Biuged(BGD) BGD 750/2 00-00007826;"
    347 600 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/universalnyj-dissolver-biuged-bgd-bgd-750-2-00-00007826-8793074/
код: 27954368;Универсальный диссольвер Biuged(BGD) BGD 750/1 00-00007825;"
    300 960 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/universalnyj-dissolver-biuged-bgd-bgd-750-1-00-00007825-8794466/
код: 27954278;Блескомер Biuged(BGD) BGD 516/3 20/60/85 00-00013559;"
    275 000 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/bleskomer-biuged-bgd-bgd-516-3-20-60-85-00-00013559-8793698/
код: 20478904;Гауссметр MFM 3000 PCE P2041152;"
    82 310 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/gaussmetr-mfm-3000-pce-p2041152-3011324/
код: 27954254;Блескомер Biuged(BGD) BGD 516/1 60 00-00013556;"
    143 000 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/bleskomer-biuged-bgd-bgd-516-1-60-00-00013556-8793182/
код: 27954374;Блескомер Biuged(BGD) BGD 513/1 60 00-00008467;"
    110 000 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/bleskomer-biuged-bgd-bgd-513-1-60-00-00008467-8794478/
код: 19118562;Прибор для измерения качества масла для жарки Testo 270 0563 2750;"
    50 000 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/testo-pribor-dlya-izmereniya-kachestva-masla-dlya-zharki-270-0563-2750-6872383/
