Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15381252;Скобозабивной пистолет ЗУБР 2000 Вт ЗСП-2000;"
    6 040 р.

    ";"
    В наличии
    17
    шт.
  ";https://spb.vseinstrumenti.ru/product/skobozabivnoj-pistolet-zubr-2000-vt-zsp-2000-680487/
код: 18963366;Электрический степлер DEKO DKES02 065-0499;"
    2 120 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-stepler-deko-dkes02-065-0499-1977856/
код: 15605938;Мебельный регулируемый степлер, стальной корпус, тип скобы 53, 4-14мм GROSS Handwerker 41000;"
    952 р.

    ";"
    В наличии
    81
    шт.
  ";https://spb.vseinstrumenti.ru/product/mebelnyj-reguliruemyj-stepler-stalnoj-korpus-tip-skoby-53-4-14mm-gross-handwerker-41000-812593/
код: 15888195;Гвоздескобозабивной пистолет Gigant NC15/50;"
    2 699 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/gvozdeskobozabivnoj-pistolet-gigant-nc15-50-982634/
код: 15871278;Профессиональный степлер 6 в 1 Inforce 06-14-07;"
    1 913 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/professionalnyj-stepler-6-v-1-inforce-06-14-07-1060032/
код: 13699176;Мебельный степлер GROSS Aluminium 140 алюм. корпус, рег. удара, тип скобы 140, 300, 6-14 мм 41007;"
    1 633 р.

    ";"
    В наличии
    46
    шт.
  ";https://spb.vseinstrumenti.ru/product/mebelnyj-stepler-gross-41007-542806/
код: 15558516;Строительный механический степлер Gigant GCS 53 (тип 140);"
    629 р.

    ";"
    В наличии
    44
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnyj-mehanicheskij-stepler-gigant-gcs-53-tip-140-772551/
код: 15888185;Гвоздезабивной пистолет Gigant NG50;"
    2 467 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/gvozdezabivnoj-pistolet-gigant-ng50-982635/
код: 13699454;Пневматический нейлер для гвоздей MATRIX 57410;"
    4 120 р.

    ";"
    В наличии
    47
    шт.
  ";https://spb.vseinstrumenti.ru/product/pnevmaticheskij-nejler-dlya-gvozdej-matrix-57410-783596/
код: 16535912;Строительный степлер VIRA RAGE 6 в 1, 6-14 мм 810415;"
    1 938 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnyj-stepler-vira-rage-6-v-1-6-14-mm-810415-1616219/
